,round_number,match_name,home_team_id,home_team_name,home_team_coach,home_team_points,away_team_id,away_team_name,away_team_coach,away_team_points
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
0,2,Simon vs James,118706,Meeky Blinders,Simon,1476,117113,Baker-Street Boys,James,1306
0,2,Paul vs Lester,116698,SerongWayToTheTop,Paul,1685,116859,Grand Theft Zorko,Lester,1524
0,2,Mark vs Luke,116970,Sheez Nutz,Mark,1707,116793,Duke Newcombe,Luke,1885
0,2,Jordan vs Anthony,118554,Hornehub,Jordan,1694,116887,Work From Holmes,Anthony,1527
