,coach_id,coach_team_id,coach_first_name,coach_team_name
0,300791,116698,Paul,SerongWayToTheTop
0,180650,118554,Jordan,Hornehub
0,45168,116793,Luke,Duke Newcombe
0,21562,116970,Mark,Sheez Nutz
0,86078,116859,Lester,Grand Theft Zorko
0,8258,118706,Simon,Meeky Blinders
0,10857,116887,Anthony,Work From Holmes
0,71052,117113,James,Baker-Street Boys
