,player_id,trade_status,user_team_id,waiver_until,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,owned,points_per_min,total_points_per_min,mvp_value,position_change
208,696,free_agent,,,1000864,Lachlan,Bramble,WBD,0,6,0,342300,323,0,5,0,-49600,220,0,0,535,2025-04-13T12:26:13+10:00,0,56,0,29,0,14,0,9,0,7,0,-3,0,0,0,1,0,0,64.6,356,64.6,71.0,STK,62.3333,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,74.05,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",8.09091,,0.6037383177570094,5298.761609907121,
210,625,free_agent,,,295584,Bradley,Hill,STK,0,6,0,394700,336,0,5,0,6200,201,0,0,548,2025-04-13T12:26:13+10:00,0,52,0,29,0,17,0,5,0,0,0,-3,0,0,0,2,0,3,67.2,1660,67.2,88.6667,WBD,67.6,1,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",0,"{'id': 6, 'abbrev': 'FRE', 'name': 'Fremantle'}",0,"{'id': 3, 'abbrev': 'CAR', 'name': 'Carlton'}",0,Docklands Stadium,70.7361,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",37.7273,,0.6131386861313869,5873.511904761905,
211,528,free_agent,,,992128,Ryan,Burton,PTA,0,6,0,387500,107,0,2,0,0,438,0,0,136,2025-04-13T12:26:14+10:00,0,18,0,12,0,10,0,1,0,2,0,-1,0,0,0,0,0,1,53.5,238,53.5,53.5,SYD,73.1429,1,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",0,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,Sydney Cricket Ground,65.5,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}",5.40909,,0.7867647058823529,7242.990654205608,
212,401,free_agent,,,1012857,Jack,Ginnivan,HAW,0,6,0,310300,268,0,5,0,-76600,283,0,0,488,2025-04-13T12:26:13+10:00,0,30,0,35,0,7,0,10,0,3,0,-1,0,0,0,2,0,2,53.6,972,53.6,45.6667,GEE,45.0,1,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",1,Melbourne Cricket Ground,58.0,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",22.0909,,0.5491803278688525,5789.179104477612,
214,65,free_agent,,,291548,Ryan,Lester,BRL,0,6,0,355400,336,0,5,0,-29300,201,0,0,573,2025-04-13T12:26:13+10:00,0,49,0,21,0,23,0,8,0,3,0,-3,0,0,0,0,0,0,67.2,502,67.2,55.0,COL,61.4,0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",0,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",1,Brisbane Cricket Ground,69.5306,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",11.4091,,0.5863874345549738,5288.690476190476,
215,187,free_agent,,,996232,Matt,Guelfi,ESS,0,6,0,384600,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:15+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,361,0.0,0.0,WCE,58.3333,1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",1,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",0,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,Perth Stadium,49.375,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}",8.20455,,,,
217,26,free_agent,,,1021031,Luke,Nankervis,ADE,0,6,0,382600,99,0,2,0,0,440,0,0,140,2025-04-13T12:26:14+10:00,0,10,0,14,0,4,0,5,0,2,0,-2,0,0,0,0,0,0,49.5,233,49.5,49.5,GWS,63.0,0,"{'id': 6, 'abbrev': 'FRE', 'name': 'Fremantle'}",1,"{'id': 3, 'abbrev': 'CAR', 'name': 'Carlton'}",0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,Adelaide Oval,71.5333,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}",5.29545,,0.7071428571428572,7729.292929292929,
218,110,free_agent,,,1009241,Brodie,Kemp,CAR,0,6,0,315100,237,0,5,0,-66400,322,0,0,527,2025-04-13T12:26:13+10:00,0,28,0,15,0,15,0,11,0,7,0,-6,0,0,0,7,0,4,47.4,193,47.4,58.6667,NTH,0.0,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,69.9333,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",4.38636,,0.4497153700189753,6647.679324894515,
219,624,free_agent,,,1002227,Jack,Higgins,STK,0,6,0,375800,360,0,5,0,-5700,162,0,0,536,2025-04-13T12:26:12+10:00,0,32,0,18,0,11,0,14,0,4,0,-2,0,0,0,14,0,4,72.0,1260,72.0,70.3333,WBD,58.1429,1,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",0,"{'id': 6, 'abbrev': 'FRE', 'name': 'Fremantle'}",0,"{'id': 3, 'abbrev': 'CAR', 'name': 'Carlton'}",0,Docklands Stadium,65.5926,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",28.6364,,0.6716417910447762,5219.444444444444,
220,455,free_agent,,,1017703,Judd,McVee,MEL,0,6,0,381400,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:16+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,261,0.0,0.0,FRE,65.0,0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",1,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",0,Melbourne Cricket Ground,63.6667,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",5.93182,,,,
221,222,free_agent,,,1013224,Heath,Chapman,FRE,0,6,0,356600,303,0,5,0,-24300,249,0,0,464,2025-04-13T12:26:13+10:00,0,47,0,24,0,26,0,6,0,5,0,-3,0,0,0,0,0,0,60.6,392,60.6,78.0,MEL,60.25,1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",0,Melbourne Cricket Ground,72.0,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}",8.90909,,0.6530172413793104,5884.488448844884,
222,711,free_agent,,,297899,James,Harmes,WBD,0,6,0,368400,321,0,5,0,-12200,227,0,0,401,2025-04-13T12:26:13+10:00,0,35,0,41,0,13,0,14,0,4,0,-3,0,0,0,3,0,1,64.2,1406,64.2,64.0,STK,84.4,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,79.7143,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",31.9545,,0.800498753117207,5738.317757009346,
223,723,free_agent,,,1002404,Aaron,Naughton,WBD,0,6,0,325100,316,0,5,0,-55200,234,0,0,542,2025-04-13T12:26:13+10:00,0,29,0,22,0,25,0,8,0,3,0,-2,0,1,0,8,0,4,63.2,1148,63.2,56.6667,STK,75.1667,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,70.8806,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",26.0909,,0.5830258302583026,5143.987341772152,
225,67,free_agent,,,1014026,Kai,Lohmann,BRL,0,6,0,379800,22,0,2,0,0,502,0,0,78,2025-04-13T12:26:15+10:00,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.0,700,11.0,11.0,COL,37.0,0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",0,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",1,Brisbane Cricket Ground,56.1765,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",15.9091,,0.28205128205128205,34527.27272727273,
227,716,free_agent,,,281078,Liam,Jones,WBD,0,6,0,349500,160,0,3,0,-29300,391,0,0,353,2025-04-13T12:26:14+10:00,0,20,0,9,0,11,0,3,0,1,0,-1,0,0,0,0,0,0,53.3333,146,53.3333,53.3333,STK,63.3,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,59.8315,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",3.31818,,0.45325779036827196,6553.129095705684,
228,450,free_agent,,,298281,Jake,Lever,MEL,0,6,0,378400,159,0,2,0,0,392,0,0,218,2025-04-13T12:26:14+10:00,0,19,0,13,0,14,0,4,0,1,0,-3,0,0,0,0,0,0,79.5,412,79.5,79.5,FRE,78.8,0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",1,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",0,Melbourne Cricket Ground,79.3051,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",9.36364,,0.7293577981651376,4759.748427672956,
229,214,free_agent,,,298289,Peter,Wright,ESS,0,6,0,378300,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:15+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,347,0.0,0.0,WCE,79.5714,1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",1,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",0,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,Perth Stadium,76.75,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}",7.88636,,,,
230,537,free_agent,,,1010174,Mitch,Georgiades,PTA,0,6,0,415700,397,0,5,0,37600,116,0,0,557,2025-04-13T12:26:12+10:00,0,45,0,20,0,32,0,8,0,3,0,-4,0,0,0,12,0,9,79.4,1724,79.4,87.6667,SYD,67.3333,1,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",0,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,Sydney Cricket Ground,86.0,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}",39.1818,,0.7127468581687613,5235.51637279597,
231,185,free_agent,,,271129,Todd,Goldstein,ESS,0,6,0,377200,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:15+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,363,0.0,0.0,WCE,94.6,1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",1,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",0,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,Perth Stadium,104.444,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}",8.25,,,,
232,247,free_agent,,,1009380,Jeremy,Sharp,FRE,0,6,0,323500,318,0,5,0,-53400,232,0,0,554,2025-04-13T12:26:13+10:00,0,44,0,44,0,21,0,4,0,0,0,-4,0,0,0,1,0,1,63.6,425,63.6,59.6667,MEL,51.0,1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",0,Melbourne Cricket Ground,48.3333,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}",9.65909,,0.5740072202166066,5086.477987421384,
233,721,free_agent,,,990740,Rory,Lobb,WBD,0,6,0,377000,365,0,5,0,200,147,0,0,646,2025-04-13T12:26:12+10:00,0,42,0,26,0,25,0,12,0,4,0,-5,0,1,0,0,0,1,73.0,655,73.0,80.3333,STK,81.5556,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,71.6571,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",14.8864,,0.565015479876161,5164.3835616438355,
234,106,free_agent,,,295265,Nick,Haynes,CAR,0,6,0,357000,341,0,5,0,-19500,191,0,0,516,2025-04-13T12:26:13+10:00,0,58,0,18,0,36,0,3,0,5,0,0,0,0,0,0,0,0,68.2,331,68.2,77.6667,NTH,72.5,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,75.0909,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",7.52273,,0.6608527131782945,5234.604105571847,
235,733,free_agent,,,1011803,Cody,Weightman,WBD,0,6,0,376200,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:17+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,311,0.0,0.0,STK,74.3333,0,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",1,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",0,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",1,Docklands Stadium,64.4242,"{'id': 11, 'name': 'Manuka Oval', 'display_name': 'Manuka Oval', 'short_name': 'Manuka', 'abbrev': 'MO'}","{'id': 55, 'name': 'Eureka Stadium', 'display_name': 'Mars Stadium', 'short_name': 'Mars', 'abbrev': 'MARS'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",7.06818,,,,
237,265,free_agent,,,1013257,Sam,Clohesy,GCS,0,6,0,320100,198,0,4,0,-55500,354,0,0,409,2025-04-13T12:26:14+10:00,0,37,0,19,0,15,0,6,0,1,0,0,0,0,0,0,0,2,49.5,283,49.5,53.0,RIC,66.0,1,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",1,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",0,Docklands Stadium,75.0,"{'id': 5, 'name': 'Carrara Stadium', 'display_name': 'People First Stadium', 'short_name': 'People First', 'abbrev': 'PFS'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",6.43182,,0.4841075794621027,6466.666666666667,
238,326,free_agent,,,296291,Jake,Kolodjashnij,GEE,0,6,0,374200,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:16+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,117,0.0,0.0,HAW,56.9167,0,"{'id': 3, 'abbrev': 'CAR', 'name': 'Carlton'}",1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",1,"{'id': 18, 'abbrev': 'GWS', 'name': 'GWS Giants'}",0,Melbourne Cricket Ground,58.2683,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 10, 'name': 'Kardinia Park', 'display_name': 'GMHBA Stadium', 'short_name': 'GMHBA', 'abbrev': 'GMS'}",2.65909,,,,
239,751,free_agent,,,1023025,Reuben,Ginbey,WCE,0,6,0,368200,351,0,5,0,-5700,177,0,0,574,2025-04-13T12:26:13+10:00,0,46,0,20,0,19,0,15,0,4,0,-3,0,1,0,0,0,0,70.2,794,70.2,70.3333,ESS,68.6667,0,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",1,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",1,Perth Stadium,72.4348,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",18.0455,,0.6114982578397212,5245.014245014245,
240,231,free_agent,,,291570,Nat,Fyfe,FRE,0,6,0,372800,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:15+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,205,0.0,0.0,MEL,99.9286,1,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 4, 'abbrev': 'COL', 'name': 'Collingwood'}",0,Melbourne Cricket Ground,98.4444,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}",4.65909,,,,
241,519,free_agent,,,998484,Cameron,Zurhaar,NTH,0,6,0,340300,346,0,5,0,-31500,184,0,0,556,2025-04-13T12:26:13+10:00,0,45,0,21,0,25,0,12,0,4,0,-5,0,0,0,8,0,5,69.2,1132,69.2,57.6667,CAR,69.1429,0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,"{'id': 5, 'abbrev': 'ESS', 'name': 'Essendon'}",1,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",0,Docklands Stadium,66.4386,"{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",25.7273,,0.6223021582733813,4917.630057803468,
