,player_id,trade_status,user_team_id,waiver_until,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,owned,points_per_min,total_points_per_min,mvp_value,position_change
96,473,free_agent,,,291902,Jack,Viney,MEL,0,6,0,386300,326,0,5,0,-87900,215,0,0,483,2025-04-13T12:26:13+10:00,0,56,0,53,0,11,0,16,0,7,0,-6,0,0,0,0,0,1,65.2,1777,65.2,63.0,FRE,100.615,0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",1,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",0,Melbourne Cricket Ground,87.6667,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",40.3864,,0.6749482401656315,5924.846625766871,
101,114,free_agent,,,1000953,Harry,McKay,CAR,0,6,0,467200,88,0,2,0,0,448,0,0,140,2025-04-13T12:26:14+10:00,0,11,0,7,0,7,0,1,0,0,0,-2,0,4,0,1,0,2,44.0,2680,44.0,44.0,NTH,90.2,1,"{'id': 7, 'abbrev': 'GEE', 'name': 'Geelong'}",0,"{'id': 1, 'abbrev': 'ADE', 'name': 'Adelaide'}",1,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,Docklands Stadium,76.6585,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",60.9091,,0.6285714285714286,10618.181818181818,
105,463,free_agent,,,1009378,Trent,Rivers,MEL,0,6,0,394100,337,0,5,0,-68800,199,0,0,491,2025-04-13T12:26:13+10:00,0,56,0,41,0,25,0,8,0,2,0,-5,0,0,0,0,0,1,67.4,2499,67.4,71.6667,FRE,65.8571,0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",1,"{'id': 8, 'abbrev': 'HAW', 'name': 'Hawthorn'}",0,Melbourne Cricket Ground,76.4,"{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",56.7955,,0.6863543788187373,5847.181008902076,
107,287,free_agent,,,1021013,Ned,Moyle,GCS,0,6,0,462100,0,0,0,0,0,510,0,0,0,2025-04-13T12:26:16+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,803,0.0,0.0,RIC,0.0,1,"{'id': 14, 'abbrev': 'SYD', 'name': 'Sydney'}",0,"{'id': 2, 'abbrev': 'BRL', 'name': 'Brisbane'}",1,"{'id': 15, 'abbrev': 'WBD', 'name': 'Western Bulldogs'}",0,Docklands Stadium,79.3333,"{'id': 5, 'name': 'Carrara Stadium', 'display_name': 'People First Stadium', 'short_name': 'People First', 'abbrev': 'PFS'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 12, 'name': 'Marrara Oval', 'display_name': 'TIO Stadium', 'short_name': 'TIO', 'abbrev': 'TIO'}",18.25,,,,
110,35,free_agent,,,1006136,Lachlan,Sholl,ADE,0,6,0,325000,260,0,5,0,-133500,293,0,0,506,2025-04-13T12:26:13+10:00,0,42,0,28,0,22,0,4,0,1,0,-2,0,0,0,1,0,0,52.0,990,52.0,32.3333,GWS,53.0,0,"{'id': 6, 'abbrev': 'FRE', 'name': 'Fremantle'}",1,"{'id': 3, 'abbrev': 'CAR', 'name': 'Carlton'}",0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,Adelaide Oval,70.8667,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}",22.5,,0.5138339920948617,6250,
111,43,free_agent,,,1011981,Josh,Worrell,ADE,0,6,0,402900,385,0,5,0,-55100,125,0,0,563,2025-04-13T12:26:12+10:00,0,60,0,33,0,25,0,10,0,2,0,-2,0,0,0,0,0,0,77.0,2067,77.0,70.0,GWS,82.0,0,"{'id': 6, 'abbrev': 'FRE', 'name': 'Fremantle'}",1,"{'id': 3, 'abbrev': 'CAR', 'name': 'Carlton'}",0,"{'id': 11, 'abbrev': 'PTA', 'name': 'Port Adelaide'}",1,Adelaide Oval,83.6,"{'id': 53, 'name': 'Perth Stadium', 'display_name': 'Optus Stadium', 'short_name': 'Optus', 'abbrev': 'OS'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}","{'id': 1, 'name': 'Adelaide Oval', 'display_name': 'Adelaide Oval', 'short_name': 'Adelaide', 'abbrev': 'AO'}",46.9773,,0.6838365896980462,5232.467532467533,
115,392,free_agent,,,998134,Josh,Battle,HAW,0,6,0,417100,361,0,5,0,-37200,155,0,0,599,2025-04-13T12:26:12+10:00,0,53,0,32,0,25,0,9,0,1,0,-2,0,0,0,0,0,1,72.2,2012,72.2,74.6667,GEE,63.4286,1,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",1,Melbourne Cricket Ground,79.4615,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",45.7273,,0.6026711185308848,5777.008310249307,
118,391,free_agent,,,990290,Tom,Barrass,HAW,0,6,0,357200,294,0,5,0,-94800,259,0,0,580,2025-04-13T12:26:13+10:00,0,36,0,16,0,22,0,9,0,5,0,-3,0,0,0,0,0,0,58.8,1073,58.8,58.0,GEE,64.5714,1,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",1,Melbourne Cricket Ground,75.6667,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",24.3864,,0.506896551724138,6074.829931972789,
121,406,free_agent,,,296254,Jarman,Impey,HAW,0,6,0,373500,276,0,5,0,-76500,274,0,0,524,2025-04-13T12:26:13+10:00,0,41,0,13,0,19,0,14,0,5,0,-3,0,0,0,0,0,0,55.2,1026,55.2,57.6667,GEE,66.3333,1,"{'id': 16, 'abbrev': 'WCE', 'name': 'West Coast'}",0,"{'id': 12, 'abbrev': 'RIC', 'name': 'Richmond'}",0,"{'id': 10, 'abbrev': 'MEL', 'name': 'Melbourne'}",1,Melbourne Cricket Ground,76.3455,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}","{'id': 13, 'name': 'Melbourne Cricket Ground', 'display_name': 'MCG', 'short_name': 'MCG', 'abbrev': 'MCG'}",23.3182,,0.5267175572519084,6766.304347826087,
122,45,free_agent,,,996059,Harris,Andrews,BRL,0,6,0,424400,366,0,5,0,-25000,145,0,0,614,2025-04-13T12:26:12+10:00,0,49,0,16,0,40,0,6,0,1,0,-3,0,0,0,0,0,0,73.2,1994,73.2,77.3333,COL,72.0,0,"{'id': 13, 'abbrev': 'STK', 'name': 'St Kilda'}",1,"{'id': 17, 'abbrev': 'GCS', 'name': 'Gold Coast'}",0,"{'id': 9, 'abbrev': 'NTH', 'name': 'North Melbourne'}",1,Brisbane Cricket Ground,81.1429,"{'id': 7, 'name': 'Docklands Stadium', 'display_name': 'Marvel Stadium', 'short_name': 'Marvel', 'abbrev': 'MARV'}","{'id': 4, 'name': 'Brisbane Cricket Ground', 'display_name': 'Gabba', 'short_name': 'Gabba', 'abbrev': 'G'}","{'id': 226, 'name': 'Ninja Stadium', 'display_name': 'Ninja Stadium', 'short_name': 'Ninja', 'abbrev': 'NIN'}",45.3182,,0.5960912052117264,5797.814207650273,
