,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number,round_number_alt
53,45168,5524,Luke,The Dragon's Laird,534,MID,71,True,290738,Jared,Polec,NTH,MID,10,R10
54,45168,5524,Luke,The Dragon's Laird,691,MID,70,True,998103,Oliver,Florent,SYD,MID,10,R10
55,45168,5524,Luke,The Dragon's Laird,553,MID,67,True,250365,Travis,Boak,PTA,MID,10,R10
56,45168,5524,Luke,The Dragon's Laird,520,MID,60,True,296735,Aaron,Hall,NTH,MID,10,R10
57,45168,5524,Luke,The Dragon's Laird,713,FWD,55,True,996765,Tom,Papley,SYD,FWD,10,R10
58,45168,5524,Luke,The Dragon's Laird,30,RUC,50,True,297523,Reilly,O'Brien,ADE,RUC,10,R10
59,45168,5524,Luke,The Dragon's Laird,36,MID,0,False,270963,Rory,Sloane,ADE,MID,10,R10
60,45168,5524,Luke,The Dragon's Laird,97,MID,0,False,270146,Ed,Curnow,CAR,MID,10,R10
61,45168,5524,Luke,The Dragon's Laird,446,MID,0,False,294613,Jaeger,O'Meara,HAW,MID,10,R10
62,45168,5524,Luke,The Dragon's Laird,628,MID,0,False,290627,Dion,Prestia,RIC,MID,10,R10
63,45168,5524,Luke,The Dragon's Laird,746,MID,0,False,294557,Lachie,Hunter,WBD,MID,10,R10
64,45168,5524,Luke,The Dragon's Laird,459,FWD,0,False,291962,Chad,Wingard,HAW,FWD MID,10,R10
65,45168,5524,Luke,The Dragon's Laird,783,FWD,0,False,290838,Jack,Darling,WCE,FWD,10,R10
66,300791,182,Paul,Coronaviney,414,FWD,131,True,294305,Lachie,Whitfield,GWS,FWD MID,10,R10
67,300791,182,Paul,Coronaviney,47,DEF,127,True,996059,Harris,Andrews,BRL,DEF,10,R10
68,300791,182,Paul,Coronaviney,211,MID,119,True,992016,Zach,Merrett,ESS,MID,10,R10
69,300791,182,Paul,Coronaviney,351,MID,109,True,294199,Sam,Menegola,GEE,MID,10,R10
70,300791,182,Paul,Coronaviney,501,MID,109,True,291902,Jack,Viney,MEL,MID,10,R10
71,300791,182,Paul,Coronaviney,323,RUC,107,True,291975,Jarrod,Witts,GCS,RUC,10,R10
72,300791,182,Paul,Coronaviney,159,DEF,106,True,992010,Brayden,Maynard,COL,DEF,10,R10
73,300791,182,Paul,Coronaviney,482,DEF,103,True,298281,Jake,Lever,MEL,DEF,10,R10
74,300791,182,Paul,Coronaviney,506,MID,100,True,291861,Jed,Anderson,NTH,MID,10,R10
75,300791,182,Paul,Coronaviney,22,FWD,95,True,270938,Tom,Lynch,ADE,FWD,10,R10
76,300791,182,Paul,Coronaviney,593,MID,70,True,294318,Ollie,Wines,PTA,MID,10,R10
77,300791,182,Paul,Coronaviney,606,MID,67,True,270896,Trent,Cotchin,RIC,MID,10,R10
78,300791,182,Paul,Coronaviney,203,FWD,66,True,298630,Kyle,Langford,ESS,FWD MID,10,R10
79,300791,182,Paul,Coronaviney,550,MID,59,True,297354,Karl,Amon,PTA,MID,10,R10
80,300791,182,Paul,Coronaviney,747,DEF,59,True,294101,Jason,Johannisen,WBD,DEF,10,R10
81,300791,182,Paul,Coronaviney,655,FWD,57,True,298421,Jade,Gresham,STK,FWD MID,10,R10
82,300791,182,Paul,Coronaviney,689,DEF,53,True,291978,Harry,Cunningham,SYD,DEF,10,R10
83,300791,182,Paul,Coronaviney,391,FWD,46,True,993107,Harry,Himmelberg,GWS,FWD,10,R10
84,300791,182,Paul,Coronaviney,37,DEF,0,False,291748,Brodie,Smith,ADE,DEF,10,R10
85,300791,182,Paul,Coronaviney,700,MID,0,False,260382,Josh P.,Kennedy,SYD,MID,10,R10
86,300791,182,Paul,Coronaviney,787,MID,0,False,290801,Andrew,Gaff,WCE,MID,10,R10
87,300791,182,Paul,Coronaviney,418,FWD,0,False,291327,Jonathon,Ceglar,HAW,RUC FWD,10,R10
88,8258,9856,Simon,It's always Sonny,136,MID,138,True,291776,Taylor,Adams,COL,MID,10,R10
89,8258,9856,Simon,It's always Sonny,491,FWD,132,True,298210,Christian,Petracca,MEL,FWD,10,R10
90,8258,9856,Simon,It's always Sonny,328,DEF,127,True,296733,Mark,Blicavs,GEE,DEF,10,R10
91,8258,9856,Simon,It's always Sonny,557,FWD,125,True,1006121,Zak,Butters,PTA,FWD,10,R10
92,8258,9856,Simon,It's always Sonny,751,MID,114,True,290799,Tom,Liberatore,WBD,MID,10,R10
93,8258,9856,Simon,It's always Sonny,516,MID,110,True,296035,Trent,Dumont,NTH,MID,10,R10
94,8258,9856,Simon,It's always Sonny,522,MID,109,True,260227,Shaun,Higgins,NTH,MID,10,R10
95,8258,9856,Simon,It's always Sonny,599,FWD,106,True,993993,Shai,Bolton,RIC,FWD,10,R10
96,8258,9856,Simon,It's always Sonny,389,DEF,102,True,295265,Nick,Haynes,GWS,DEF,10,R10
97,8258,9856,Simon,It's always Sonny,519,RUC,102,True,271129,Todd,Goldstein,NTH,RUC,10,R10
98,8258,9856,Simon,It's always Sonny,281,DEF,93,True,295446,Sam,Collins,GCS,DEF,10,R10
99,8258,9856,Simon,It's always Sonny,537,DEF,90,True,270325,Robbie,Tarrant,NTH,DEF,10,R10
100,8258,9856,Simon,It's always Sonny,637,DEF,81,True,294674,Nick,Vlastuin,RIC,DEF,10,R10
101,8258,9856,Simon,It's always Sonny,90,MID,74,True,261224,Dayne,Zorko,BRL,MID,10,R10
102,8258,9856,Simon,It's always Sonny,677,FWD,68,True,250267,Paddy,Ryder,STK,RUC FWD,10,R10
103,8258,9856,Simon,It's always Sonny,277,MID,53,True,998260,Jack,Bowes,GCS,MID,10,R10
104,8258,9856,Simon,It's always Sonny,403,MID,48,True,998205,Harry,Perryman,GWS,MID,10,R10
105,8258,9856,Simon,It's always Sonny,488,FWD,22,True,296420,Alex,Neal-Bullen,MEL,FWD,10,R10
106,8258,9856,Simon,It's always Sonny,796,DEF,0,False,294859,Jeremy,McGovern,WCE,DEF,10,R10
107,8258,9856,Simon,It's always Sonny,133,MID,0,False,1006094,Sam,Walsh,CAR,MID,10,R10
108,8258,9856,Simon,It's always Sonny,270,FWD,0,False,281007,Michael,Walters,FRE,FWD MID,10,R10
