,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team
0,86078,9806,Lester,HoweIMetYourMother,153,156,True,291313,Jeremy,Howe,COL
1,86078,9806,Lester,HoweIMetYourMother,789,152,True,240283,Shannon,Hurn,WCE
2,86078,9806,Lester,HoweIMetYourMother,536,131,True,993998,Jy,Simpkin,NTH
3,86078,9806,Lester,HoweIMetYourMother,700,129,True,260382,Josh P.,Kennedy,SYD
4,86078,9806,Lester,HoweIMetYourMother,807,128,True,296296,Dom,Sheed,WCE
5,86078,9806,Lester,HoweIMetYourMother,620,126,True,290847,Dustin,Martin,RIC
6,86078,9806,Lester,HoweIMetYourMother,67,115,True,293716,Jarryd,Lyons,BRL
7,86078,9806,Lester,HoweIMetYourMother,94,112,True,990704,Patrick,Cripps,CAR
8,86078,9806,Lester,HoweIMetYourMother,307,111,True,298272,Touk,Miller,GCS
9,86078,9806,Lester,HoweIMetYourMother,366,100,True,291800,Tom,Stewart,GEE
10,86078,9806,Lester,HoweIMetYourMother,656,93,True,290117,Dan,Hannebery,STK
11,86078,9806,Lester,HoweIMetYourMother,709,85,True,993905,Callum,Mills,SYD
12,86078,9806,Lester,HoweIMetYourMother,464,71,True,298279,Angus,Brayshaw,MEL
13,86078,9806,Lester,HoweIMetYourMother,578,70,True,290746,Scott,Lycett,PTA
14,86078,9806,Lester,HoweIMetYourMother,377,70,True,293845,Jeremy,Cameron,GWS
15,86078,9806,Lester,HoweIMetYourMother,232,66,True,1002232,Andrew,Brayshaw,FRE
16,86078,9806,Lester,HoweIMetYourMother,591,57,True,260750,Justin,Westhoff,PTA
17,86078,9806,Lester,HoweIMetYourMother,37,55,True,291748,Brodie,Smith,ADE
18,86078,9806,Lester,HoweIMetYourMother,572,68,False,261892,Hamish,Hartlett,PTA
19,86078,9806,Lester,HoweIMetYourMother,178,0,False,291790,Adam,Treloar,COL
20,86078,9806,Lester,HoweIMetYourMother,699,0,False,294036,George,Hewett,SYD
21,86078,9806,Lester,HoweIMetYourMother,268,76,False,993816,Darcy,Tucker,FRE
22,180650,33301,Jordan,"What's Up, Doch?",643,120,True,296351,Jack,Billings,STK
23,180650,33301,Jordan,"What's Up, Doch?",440,119,True,291856,Tom,Mitchell,HAW
24,180650,33301,Jordan,"What's Up, Doch?",99,117,True,295518,Sam,Docherty,CAR
25,180650,33301,Jordan,"What's Up, Doch?",389,114,True,295265,Nick,Haynes,GWS
26,180650,33301,Jordan,"What's Up, Doch?",392,112,True,993903,Jacob,Hopper,GWS
27,180650,33301,Jordan,"What's Up, Doch?",387,108,True,295344,Toby,Greene,GWS
28,180650,33301,Jordan,"What's Up, Doch?",112,107,True,296190,Jack,Martin,CAR
29,180650,33301,Jordan,"What's Up, Doch?",491,105,True,298210,Christian,Petracca,MEL
30,180650,33301,Jordan,"What's Up, Doch?",570,104,True,261396,Robbie,Gray,PTA
31,180650,33301,Jordan,"What's Up, Doch?",691,99,True,998103,Oliver,Florent,SYD
32,180650,33301,Jordan,"What's Up, Doch?",82,97,True,290311,Mitch,Robinson,BRL
33,180650,33301,Jordan,"What's Up, Doch?",469,93,True,290528,Max,Gawn,MEL
34,180650,33301,Jordan,"What's Up, Doch?",609,86,True,260930,Shane,Edwards,RIC
35,180650,33301,Jordan,"What's Up, Doch?",601,84,True,290623,Josh,Caddy,RIC
36,180650,33301,Jordan,"What's Up, Doch?",637,78,True,294674,Nick,Vlastuin,RIC
37,180650,33301,Jordan,"What's Up, Doch?",763,67,True,270732,Matthew,Suckling,WBD
38,180650,33301,Jordan,"What's Up, Doch?",767,59,True,291545,Mitch,Wallis,WBD
39,180650,33301,Jordan,"What's Up, Doch?",90,52,True,261224,Dayne,Zorko,BRL
40,180650,33301,Jordan,"What's Up, Doch?",88,41,False,998128,Alex,Witherden,BRL
41,180650,33301,Jordan,"What's Up, Doch?",59,0,False,293479,Cameron,Ellis-Yolmen,BRL
42,180650,33301,Jordan,"What's Up, Doch?",197,0,False,290629,Dyson,Heppell,ESS
43,180650,33301,Jordan,"What's Up, Doch?",256,0,False,240052,David,Mundy,FRE
44,45168,5524,Luke,The Dragon's Laird,76,157,True,293535,Lachie,Neale,BRL
45,45168,5524,Luke,The Dragon's Laird,459,131,True,291962,Chad,Wingard,HAW
46,45168,5524,Luke,The Dragon's Laird,553,125,True,250365,Travis,Boak,PTA
47,45168,5524,Luke,The Dragon's Laird,588,125,True,1001299,Connor,Rozee,PTA
48,45168,5524,Luke,The Dragon's Laird,36,123,True,270963,Rory,Sloane,ADE
49,45168,5524,Luke,The Dragon's Laird,628,118,True,290627,Dion,Prestia,RIC
50,45168,5524,Luke,The Dragon's Laird,446,112,True,294613,Jaeger,O'Meara,HAW
51,45168,5524,Luke,The Dragon's Laird,30,107,True,297523,Reilly,O'Brien,ADE
52,45168,5524,Luke,The Dragon's Laird,761,106,True,1006130,Bailey,Smith,WBD
53,45168,5524,Luke,The Dragon's Laird,21,88,True,293222,Rory,Laird,ADE
54,45168,5524,Luke,The Dragon's Laird,713,85,True,996765,Tom,Papley,SYD
55,45168,5524,Luke,The Dragon's Laird,746,84,True,294557,Lachie,Hunter,WBD
56,45168,5524,Luke,The Dragon's Laird,703,77,True,295342,Jake,Lloyd,SYD
57,45168,5524,Luke,The Dragon's Laird,200,63,True,270935,Michael,Hurley,ESS
58,45168,5524,Luke,The Dragon's Laird,146,62,True,293871,Jack,Crisp,COL
59,45168,5524,Luke,The Dragon's Laird,97,57,True,270146,Ed,Curnow,CAR
60,45168,5524,Luke,The Dragon's Laird,235,54,True,1002239,Adam,Cerra,FRE
61,45168,5524,Luke,The Dragon's Laird,719,46,True,1006126,James,Rowbottom,SYD
62,45168,5524,Luke,The Dragon's Laird,484,69,False,281085,Steven,May,MEL
63,45168,5524,Luke,The Dragon's Laird,657,58,False,295584,Bradley,Hill,STK
64,45168,5524,Luke,The Dragon's Laird,676,84,False,293846,Sebastian,Ross,STK
