,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team,round_number
0,86078,9806,Lester,HoweIMetYourMother,153,156,True,291313,Jeremy,Howe,COL,1
1,86078,9806,Lester,HoweIMetYourMother,789,152,True,240283,Shannon,Hurn,WCE,1
2,86078,9806,Lester,HoweIMetYourMother,536,131,True,993998,Jy,Simpkin,NTH,1
3,86078,9806,Lester,HoweIMetYourMother,700,129,True,260382,Josh P.,Kennedy,SYD,1
4,86078,9806,Lester,HoweIMetYourMother,807,128,True,296296,Dom,Sheed,WCE,1
5,86078,9806,Lester,HoweIMetYourMother,620,126,True,290847,Dustin,Martin,RIC,1
6,86078,9806,Lester,HoweIMetYourMother,67,115,True,293716,Jarryd,Lyons,BRL,1
7,86078,9806,Lester,HoweIMetYourMother,94,112,True,990704,Patrick,Cripps,CAR,1
8,86078,9806,Lester,HoweIMetYourMother,307,111,True,298272,Touk,Miller,GCS,1
9,86078,9806,Lester,HoweIMetYourMother,366,100,True,291800,Tom,Stewart,GEE,1
10,86078,9806,Lester,HoweIMetYourMother,656,93,True,290117,Dan,Hannebery,STK,1
11,86078,9806,Lester,HoweIMetYourMother,709,85,True,993905,Callum,Mills,SYD,1
12,86078,9806,Lester,HoweIMetYourMother,464,71,True,298279,Angus,Brayshaw,MEL,1
13,86078,9806,Lester,HoweIMetYourMother,578,70,True,290746,Scott,Lycett,PTA,1
14,86078,9806,Lester,HoweIMetYourMother,377,70,True,293845,Jeremy,Cameron,GWS,1
15,86078,9806,Lester,HoweIMetYourMother,232,66,True,1002232,Andrew,Brayshaw,FRE,1
16,86078,9806,Lester,HoweIMetYourMother,591,57,True,260750,Justin,Westhoff,PTA,1
17,86078,9806,Lester,HoweIMetYourMother,37,55,True,291748,Brodie,Smith,ADE,1
18,86078,9806,Lester,HoweIMetYourMother,572,68,False,261892,Hamish,Hartlett,PTA,1
19,86078,9806,Lester,HoweIMetYourMother,178,0,False,291790,Adam,Treloar,COL,1
20,86078,9806,Lester,HoweIMetYourMother,699,0,False,294036,George,Hewett,SYD,1
21,86078,9806,Lester,HoweIMetYourMother,268,76,False,993816,Darcy,Tucker,FRE,1
22,180650,33301,Jordan,"What's Up, Doch?",643,120,True,296351,Jack,Billings,STK,1
23,180650,33301,Jordan,"What's Up, Doch?",440,119,True,291856,Tom,Mitchell,HAW,1
