,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team,round_number,round_number_alt
0,86078,9806,Lester,HoweIMetYourMother,232,144,True,1002232,Andrew,Brayshaw,FRE,5,R5
1,86078,9806,Lester,HoweIMetYourMother,235,134,True,1002239,Adam,Cerra,FRE,5,R5
2,86078,9806,Lester,HoweIMetYourMother,67,124,True,293716,Jarryd,Lyons,BRL,5,R5
3,86078,9806,Lester,HoweIMetYourMother,709,119,True,993905,Callum,Mills,SYD,5,R5
4,86078,9806,Lester,HoweIMetYourMother,178,119,True,291790,Adam,Treloar,COL,5,R5
5,86078,9806,Lester,HoweIMetYourMother,94,116,True,990704,Patrick,Cripps,CAR,5,R5
6,86078,9806,Lester,HoweIMetYourMother,536,97,True,993998,Jy,Simpkin,NTH,5,R5
7,86078,9806,Lester,HoweIMetYourMother,620,93,True,290847,Dustin,Martin,RIC,5,R5
8,86078,9806,Lester,HoweIMetYourMother,268,85,True,993816,Darcy,Tucker,FRE,5,R5
9,86078,9806,Lester,HoweIMetYourMother,700,85,True,260382,Josh P.,Kennedy,SYD,5,R5
10,86078,9806,Lester,HoweIMetYourMother,307,81,True,298272,Touk,Miller,GCS,5,R5
11,86078,9806,Lester,HoweIMetYourMother,464,76,True,298279,Angus,Brayshaw,MEL,5,R5
12,86078,9806,Lester,HoweIMetYourMother,341,73,True,290550,Cameron,Guthrie,GEE,5,R5
13,86078,9806,Lester,HoweIMetYourMother,37,72,True,291748,Brodie,Smith,ADE,5,R5
14,86078,9806,Lester,HoweIMetYourMother,273,68,True,1009256,Hayden,Young,FRE,5,R5
15,86078,9806,Lester,HoweIMetYourMother,789,68,True,240283,Shannon,Hurn,WCE,5,R5
16,86078,9806,Lester,HoweIMetYourMother,578,62,True,290746,Scott,Lycett,PTA,5,R5
17,86078,9806,Lester,HoweIMetYourMother,591,30,True,260750,Justin,Westhoff,PTA,5,R5
18,86078,9806,Lester,HoweIMetYourMother,366,0,False,291800,Tom,Stewart,GEE,5,R5
19,86078,9806,Lester,HoweIMetYourMother,807,119,False,296296,Dom,Sheed,WCE,5,R5
20,86078,9806,Lester,HoweIMetYourMother,214,62,False,993817,Darcy,Parish,ESS,5,R5
21,86078,9806,Lester,HoweIMetYourMother,340,107,False,298211,Darcy,Fort,GEE,5,R5
22,180650,33301,Jordan,"What's Up, Doch?",469,163,True,290528,Max,Gawn,MEL,5,R5
23,180650,33301,Jordan,"What's Up, Doch?",112,121,True,296190,Jack,Martin,CAR,5,R5
24,180650,33301,Jordan,"What's Up, Doch?",643,116,True,296351,Jack,Billings,STK,5,R5
25,180650,33301,Jordan,"What's Up, Doch?",387,106,True,295344,Toby,Greene,GWS,5,R5
26,180650,33301,Jordan,"What's Up, Doch?",335,104,True,270917,Patrick,Dangerfield,GEE,5,R5
27,180650,33301,Jordan,"What's Up, Doch?",440,101,True,291856,Tom,Mitchell,HAW,5,R5
28,180650,33301,Jordan,"What's Up, Doch?",645,95,True,992374,Dan,Butler,STK,5,R5
29,180650,33301,Jordan,"What's Up, Doch?",755,90,True,295467,Jack,Macrae,WBD,5,R5
30,180650,33301,Jordan,"What's Up, Doch?",99,89,True,295518,Sam,Docherty,CAR,5,R5
31,180650,33301,Jordan,"What's Up, Doch?",274,79,True,998130,Ben,Ainsworth,GCS,5,R5
32,180650,33301,Jordan,"What's Up, Doch?",286,78,True,293713,Brandon,Ellis,GCS,5,R5
33,180650,33301,Jordan,"What's Up, Doch?",199,78,True,270588,Cale,Hooker,ESS,5,R5
34,180650,33301,Jordan,"What's Up, Doch?",82,77,True,290311,Mitch,Robinson,BRL,5,R5
35,180650,33301,Jordan,"What's Up, Doch?",609,77,True,260930,Shane,Edwards,RIC,5,R5
36,180650,33301,Jordan,"What's Up, Doch?",570,77,True,261396,Robbie,Gray,PTA,5,R5
37,180650,33301,Jordan,"What's Up, Doch?",392,64,True,993903,Jacob,Hopper,GWS,5,R5
38,180650,33301,Jordan,"What's Up, Doch?",715,44,True,290307,Dane,Rampe,SYD,5,R5
39,180650,33301,Jordan,"What's Up, Doch?",533,43,True,290156,Jasper,Pittard,NTH,5,R5
40,180650,33301,Jordan,"What's Up, Doch?",197,0,False,290629,Dyson,Heppell,ESS,5,R5
41,180650,33301,Jordan,"What's Up, Doch?",660,0,False,991988,Zak,Jones,STK,5,R5
42,180650,33301,Jordan,"What's Up, Doch?",691,97,False,998103,Oliver,Florent,SYD,5,R5
43,180650,33301,Jordan,"What's Up, Doch?",209,22,False,280038,Shaun,McKernan,ESS,5,R5
44,21562,186,Mark,GetRichOrDieTryin,617,158,True,290032,Kane,Lambert,RIC,5,R5
45,21562,186,Mark,GetRichOrDieTryin,343,152,True,261510,Tom,Hawkins,GEE,5,R5
