,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team
69,45168,5524,Luke,The Dragon's Laird,146,107,True,293871,Jack,Crisp,COL
70,45168,5524,Luke,The Dragon's Laird,713,102,True,996765,Tom,Papley,SYD
71,45168,5524,Luke,The Dragon's Laird,200,99,True,270935,Michael,Hurley,ESS
72,45168,5524,Luke,The Dragon's Laird,553,98,True,250365,Travis,Boak,PTA
73,45168,5524,Luke,The Dragon's Laird,783,95,True,290838,Jack,Darling,WCE
74,45168,5524,Luke,The Dragon's Laird,217,92,True,1001026,Jordan,Ridley,ESS
75,45168,5524,Luke,The Dragon's Laird,21,91,True,293222,Rory,Laird,ADE
76,45168,5524,Luke,The Dragon's Laird,97,88,True,270146,Ed,Curnow,CAR
77,45168,5524,Luke,The Dragon's Laird,76,87,True,293535,Lachie,Neale,BRL
78,45168,5524,Luke,The Dragon's Laird,411,81,True,998172,Tim,Taranto,GWS
79,45168,5524,Luke,The Dragon's Laird,446,79,True,294613,Jaeger,O'Meara,HAW
80,45168,5524,Luke,The Dragon's Laird,761,77,True,1006130,Bailey,Smith,WBD
81,45168,5524,Luke,The Dragon's Laird,459,74,True,291962,Chad,Wingard,HAW
82,45168,5524,Luke,The Dragon's Laird,365,67,True,270912,Jack,Steven,GEE
83,45168,5524,Luke,The Dragon's Laird,534,55,True,290738,Jared,Polec,NTH
84,45168,5524,Luke,The Dragon's Laird,484,90,False,281085,Steven,May,MEL
85,45168,5524,Luke,The Dragon's Laird,36,0,False,270963,Rory,Sloane,ADE
86,45168,5524,Luke,The Dragon's Laird,628,0,False,290627,Dion,Prestia,RIC
87,45168,5524,Luke,The Dragon's Laird,565,0,False,261911,Brad,Ebert,PTA
88,10857,189,Anthony,The Full Bonty,740,204,True,1004592,Tim,English,WBD
89,10857,189,Anthony,The Full Bonty,455,149,True,297566,James,Sicily,HAW
90,10857,189,Anthony,The Full Bonty,490,121,True,996701,Clayton,Oliver,MEL
91,10857,189,Anthony,The Full Bonty,377,105,True,293845,Jeremy,Cameron,GWS
92,10857,189,Anthony,The Full Bonty,729,105,True,297373,Marcus,Bontempelli,WBD
93,10857,189,Anthony,The Full Bonty,794,105,True,295898,Tim,Kelly,WCE
94,10857,189,Anthony,The Full Bonty,322,100,True,298524,Lachie,Weller,GCS
95,10857,189,Anthony,The Full Bonty,54,99,True,990609,Charlie,Cameron,BRL
96,10857,189,Anthony,The Full Bonty,214,94,True,993817,Darcy,Parish,ESS
97,10857,189,Anthony,The Full Bonty,5,90,True,294307,Brad,Crouch,ADE
98,10857,189,Anthony,The Full Bonty,633,86,True,992049,Jayden,Short,RIC
99,10857,189,Anthony,The Full Bonty,51,81,True,998133,Jarrod,Berry,BRL
100,10857,189,Anthony,The Full Bonty,676,70,True,293846,Sebastian,Ross,STK
101,10857,189,Anthony,The Full Bonty,559,70,True,991930,Darcy,Byrne-Jones,PTA
102,10857,189,Anthony,The Full Bonty,207,67,True,998102,Andrew,McGrath,ESS
103,10857,189,Anthony,The Full Bonty,734,63,True,293651,Hayden,Crozier,WBD
104,10857,189,Anthony,The Full Bonty,588,34,True,1001299,Connor,Rozee,PTA
105,10857,189,Anthony,The Full Bonty,548,0,True,280944,Jack,Ziebell,NTH
106,10857,189,Anthony,The Full Bonty,415,0,False,294685,Zac,Williams,GWS
107,10857,189,Anthony,The Full Bonty,173,0,False,280965,Steele,Sidebottom,COL
108,10857,189,Anthony,The Full Bonty,337,0,False,281065,Mitch,Duncan,GEE
109,10857,189,Anthony,The Full Bonty,668,74,False,992468,Rowan,Marshall,STK
110,71052,9867,James,Bad Boys For Fyfe,293,144,True,281091,Hugh,Greenwood,GCS
111,71052,9867,James,Bad Boys For Fyfe,378,141,True,291969,Stephen,Coniglio,GWS
112,71052,9867,James,Bad Boys For Fyfe,714,141,True,290778,Luke,Parker,SYD
113,71052,9867,James,Bad Boys For Fyfe,579,110,True,1004998,Todd,Marshall,PTA
114,71052,9867,James,Bad Boys For Fyfe,736,108,True,295136,Caleb,Daniel,WBD
115,71052,9867,James,Bad Boys For Fyfe,319,108,True,290832,David,Swallow,GCS
116,71052,9867,James,Bad Boys For Fyfe,816,102,True,292128,Elliot,Yeo,WCE
117,71052,9867,James,Bad Boys For Fyfe,218,99,True,295461,Adam,Saad,ESS
118,71052,9867,James,Bad Boys For Fyfe,752,90,True,1003130,Patrick,Lipinski,WBD
119,71052,9867,James,Bad Boys For Fyfe,72,89,True,1000978,Hugh,McCluggage,BRL
120,71052,9867,James,Bad Boys For Fyfe,370,88,True,292511,Zach,Tuohy,GEE
