,index,year,gametime (AET),ground,FanFooty draw ID,team,score,SC_total,previous SC match score,rolling 3 round SC match average,rolling 5 round SC match average,match_identifier
53,3217,2010,2010-05-08 15:10:00,Subiaco,3451,HW,94.0,1624.0,1360.0,1505.0,1505.0,3451_HW
54,3218,2010,2010-05-08 19:10:00,MCG,3452,NM,91.0,1438.0,1672.0,1601.3333333333333,1601.3333333333333,3452_NM
55,3218,2010,2010-05-08 19:10:00,MCG,3452,CO,157.0,1872.0,1698.0,1816.6666666666667,1816.6666666666667,3452_CO
56,3219,2010,2010-05-08 19:10:00,Gabba,3453,FR,113.0,1817.0,1708.0,1678.0,1678.0,3453_FR
57,3219,2010,2010-05-08 19:10:00,Gabba,3453,BL,100.0,1517.0,1547.0,1637.6666666666667,1637.6666666666667,3453_BL
58,3220,2010,2010-05-09 13:10:00,Kardinia,3454,GE,126.0,1920.0,2007.0,1849.3333333333333,1849.3333333333333,3454_GE
59,3220,2010,2010-05-09 13:10:00,Kardinia,3454,SY,59.0,1394.0,1774.0,1844.3333333333333,1844.3333333333333,3454_SY
60,3221,2010,2010-05-09 16:40:00,Footy Park,3455,RI,54.0,1587.0,1306.0,1431.3333333333333,1431.3333333333333,3455_RI
61,3221,2010,2010-05-09 16:40:00,Footy Park,3455,AD,104.0,1750.0,1616.0,1538.0,1538.0,3455_AD
62,3222,2010,2010-05-10 19:20:00,Docklands,3456,SK,68.0,1398.0,1653.0,1655.3333333333333,1655.3333333333333,3456_SK
63,3222,2010,2010-05-10 19:20:00,Docklands,3456,CA,129.0,1913.0,1632.0,1773.3333333333333,1773.3333333333333,3456_CA
64,3223,2010,2010-05-14 20:40:00,Subiaco,3457,FR,97.0,1457.0,1817.0,1768.3333333333333,1712.75,3457_FR
65,3223,2010,2010-05-14 20:40:00,Subiaco,3457,CO,133.0,1846.0,1872.0,1816.3333333333333,1830.5,3457_CO
66,3224,2010,2010-05-15 14:10:00,Manuka,3458,WB,101.0,1879.0,1599.0,1697.0,1659.0,3458_WB
67,3224,2010,2010-05-15 14:10:00,Manuka,3458,SY,63.0,1466.0,1394.0,1710.0,1731.75,3458_SY
68,3225,2010,2010-05-15 14:10:00,MCG,3459,WC,75.0,1717.0,1723.0,1553.6666666666667,1600.0,3459_WC
69,3225,2010,2010-05-15 14:10:00,MCG,3459,ME,46.0,1601.0,1702.0,1697.0,1748.0,3459_ME
70,3226,2010,2010-05-15 19:10:00,Gabba,3460,GE,155.0,1985.0,1920.0,1803.0,1867.0,3460_GE
71,3226,2010,2010-05-15 19:10:00,Gabba,3460,BL,74.0,1326.0,1517.0,1549.6666666666667,1607.5,3460_BL
72,3227,2010,2010-05-15 19:10:00,Docklands,3461,NM,84.0,1697.0,1438.0,1579.3333333333333,1560.5,3461_NM
73,3227,2010,2010-05-15 19:10:00,Docklands,3461,AD,75.0,1623.0,1750.0,1617.0,1591.0,3461_AD
74,3228,2010,2010-05-16 13:10:00,MCG,3462,RI,86.0,1647.0,1587.0,1480.6666666666667,1470.25,3462_RI
75,3228,2010,2010-05-16 13:10:00,MCG,3462,HW,89.0,1677.0,1624.0,1564.0,1534.75,3462_HW
76,3229,2010,2010-05-16 15:10:00,Footy Park,3463,CA,118.0,1840.0,1913.0,1802.3333333333333,1808.25,3463_CA
77,3229,2010,2010-05-16 15:10:00,Footy Park,3463,PA,92.0,1504.0,1607.0,1693.6666666666667,1585.5,3463_PA
78,3230,2010,2010-05-16 16:40:00,Docklands,3464,SK,81.0,1727.0,1398.0,1529.6666666666667,1591.0,3464_SK
79,3230,2010,2010-05-16 16:40:00,Docklands,3464,ES,93.0,1600.0,1700.0,1714.6666666666667,1678.0,3464_ES
80,3231,2010,2010-05-21 19:40:00,MCG,3465,GE,86.0,1894.0,1985.0,1970.6666666666667,1890.6,3465_GE
81,3231,2010,2010-05-21 19:40:00,MCG,3465,CO,50.0,1426.0,1846.0,1805.3333333333333,1833.6,3465_CO
82,3232,2010,2010-05-22 14:10:00,Docklands,3466,NM,57.0,1287.0,1697.0,1602.3333333333333,1587.8,3466_NM
83,3232,2010,2010-05-22 14:10:00,Docklands,3466,WB,127.0,2024.0,1879.0,1718.0,1703.0,3466_WB
84,3233,2010,2010-05-22 14:10:00,SCG,3467,SY,63.0,1676.0,1466.0,1544.6666666666667,1678.6,3467_SY
85,3233,2010,2010-05-22 14:10:00,SCG,3467,FR,100.0,1646.0,1457.0,1660.6666666666667,1661.6,3467_FR
86,3234,2010,2010-05-22 19:40:00,MCG,3468,RI,95.0,1394.0,1647.0,1513.3333333333333,1505.6,3468_RI
87,3234,2010,2010-05-22 19:40:00,MCG,3468,ES,130.0,1905.0,1600.0,1768.3333333333333,1662.4,3468_ES
88,3235,2010,2010-05-22 19:40:00,Marrara,3469,PA,110.0,1695.0,1504.0,1605.0,1569.2,3469_PA
89,3235,2010,2010-05-22 19:40:00,Marrara,3469,ME,111.0,1626.0,1601.0,1656.0,1718.6,3469_ME
90,3236,2010,2010-05-23 13:10:00,Footy Park,3470,AD,93.0,1650.0,1623.0,1663.0,1597.4,3470_AD
91,3236,2010,2010-05-23 13:10:00,Footy Park,3470,BL,81.0,1655.0,1326.0,1463.3333333333333,1551.2,3470_BL
92,3237,2010,2010-05-23 14:10:00,Docklands,3471,CA,60.0,1611.0,1840.0,1795.0,1814.6,3471_CA
93,3237,2010,2010-05-23 14:10:00,Docklands,3471,HW,110.0,1711.0,1677.0,1553.6666666666667,1563.2,3471_HW
94,3238,2010,2010-05-23 16:40:00,Subiaco,3472,SK,91.0,1752.0,1727.0,1592.6666666666667,1618.2,3472_SK
95,3238,2010,2010-05-23 16:40:00,Subiaco,3472,WC,56.0,1547.0,1717.0,1677.6666666666667,1623.4,3472_WC
96,3239,2010,2010-05-28 19:40:00,Docklands,3473,ES,99.0,1792.0,1905.0,1735.0,1729.8,3473_ES
97,3239,2010,2010-05-28 19:40:00,Docklands,3473,WB,90.0,1510.0,2024.0,1834.0,1798.8,3473_WB
98,3240,2010,2010-05-29 14:10:00,Kardinia,3474,GE,121.0,1917.0,1894.0,1933.0,1857.6,3474_GE
99,3240,2010,2010-05-29 14:10:00,Kardinia,3474,ME,67.0,1385.0,1626.0,1643.0,1663.6,3474_ME
100,3241,2010,2010-05-29 15:10:00,Footy Park,3475,PA,30.0,1485.0,1695.0,1602.0,1656.0,3475_PA
101,3241,2010,2010-05-29 15:10:00,Footy Park,3475,RI,77.0,1848.0,1394.0,1542.6666666666667,1496.6,3475_RI
102,3242,2010,2010-05-29 19:10:00,Gabba,3476,CO,80.0,1610.0,1426.0,1714.6666666666667,1744.2,3476_CO
103,3242,2010,2010-05-29 19:10:00,Gabba,3476,BL,88.0,1672.0,1655.0,1499.3333333333333,1526.0,3476_BL
104,3243,2010,2010-05-29 19:10:00,Docklands,3477,SK,123.0,1849.0,1752.0,1625.6666666666667,1613.6,3477_SK
105,3243,2010,2010-05-29 19:10:00,Docklands,3477,AD,76.0,1428.0,1650.0,1674.3333333333333,1624.8,3477_AD
106,3244,2010,2010-05-30 13:10:00,MCG,3478,HW,79.0,1631.0,1711.0,1670.6666666666667,1616.0,3478_HW
107,3244,2010,2010-05-30 13:10:00,MCG,3478,SY,77.0,1687.0,1676.0,1512.0,1654.4,3478_SY
108,3245,2010,2010-05-30 14:10:00,Docklands,3479,WC,76.0,1372.0,1547.0,1662.3333333333333,1585.0,3479_WC
109,3245,2010,2010-05-30 14:10:00,Docklands,3479,CA,105.0,1927.0,1611.0,1788.0,1771.6,3479_CA
110,3246,2010,2010-05-30 16:40:00,Subiaco,3480,NM,78.0,1448.0,1287.0,1474.0,1544.4,3480_NM
111,3246,2010,2010-05-30 16:40:00,Subiaco,3480,FR,139.0,1854.0,1646.0,1640.0,1681.6,3480_FR
112,3247,2010,2010-06-04 19:40:00,Docklands,3481,SK,97.0,1907.0,1849.0,1776.0,1675.8,3481_SK
113,3247,2010,2010-06-04 19:40:00,Docklands,3481,RI,59.0,1415.0,1848.0,1629.6666666666667,1556.4,3481_RI
114,3248,2010,2010-06-05 14:10:00,MCG,3482,CA,101.0,1792.0,1927.0,1792.6666666666667,1784.6,3482_CA
115,3248,2010,2010-06-05 14:10:00,MCG,3482,ME,60.0,1549.0,1385.0,1537.3333333333333,1595.8,3482_ME
116,3249,2010,2010-06-05 15:10:00,Footy Park,3483,AD,105.0,1835.0,1428.0,1567.0,1613.4,3483_AD
117,3249,2010,2010-06-05 15:10:00,Footy Park,3483,FR,82.0,1503.0,1854.0,1652.3333333333333,1696.4,3483_FR
118,3250,2010,2010-06-05 19:10:00,Docklands,3484,NM,90.0,1590.0,1448.0,1477.3333333333333,1508.4,3484_NM
119,3250,2010,2010-06-05 19:10:00,Docklands,3484,BL,89.0,1717.0,1672.0,1551.0,1543.4,3484_BL
120,3251,2010,2010-06-05 19:40:00,Subiaco,3485,WC,98.0,1583.0,1372.0,1545.3333333333333,1590.4,3485_WC
121,3251,2010,2010-06-05 19:40:00,Subiaco,3485,GE,122.0,1717.0,1917.0,1932.0,1944.6,3485_GE
122,3252,2010,2010-06-06 13:10:00,SCG,3486,ES,80.0,1617.0,1792.0,1765.6666666666667,1800.4,3486_ES
123,3252,2010,2010-06-06 13:10:00,SCG,3486,SY,89.0,1667.0,1687.0,1609.6666666666667,1599.4,3486_SY
124,3253,2010,2010-06-06 14:10:00,MCG,3487,HW,74.0,1679.0,1631.0,1673.0,1600.6,3487_HW
125,3253,2010,2010-06-06 14:10:00,MCG,3487,PA,63.0,1625.0,1485.0,1561.3333333333333,1599.0,3487_PA
126,3254,2010,2010-06-06 16:40:00,Docklands,3488,CO,113.0,1775.0,1610.0,1627.3333333333333,1690.4,3488_CO
127,3254,2010,2010-06-06 16:40:00,Docklands,3488,WB,103.0,1558.0,1510.0,1804.3333333333333,1737.6,3488_WB
128,3255,2010,2010-06-11 19:40:00,Docklands,3489,CA,68.0,1587.0,1792.0,1776.6666666666667,1816.6,3489_CA
129,3255,2010,2010-06-11 19:40:00,Docklands,3489,NM,97.0,1734.0,1590.0,1441.6666666666667,1492.0,3489_NM
130,3256,2010,2010-06-12 14:10:00,Launceston,3490,HW,124.0,1822.0,1679.0,1673.6666666666667,1664.4,3490_HW
131,3256,2010,2010-06-12 14:10:00,Launceston,3490,AD,77.0,1497.0,1835.0,1637.6666666666667,1657.2,3490_AD
132,3257,2010,2010-06-12 19:10:00,Docklands,3491,ES,83.0,1445.0,1617.0,1771.3333333333333,1722.8,3491_ES
133,3257,2010,2010-06-12 19:10:00,Docklands,3491,GE,154.0,1875.0,1717.0,1842.6666666666667,1886.6,3491_GE
134,3258,2010,2010-06-12 19:40:00,Footy Park,3492,PA,55.0,1564.0,1625.0,1601.6666666666667,1583.2,3492_PA
135,3258,2010,2010-06-12 19:40:00,Footy Park,3492,SY,93.0,1759.0,1667.0,1676.6666666666667,1578.0,3492_SY
136,3259,2010,2010-06-13 13:10:00,MCG,3493,RI,126.0,1794.0,1415.0,1552.3333333333333,1578.2,3493_RI
137,3259,2010,2010-06-13 13:10:00,MCG,3493,WC,77.0,1521.0,1583.0,1500.6666666666667,1588.4,3493_WC
138,3260,2010,2010-06-13 14:10:00,Docklands,3494,WB,121.0,1920.0,1558.0,1697.3333333333333,1714.0,3494_WB
139,3260,2010,2010-06-13 14:10:00,Docklands,3494,BL,56.0,1424.0,1717.0,1681.3333333333333,1577.4,3494_BL
140,3261,2010,2010-06-13 16:40:00,Subiaco,3495,FR,67.0,1505.0,1503.0,1667.6666666666667,1655.4,3495_FR
141,3261,2010,2010-06-13 16:40:00,Subiaco,3495,SK,85.0,1805.0,1907.0,1836.0,1726.6,3495_SK
142,3262,2010,2010-06-14 14:10:00,MCG,3496,CO,76.0,1654.0,1775.0,1603.6666666666667,1705.8,3496_CO
143,3262,2010,2010-06-14 14:10:00,MCG,3496,ME,76.0,1658.0,1549.0,1520.0,1572.6,3496_ME
144,3263,2010,2010-06-18 19:40:00,MCG,3497,HW,102.0,1729.0,1822.0,1710.6666666666667,1704.0,3497_HW
145,3263,2010,2010-06-18 19:40:00,MCG,3497,ES,86.0,1579.0,1445.0,1618.0,1671.8,3497_ES
146,3264,2010,2010-06-19 19:10:00,Docklands,3498,CA,87.0,1678.0,1587.0,1768.6666666666667,1751.4,3498_CA
147,3264,2010,2010-06-19 19:10:00,Docklands,3498,FR,96.0,1623.0,1505.0,1620.6666666666667,1593.0,3498_FR
148,3265,2010,2010-06-19 19:10:00,Gabba,3499,RI,105.0,1714.0,1794.0,1685.6666666666667,1619.6,3499_RI
149,3265,2010,2010-06-19 19:10:00,Gabba,3499,BL,86.0,1604.0,1424.0,1604.3333333333333,1558.8,3499_BL
150,3266,2010,2010-06-20 13:10:00,Docklands,3500,NM,129.0,1708.0,1734.0,1590.6666666666667,1551.2,3500_NM
151,3266,2010,2010-06-20 13:10:00,Docklands,3500,PA,93.0,1592.0,1564.0,1558.0,1574.6,3500_PA
152,3267,2010,2010-06-20 16:40:00,Subiaco,3501,WB,119.0,1774.0,1920.0,1662.6666666666667,1778.2,3501_WB
153,3267,2010,2010-06-20 16:40:00,Subiaco,3501,WC,59.0,1519.0,1521.0,1492.0,1548.0,3501_WC
154,3268,2010,2010-06-25 19:40:00,MCG,3502,GE,46.0,1483.0,1875.0,1836.3333333333333,1877.6,3502_GE
155,3268,2010,2010-06-25 19:40:00,MCG,3502,SK,70.0,1860.0,1805.0,1853.6666666666667,1808.0,3502_SK
156,3269,2010,2010-06-26 19:10:00,Homebush,3503,SY,71.0,1518.0,1759.0,1704.3333333333333,1651.0,3503_SY
157,3269,2010,2010-06-26 19:10:00,Homebush,3503,CO,96.0,1802.0,1654.0,1679.6666666666667,1662.2,3503_CO
158,3270,2010,2010-06-27 15:10:00,Footy Park,3504,ME,73.0,1476.0,1658.0,1530.6666666666667,1563.8,3504_ME
159,3270,2010,2010-06-27 15:10:00,Footy Park,3504,AD,117.0,1823.0,1497.0,1586.6666666666667,1606.6,3504_AD
160,3272,2010,2010-07-02 19:40:00,MCG,3506,HW,79.0,1675.0,1729.0,1743.3333333333333,1714.4,3506_HW
161,3272,2010,2010-07-02 19:40:00,MCG,3506,WB,76.0,1675.0,1774.0,1750.6666666666667,1757.2,3506_WB
162,3273,2010,2010-07-03 15:10:00,Subiaco,3507,PA,58.0,1621.0,1592.0,1593.6666666666667,1592.2,3507_PA
163,3273,2010,2010-07-03 15:10:00,Subiaco,3507,FR,115.0,1728.0,1623.0,1543.6666666666667,1626.2,3507_FR
164,3274,2010,2010-07-03 19:10:00,Docklands,3508,WC,52.0,1333.0,1519.0,1541.0,1508.4,3508_WC
165,3274,2010,2010-07-03 19:10:00,Docklands,3508,CO,135.0,1968.0,1802.0,1743.6666666666667,1653.4,3508_CO
166,3275,2010,2010-07-03 19:40:00,Footy Park,3509,AD,124.0,1805.0,1823.0,1718.3333333333333,1646.6,3509_AD
167,3275,2010,2010-07-03 19:40:00,Footy Park,3509,ES,40.0,1525.0,1579.0,1547.0,1667.6,3509_ES
168,3276,2010,2010-07-04 13:10:00,Kardinia,3510,NM,63.0,1345.0,1708.0,1677.3333333333333,1553.4,3510_NM
169,3276,2010,2010-07-04 13:10:00,Kardinia,3510,GE,98.0,1969.0,1483.0,1691.6666666666667,1777.2,3510_GE
170,3277,2010,2010-07-04 14:10:00,MCG,3511,RI,89.0,1682.0,1714.0,1641.0,1633.0,3511_RI
171,3277,2010,2010-07-04 14:10:00,MCG,3511,SY,85.0,1616.0,1518.0,1648.0,1661.4,3511_SY
172,3278,2010,2010-07-04 16:40:00,Docklands,3512,SK,100.0,1845.0,1860.0,1857.3333333333333,1834.6,3512_SK
173,3278,2010,2010-07-04 16:40:00,Docklands,3512,ME,65.0,1456.0,1476.0,1561.0,1538.8,3512_ME
174,3279,2010,2010-07-09 20:40:00,Footy Park,3513,CO,105.0,1689.0,1968.0,1808.0,1761.8,3513_CO
175,3279,2010,2010-07-09 20:40:00,Footy Park,3513,PA,79.0,1608.0,1621.0,1592.3333333333333,1577.4,3513_PA
176,3280,2010,2010-07-10 14:10:00,MCG,3514,HW,83.0,1648.0,1675.0,1742.0,1707.2,3514_HW
177,3280,2010,2010-07-10 14:10:00,MCG,3514,GE,85.0,1692.0,1969.0,1775.6666666666667,1792.2,3514_GE
178,3281,2010,2010-07-10 15:10:00,Subiaco,3515,WC,95.0,1621.0,1333.0,1457.6666666666667,1465.6,3515_WC
179,3281,2010,2010-07-10 15:10:00,Subiaco,3515,AD,117.0,1683.0,1805.0,1708.3333333333333,1677.6,3515_AD
180,3282,2010,2010-07-10 19:10:00,Gabba,3516,BL,65.0,1604.0,1604.0,1581.6666666666667,1614.4,3516_BL
181,3282,2010,2010-07-10 19:10:00,Gabba,3516,SK,79.0,1739.0,1845.0,1836.6666666666667,1853.2,3516_SK
182,3283,2010,2010-07-10 19:10:00,Docklands,3517,RI,100.0,1752.0,1682.0,1730.0,1690.6,3517_RI
183,3283,2010,2010-07-10 19:10:00,Docklands,3517,FR,81.0,1540.0,1728.0,1618.6666666666667,1642.6,3517_FR
184,3284,2010,2010-07-11 13:10:00,SCG,3518,SY,85.0,1951.0,1616.0,1631.0,1649.4,3518_SY
185,3284,2010,2010-07-11 13:10:00,SCG,3518,NM,55.0,1366.0,1345.0,1595.6666666666667,1565.0,3518_NM
