,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,player_round_id,source
38,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,77.0,True,296296.0,Dom,Sheed,WCE,MID,R2,296296_R2,Draft
39,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,56.0,True,296296.0,Dom,Sheed,WCE,MID,R3,296296_R3,Draft
40,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,87.0,True,296296.0,Dom,Sheed,WCE,MID,R4,296296_R4,Draft
41,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,119.0,False,296296.0,Dom,Sheed,WCE,MID,R5,296296_R5,Draft
42,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,114.0,True,296296.0,Dom,Sheed,WCE,MID,R6,296296_R6,Draft
43,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,76.0,True,296296.0,Dom,Sheed,WCE,MID,R7,296296_R7,Draft
44,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,44.0,True,296296.0,Dom,Sheed,WCE,MID,R8,296296_R8,Draft
45,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,807.0,MID,135.0,True,296296.0,Dom,Sheed,WCE,MID,R9,296296_R9,Draft
46,10.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,0.0,False,296296.0,Dom,Sheed,WCE,MID,R10,296296_R10,Draft
47,11.0,10857.0,189.0,Anthony,The Full Bonty,807.0,MID,137.0,False,296296.0,Dom,Sheed,WCE,MID,R11,296296_R11,Draft
48,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,126.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R1,290847_R1,Draft
49,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,79.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R2,290847_R2,Draft
50,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,0.0,False,290847.0,Dustin,Martin,RIC,FWD MID,R3,290847_R3,Draft
51,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,81.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R4,290847_R4,Draft
52,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,93.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R5,290847_R5,Draft
53,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,66.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R6,290847_R6,Draft
54,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,100.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R7,290847_R7,Draft
55,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,108.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R8,290847_R8,Draft
56,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,184.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R9,290847_R9,Draft
57,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,111.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R10,290847_R10,Draft
58,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,620.0,FWD,74.0,True,290847.0,Dustin,Martin,RIC,FWD MID,R11,290847_R11,Draft
59,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,115.0,True,293716.0,Jarryd,Lyons,BRL,MID,R1,293716_R1,Draft
60,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,92.0,True,293716.0,Jarryd,Lyons,BRL,MID,R2,293716_R2,Draft
61,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,114.0,True,293716.0,Jarryd,Lyons,BRL,MID,R3,293716_R3,Draft
62,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,116.0,True,293716.0,Jarryd,Lyons,BRL,MID,R4,293716_R4,Draft
63,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,124.0,True,293716.0,Jarryd,Lyons,BRL,MID,R5,293716_R5,Draft
64,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,88.0,True,293716.0,Jarryd,Lyons,BRL,MID,R6,293716_R6,Draft
65,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,114.0,True,293716.0,Jarryd,Lyons,BRL,MID,R7,293716_R7,Draft
66,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,147.0,True,293716.0,Jarryd,Lyons,BRL,MID,R8,293716_R8,Draft
67,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,115.0,True,293716.0,Jarryd,Lyons,BRL,MID,R9,293716_R9,Draft
68,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,121.0,True,293716.0,Jarryd,Lyons,BRL,MID,R10,293716_R10,Draft
69,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,67.0,MID,138.0,True,293716.0,Jarryd,Lyons,BRL,MID,R11,293716_R11,Draft
70,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,112.0,True,990704.0,Patrick,Cripps,CAR,MID,R1,990704_R1,Draft
71,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,117.0,True,990704.0,Patrick,Cripps,CAR,MID,R2,990704_R2,Draft
72,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,123.0,True,990704.0,Patrick,Cripps,CAR,MID,R3,990704_R3,Draft
73,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,81.0,True,990704.0,Patrick,Cripps,CAR,MID,R4,990704_R4,Draft
74,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,116.0,True,990704.0,Patrick,Cripps,CAR,MID,R5,990704_R5,Draft
75,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,56.0,True,990704.0,Patrick,Cripps,CAR,MID,R6,990704_R6,Draft
76,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,85.0,True,990704.0,Patrick,Cripps,CAR,MID,R7,990704_R7,Draft
77,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,75.0,True,990704.0,Patrick,Cripps,CAR,MID,R8,990704_R8,Draft
78,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,149.0,True,990704.0,Patrick,Cripps,CAR,MID,R9,990704_R9,Draft
79,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,0.0,False,990704.0,Patrick,Cripps,CAR,MID,R10,990704_R10,Draft
80,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,94.0,MID,93.0,True,990704.0,Patrick,Cripps,CAR,MID,R11,990704_R11,Draft
81,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,111.0,True,298272.0,Touk,Miller,GCS,MID,R1,298272_R1,Draft
82,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,98.0,True,298272.0,Touk,Miller,GCS,MID,R2,298272_R2,Draft
83,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,126.0,True,298272.0,Touk,Miller,GCS,MID,R3,298272_R3,Draft
84,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,111.0,True,298272.0,Touk,Miller,GCS,MID,R4,298272_R4,Draft
85,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,81.0,True,298272.0,Touk,Miller,GCS,MID,R5,298272_R5,Draft
86,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,142.0,True,298272.0,Touk,Miller,GCS,MID,R6,298272_R6,Draft
87,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,102.0,True,298272.0,Touk,Miller,GCS,MID,R7,298272_R7,Draft
88,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,140.0,True,298272.0,Touk,Miller,GCS,MID,R8,298272_R8,Draft
89,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,80.0,True,298272.0,Touk,Miller,GCS,MID,R9,298272_R9,Draft
90,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,109.0,True,298272.0,Touk,Miller,GCS,MID,R10,298272_R10,Draft
91,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,65.0,True,298272.0,Touk,Miller,GCS,MID,R11,298272_R11,Draft
92,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,100.0,True,291800.0,Tom,Stewart,GEE,DEF,R1,291800_R1,Draft
93,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,119.0,True,291800.0,Tom,Stewart,GEE,DEF,R2,291800_R2,Draft
94,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,84.0,True,291800.0,Tom,Stewart,GEE,DEF,R3,291800_R3,Draft
95,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,18.0,True,291800.0,Tom,Stewart,GEE,DEF,R4,291800_R4,Draft
96,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,0.0,False,291800.0,Tom,Stewart,GEE,DEF,R5,291800_R5,Draft
97,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,0.0,False,291800.0,Tom,Stewart,GEE,DEF,R6,291800_R6,Draft
98,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,0.0,False,291800.0,Tom,Stewart,GEE,DEF,R7,291800_R7,Draft
99,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,89.0,True,291800.0,Tom,Stewart,GEE,DEF,R8,291800_R8,Draft
100,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,145.0,True,291800.0,Tom,Stewart,GEE,DEF,R9,291800_R9,Draft
101,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,68.0,True,291800.0,Tom,Stewart,GEE,DEF,R10,291800_R10,Draft
102,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,100.0,True,291800.0,Tom,Stewart,GEE,DEF,R11,291800_R11,Draft
103,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,93.0,True,290117.0,Dan,Hannebery,STK,MID,R1,290117_R1,Draft
104,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,97.0,True,290117.0,Dan,Hannebery,STK,MID,R2,290117_R2,Draft
105,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,41.0,True,290117.0,Dan,Hannebery,STK,MID,R3,290117_R3,Draft
106,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,73.0,True,290117.0,Dan,Hannebery,STK,MID,R4,290117_R4,Draft
107,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,85.0,True,993905.0,Callum,Mills,SYD,DEF,R1,993905_R1,Draft
108,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,96.0,True,993905.0,Callum,Mills,SYD,DEF,R2,993905_R2,Draft
109,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,74.0,True,993905.0,Callum,Mills,SYD,DEF,R3,993905_R3,Draft
110,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,112.0,True,993905.0,Callum,Mills,SYD,DEF,R4,993905_R4,Draft
111,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,119.0,True,993905.0,Callum,Mills,SYD,DEF,R5,993905_R5,Draft
112,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,173.0,True,993905.0,Callum,Mills,SYD,DEF,R6,993905_R6,Draft
113,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,81.0,True,993905.0,Callum,Mills,SYD,DEF,R7,993905_R7,Draft
114,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,110.0,True,993905.0,Callum,Mills,SYD,DEF,R8,993905_R8,Draft
115,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,83.0,True,993905.0,Callum,Mills,SYD,DEF,R9,993905_R9,Draft
116,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,74.0,True,993905.0,Callum,Mills,SYD,DEF,R10,993905_R10,Draft
117,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,0.0,False,993905.0,Callum,Mills,SYD,DEF,R11,993905_R11,Draft
118,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,71.0,True,298279.0,Angus,Brayshaw,MEL,MID,R1,298279_R1,Draft
119,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,83.0,True,298279.0,Angus,Brayshaw,MEL,MID,R2,298279_R2,Draft
120,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,0.0,False,298279.0,Angus,Brayshaw,MEL,MID,R3,298279_R3,Draft
