,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,player_round_id,Fanfooty Match ID,Fanfooty Match URL,Round,Year,Player ID,First Name,Surname,Team,null,DT,SC,null2,null3,null4,Kicks,Handballs,Marks,Tackles,Hitouts,Frees for,Frees against,Goals,Behinds,Not sure,Tag,Tag Notes,Tag 2,Tag 2 Notes,null5,null6,null7,null8,Position,Jumper Number,null9,null10,null11,DT own %,SC own %,AF own %,null12,AF Breakeven,null13,Contested Possessions,Clearances,Clangers,Disposal efficiency,Time on ground,Metres gained,Injured,Opposition
218,6,180650,33301,Jordan,"What's Up, Doch?",99,DEF,49,True,295518,Sam,Docherty,CAR,DEF,R6,295518_R6,7354.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7354,R6,2020.0,295518.0,Sam,Docherty,CA,12.0,63.0,49.0,82.0,51.0,66.0,12.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Time,guard,%D including %K... also %M... Starting at half back,,,,,,,Back,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,3.0,73.0,83.0,325.0,False,WB
219,7,180650,33301,Jordan,"What's Up, Doch?",99,DEF,89,True,295518,Sam,Docherty,CAR,DEF,R7,295518_R7,7360.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7360,R7,2020.0,295518.0,Sam,Docherty,CA,8.0,61.0,89.0,78.0,48.0,66.0,13.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Time,guard,%O with %k by foot... also %M... Starting at half back,,,,,,,Back,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,1.0,83.0,83.0,364.0,False,PA
220,8,180650,33301,Jordan,"What's Up, Doch?",99,DEF,66,True,295518,Sam,Docherty,CAR,DEF,R8,295518_R8,7366.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7366,R8,2020.0,295518.0,Sam,Docherty,CA,9.0,52.0,66.0,37.0,39.0,60.0,9.0,4.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,Full Time,irish,Forward tag on him by Pittard... %D and %M with %T... gave away %F,guard,Starting at half back,,,,,Back,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,1.0,6.0,69.0,90.0,277.0,False,NM
221,9,180650,33301,Jordan,"What's Up, Doch?",99,DEF,91,True,295518,Sam,Docherty,CAR,DEF,R9,295518_R9,7375.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7375,R9,2020.0,295518.0,Sam,Docherty,CA,7.0,63.0,91.0,81.0,50.0,69.0,13.0,6.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,Full Time,guard,%M and %O... Starting at half back,,,,,,,Back,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,1.0,5.0,63.0,91.0,321.0,False,HW
222,10,180650,33301,Jordan,"What's Up, Doch?",99,DEF,0,False,295518,Sam,Docherty,CAR,DEF,R10,295518_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1,180650,33301,Jordan,"What's Up, Doch?",389,DEF,114,True,295265,Nick,Haynes,GWS,DEF,R1,295265_R1,7305.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7305,R1,2020.0,295265.0,Nick,Haynes,WS,14.0,85.0,114.0,111.0,68.0,87.0,17.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,Full Time,hot,%O with %k by foot... also %M,guard,In defence...,439300.0,,474700.0,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,525000.0,,,8.0,1.0,4.0,65.0,87.0,444.0,False,GE
224,2,180650,33301,Jordan,"What's Up, Doch?",389,DEF,97,True,295265,Nick,Haynes,GWS,DEF,R2,295265_R2,7316.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7316,R2,2020.0,295265.0,Nick,Haynes,WS,9.0,67.0,97.0,89.0,50.0,66.0,13.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,Full Time,guard,%P with %k by foot... also %M and %T... Guarding space at half back,,,439300.0,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,525000.0,,,3.0,0.0,1.0,86.0,91.0,396.0,False,NM
225,3,180650,33301,Jordan,"What's Up, Doch?",389,DEF,110,True,295265,Nick,Haynes,GWS,DEF,R3,295265_R3,7320.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7320,R3,2020.0,295265.0,Nick,Haynes,WS,18.0,78.0,110.0,47.0,66.0,84.0,14.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,Full Time,guard,%O with %k by foot... also %M... Guarding space at half back,,,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,3.0,70.0,82.0,296.0,False,WB
226,4,180650,33301,Jordan,"What's Up, Doch?",389,DEF,101,True,295265,Nick,Haynes,GWS,DEF,R4,295265_R4,7329.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7329,R4,2020.0,295265.0,Nick,Haynes,WS,13.0,70.0,101.0,92.0,58.0,75.0,12.0,4.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,Full Time,guard,%O including %K... also %M... Guarding space at half back,,,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,0.0,3.0,68.0,92.0,210.0,False,CO
227,5,8258,9856,Simon,It's always Sonny,389,DEF,148,True,295265,Nick,Haynes,GWS,DEF,R5,295265_R5,7345.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7345,R5,2020.0,295265.0,Nick,Haynes,WS,25.0,115.0,148.0,153.0,88.0,111.0,17.0,4.0,11.0,5.0,0.0,3.0,0.0,0.0,0.0,Full Time,star,%O with %k by foot... also %M and %T... helped out by %4FF,guard,Guarding space at half back,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,2.0,1.0,81.0,90.0,382.0,False,HW
228,6,8258,9856,Simon,It's always Sonny,389,DEF,113,True,295265,Nick,Haynes,GWS,DEF,R6,295265_R6,7352.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7352,R6,2020.0,295265.0,Nick,Haynes,WS,14.0,87.0,113.0,44.0,70.0,93.0,17.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Full Time,hot,%P with %k by foot... also %M,guard,Guarding space at half back,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,1.0,2.0,73.0,84.0,332.0,False,PA
229,7,8258,9856,Simon,It's always Sonny,389,DEF,75,True,295265,Nick,Haynes,GWS,DEF,R7,295265_R7,7357.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7357,R7,2020.0,295265.0,Nick,Haynes,WS,4.0,47.0,75.0,61.0,35.0,48.0,8.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,Full Time,guard,%D and %M with %T... Guarding space at half back,,,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,2.0,75.0,87.0,265.0,False,BL
230,8,8258,9856,Simon,It's always Sonny,389,DEF,129,True,295265,Nick,Haynes,GWS,DEF,R8,295265_R8,7365.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7365,R8,2020.0,295265.0,Nick,Haynes,WS,19.0,82.0,129.0,109.0,65.0,81.0,13.0,2.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,Full Time,rock,%O with %k by foot... also %M and %T,guard,Guarding space at half back,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,1.0,0.0,73.0,95.0,289.0,False,RI
231,9,8258,9856,Simon,It's always Sonny,389,DEF,110,True,295265,Nick,Haynes,GWS,DEF,R9,295265_R9,7380.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7380,R9,2020.0,295265.0,Nick,Haynes,WS,13.0,78.0,110.0,41.0,63.0,78.0,15.0,3.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,Full Time,guard,%O with %k by foot... also %M... helped out by %4FF... Guarding space at half back,,,,,,,Back,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,0.0,1.0,83.0,87.0,405.0,False,GC
232,10,8258,9856,Simon,It's always Sonny,389,DEF,102,True,295265,Nick,Haynes,GWS,DEF,R10,295265_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,1,180650,33301,Jordan,"What's Up, Doch?",392,MID,112,True,993903,Jacob,Hopper,GWS,MID,R1,993903_R1,7305.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7305,R1,2020.0,993903.0,Jacob,Hopper,WS,14.0,89.0,112.0,112.0,73.0,96.0,10.0,12.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,Full Time,hot,%O and %M plus %T,shovel,Starting in midfield,513200.0,,520200.0,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,568000.0,,,11.0,4.0,2.0,72.0,85.0,308.0,False,GE
234,2,180650,33301,Jordan,"What's Up, Doch?",392,MID,68,True,993903,Jacob,Hopper,GWS,MID,R2,993903_R2,7316.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7316,R2,2020.0,993903.0,Jacob,Hopper,WS,14.0,61.0,68.0,82.0,40.0,59.0,9.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,Full Time,shovel,%P and %T plus %s... Starting in midfield,,,513200.0,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,568000.0,,,5.0,2.0,1.0,38.0,76.0,226.0,False,NM
235,3,180650,33301,Jordan,"What's Up, Doch?",392,MID,83,True,993903,Jacob,Hopper,GWS,MID,R3,993903_R3,7320.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7320,R3,2020.0,993903.0,Jacob,Hopper,WS,13.0,72.0,83.0,43.0,54.0,78.0,14.0,4.0,3.0,5.0,0.0,2.0,3.0,0.0,0.0,Full Time,shovel,%P including %K... also %T and %M... not helped by %F... Starting in midfield,,,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,3.0,6.0,50.0,81.0,301.0,False,WB
236,4,180650,33301,Jordan,"What's Up, Doch?",392,MID,68,True,993903,Jacob,Hopper,GWS,MID,R4,993903_R4,7329.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7329,R4,2020.0,993903.0,Jacob,Hopper,WS,14.0,49.0,68.0,67.0,40.0,63.0,5.0,9.0,1.0,6.0,0.0,1.0,4.0,0.0,0.0,Full Time,shovel,%O and %T... gave away %F... Starting in midfield,,,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,3.0,6.0,50.0,78.0,122.0,False,CO
237,5,180650,33301,Jordan,"What's Up, Doch?",392,MID,64,True,993903,Jacob,Hopper,GWS,MID,R5,993903_R5,7345.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7345,R5,2020.0,993903.0,Jacob,Hopper,WS,8.0,52.0,64.0,66.0,42.0,60.0,6.0,9.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,Full Time,shovel,%D and %M with %T... Starting in midfield,,,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,2.0,3.0,73.0,63.0,150.0,False,HW
238,6,180650,33301,Jordan,"What's Up, Doch?",392,MID,103,False,993903,Jacob,Hopper,GWS,MID,R6,993903_R6,7352.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7352,R6,2020.0,993903.0,Jacob,Hopper,WS,19.0,74.0,103.0,72.0,59.0,87.0,5.0,17.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,Full Time,shovel,%D with %b by hand... also %T... Starting in midfield,,,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16.0,7.0,2.0,81.0,83.0,116.0,False,PA
239,7,180650,33301,Jordan,"What's Up, Doch?",392,MID,96,False,993903,Jacob,Hopper,GWS,MID,R7,993903_R7,7357.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7357,R7,2020.0,993903.0,Jacob,Hopper,WS,13.0,66.0,96.0,86.0,55.0,78.0,9.0,10.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,Full Time,shovel,%O and %M plus %T... aided by %4FF... not helped by %F... Starting in midfield,,,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.0,7.0,4.0,63.0,70.0,160.0,False,BL
240,8,180650,33301,Jordan,"What's Up, Doch?",392,MID,95,True,993903,Jacob,Hopper,GWS,MID,R8,993903_R8,7365.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7365,R8,2020.0,993903.0,Jacob,Hopper,WS,13.0,63.0,95.0,85.0,49.0,72.0,12.0,6.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,Full Time,shovel,%D and %M with %T... not helped by %F... Starting in midfield,,,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,3.0,3.0,72.0,69.0,354.0,False,RI
241,9,180650,33301,Jordan,"What's Up, Doch?",392,MID,134,True,993903,Jacob,Hopper,GWS,MID,R9,993903_R9,7380.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7380,R9,2020.0,993903.0,Jacob,Hopper,WS,26.0,107.0,134.0,77.0,85.0,113.0,14.0,13.0,4.0,4.0,0.0,3.0,0.0,1.0,2.0,Full Time,hot,%D and %M with %T... %s as well... aided by %4FF,shovel,Starting in midfield,,,,,Midfielder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12.0,5.0,0.0,66.0,83.0,373.0,False,GC
242,10,180650,33301,Jordan,"What's Up, Doch?",392,MID,86,True,993903,Jacob,Hopper,GWS,MID,R10,993903_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1,180650,33301,Jordan,"What's Up, Doch?",387,FWD,108,True,295344,Toby,Greene,GWS,FWD,R1,295344_R1,7305.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7305,R1,2020.0,295344.0,Toby,Greene,WS,25.0,81.0,108.0,99.0,73.0,91.0,12.0,4.0,6.0,0.0,0.0,0.0,2.0,4.0,1.0,Full Time,cherry,%s from %P and %M,wing,On a HFF...,370300.0,,510100.0,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,604000.0,,,3.0,1.0,3.0,62.0,90.0,339.0,False,GE
244,2,180650,33301,Jordan,"What's Up, Doch?",387,FWD,47,True,295344,Toby,Greene,GWS,FWD,R2,295344_R2,7316.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7316,R2,2020.0,295344.0,Toby,Greene,WS,3.0,39.0,47.0,47.0,35.0,50.0,4.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,Full Time,wing,%s from %P and %M... Well held by McDonald on a HFF,,,370300.0,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,604000.0,,,6.0,0.0,1.0,61.0,82.0,204.0,False,NM
245,3,180650,33301,Jordan,"What's Up, Doch?",387,FWD,0,False,295344,Toby,Greene,GWS,FWD,R3,295344_R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,4,180650,33301,Jordan,"What's Up, Doch?",387,FWD,96,True,295344,Toby,Greene,GWS,FWD,R4,295344_R4,7329.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7329,R4,2020.0,295344.0,Toby,Greene,WS,20.0,73.0,96.0,89.0,68.0,90.0,11.0,8.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,Full Time,wing,%s from %O and %M... not helped by %F... Starting forward on Maynard,,,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,2.0,5.0,63.0,90.0,254.0,False,CO
247,5,180650,33301,Jordan,"What's Up, Doch?",387,FWD,106,True,295344,Toby,Greene,GWS,FWD,R5,295344_R5,7345.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7345,R5,2020.0,295344.0,Toby,Greene,WS,19.0,78.0,106.0,97.0,62.0,81.0,8.0,10.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0,Full Time,wing,%s from %P and %M plus %T... helped out by %4FF... Starting on a HFF on Stratton,,,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13.0,1.0,4.0,50.0,94.0,286.0,False,HW
248,6,180650,33301,Jordan,"What's Up, Doch?",387,FWD,83,True,295344,Toby,Greene,GWS,FWD,R6,295344_R6,7352.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7352,R6,2020.0,295344.0,Toby,Greene,WS,15.0,76.0,83.0,50.0,65.0,87.0,11.0,10.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,Full Time,wing,%s from %O and %M... Rotating from a HFF to midfield,,,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,0.0,5.0,47.0,90.0,386.0,False,PA
249,7,180650,33301,Jordan,"What's Up, Doch?",387,FWD,0,False,295344,Toby,Greene,GWS,FWD,R7,295344_R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,8,180650,33301,Jordan,"What's Up, Doch?",387,FWD,166,True,295344,Toby,Greene,GWS,FWD,R8,295344_R8,7365.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7365,R8,2020.0,295344.0,Toby,Greene,WS,31.0,102.0,166.0,121.0,91.0,108.0,11.0,7.0,8.0,0.0,0.0,1.0,0.0,5.0,0.0,Full Time,star,%s from %P and %M,pocket,Starting forward on Grimes,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,0.0,2.0,72.0,96.0,300.0,False,RI
251,9,180650,33301,Jordan,"What's Up, Doch?",387,FWD,41,True,295344,Toby,Greene,GWS,FWD,R9,295344_R9,7380.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7380,R9,2020.0,295344.0,Toby,Greene,WS,1.0,22.0,41.0,8.0,17.0,23.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Full Time,injured,Pulled up short in Q1 with a right hamstring tweak and iced up... %s from %P,wing,Starting forward on Budarick,,,,,Forward,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,1.0,66.0,21.0,178.0,True,GC
252,10,180650,33301,Jordan,"What's Up, Doch?",387,FWD,0,False,295344,Toby,Greene,GWS,FWD,R10,295344_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,1,180650,33301,Jordan,"What's Up, Doch?",112,FWD,107,True,296190,Jack,Martin,CAR,FWD MID,R1,296190_R1,7301.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7301,R1,2020.0,296190.0,Jack,Martin,CA,25.0,86.0,107.0,61.0,79.0,97.0,11.0,6.0,6.0,1.0,0.0,3.0,3.0,4.0,1.0,Full Time,target,Four goals in a very productive Q3... %P and %M plus %s... umps paid him %4FF... conceded %F,wing,Playing a half forward role,523900.0,,420800.0,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,608000.0,,,7.0,0.0,4.0,76.0,90.0,275.0,False,RI
254,2,180650,33301,Jordan,"What's Up, Doch?",112,FWD,71,True,296190,Jack,Martin,CAR,FWD MID,R2,296190_R2,7313.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7313,R2,2020.0,296190.0,Jack,Martin,CA,9.0,57.0,71.0,75.0,41.0,56.0,6.0,5.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,Full Time,wing,%D and %M with %T... %s as well... Playing a half forward role,,,523900.0,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,608000.0,,,3.0,1.0,1.0,63.0,78.0,237.0,False,ME
255,3,180650,33301,Jordan,"What's Up, Doch?",112,FWD,127,True,296190,Jack,Martin,CAR,FWD MID,R3,296190_R3,7323.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7323,R3,2020.0,296190.0,Jack,Martin,CA,13.0,77.0,127.0,54.0,57.0,79.0,12.0,6.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,Full Time,wing,%D and %M with %T... %s as well... Playing a half forward role,,,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,3.0,1.0,72.0,80.0,195.0,False,GE
256,4,180650,33301,Jordan,"What's Up, Doch?",112,FWD,56,True,296190,Jack,Martin,CAR,FWD MID,R4,296190_R4,7332.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7332,R4,2020.0,296190.0,Jack,Martin,CA,10.0,45.0,56.0,47.0,39.0,54.0,2.0,9.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,Full Time,down,%P including %B... also %T and %M... and kicked %s,wing,Playing a half forward role,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,1.0,5.0,72.0,90.0,83.0,False,ES
257,5,180650,33301,Jordan,"What's Up, Doch?",112,FWD,121,True,296190,Jack,Martin,CAR,FWD MID,R5,296190_R5,7337.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7337,R5,2020.0,296190.0,Jack,Martin,CA,20.0,90.0,0.0,113.0,78.0,101.0,8.0,11.0,9.0,3.0,0.0,0.0,1.0,1.0,2.0,Full Time,atlas,%O and %M plus %T... %s as well,wing,Playing a half forward role,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,1.0,1.0,89.0,83.0,304.0,False,SK
258,6,180650,33301,Jordan,"What's Up, Doch?",112,FWD,116,True,296190,Jack,Martin,CAR,FWD MID,R6,296190_R6,7354.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7354,R6,2020.0,296190.0,Jack,Martin,CA,17.0,74.0,116.0,95.0,62.0,82.0,6.0,7.0,5.0,5.0,0.0,0.0,2.0,2.0,1.0,Full Time,x-factor,%O and %M plus %T... %s as well,wing,Playing a half forward role,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.0,1.0,2.0,84.0,76.0,80.0,False,WB
259,7,180650,33301,Jordan,"What's Up, Doch?",112,FWD,85,True,296190,Jack,Martin,CAR,FWD MID,R7,296190_R7,7360.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7360,R7,2020.0,296190.0,Jack,Martin,CA,10.0,53.0,85.0,67.0,43.0,58.0,6.0,6.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,Full Time,wing,%O and %M plus %T... %s as well... Playing a half forward role,,,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5.0,2.0,2.0,66.0,84.0,304.0,False,PA
260,8,180650,33301,Jordan,"What's Up, Doch?",112,FWD,80,True,296190,Jack,Martin,CAR,FWD MID,R8,296190_R8,7366.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7366,R8,2020.0,296190.0,Jack,Martin,CA,14.0,73.0,80.0,50.0,59.0,83.0,12.0,6.0,5.0,4.0,0.0,1.0,3.0,0.0,2.0,Full Time,shovel,%O and %M plus %T... %s as well... gave away %F... Playing in midfield,,,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6.0,3.0,5.0,55.0,89.0,397.0,False,NM
261,9,180650,33301,Jordan,"What's Up, Doch?",112,FWD,99,True,296190,Jack,Martin,CAR,FWD MID,R9,296190_R9,7375.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7375,R9,2020.0,296190.0,Jack,Martin,CA,20.0,69.0,99.0,84.0,58.0,75.0,5.0,10.0,2.0,4.0,0.0,3.0,1.0,2.0,0.0,Full Time,wing,%P and %M plus %T... %s as well... helped out by %4FF... Playing a half forward role,,,,,,,Back,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.0,3.0,4.0,73.0,81.0,205.0,False,HW
262,10,180650,33301,Jordan,"What's Up, Doch?",112,FWD,0,False,296190,Jack,Martin,CAR,FWD MID,R10,296190_R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,1,180650,33301,Jordan,"What's Up, Doch?",491,FWD,105,True,298210,Christian,Petracca,MEL,FWD,R1,298210_R1,7309.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7309,R1,2020.0,298210.0,Christian,Petracca,ME,14.0,90.0,105.0,69.0,73.0,99.0,11.0,13.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,Full Time,hot,%D and %M with %T,shovel,Starting in midfield,506500.0,,441300.0,,Forward,5.0,0.0,0.0,0.0,0.0,0.0,0.0,585000.0,,,11.0,2.0,3.0,66.0,84.0,361.0,False,WC
264,2,180650,33301,Jordan,"What's Up, Doch?",491,FWD,126,True,298210,Christian,Petracca,MEL,FWD,R2,298210_R2,7313.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7313,R2,2020.0,298210.0,Christian,Petracca,ME,28.0,108.0,126.0,89.0,86.0,117.0,12.0,12.0,5.0,6.0,0.0,0.0,1.0,2.0,0.0,Full Time,star,%s from %O and %M plus %T,shovel,Starting in midfield,506500.0,,,,Forward,5.0,0.0,0.0,0.0,0.0,0.0,0.0,585000.0,,,11.0,5.0,3.0,79.0,88.0,274.0,False,CA
265,3,180650,33301,Jordan,"What's Up, Doch?",491,FWD,0,False,298210,Christian,Petracca,MEL,FWD,R3,298210_R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,4,180650,33301,Jordan,"What's Up, Doch?",491,FWD,89,True,298210,Christian,Petracca,MEL,FWD,R4,298210_R4,7335.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7335,R4,2020.0,298210.0,Christian,Petracca,ME,19.0,76.0,89.0,95.0,59.0,79.0,9.0,9.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,Full Time,shovel,%s from %P and %M plus %T... Starting in midfield,,,,,,,Forward,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8.0,0.0,0.0,50.0,90.0,259.0,False,GE
267,5,8258,9856,Simon,It's always Sonny,491,FWD,111,True,298210,Christian,Petracca,MEL,FWD,R5,298210_R5,7344.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7344,R5,2020.0,298210.0,Christian,Petracca,ME,13.0,69.0,111.0,81.0,64.0,93.0,7.0,20.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,Full Time,shovel,%O including %B... also %M... Starting in midfield,,,,,,,Forward,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9.0,1.0,3.0,85.0,89.0,322.0,False,RI
268,6,8258,9856,Simon,It's always Sonny,491,FWD,104,True,298210,Christian,Petracca,MEL,FWD,R6,298210_R6,7350.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7350,R6,2020.0,298210.0,Christian,Petracca,ME,25.0,89.0,104.0,108.0,80.0,108.0,11.0,14.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,Full Time,butcher,%s from %D and %M,shovel,Starting in midfield,,,,,Forward,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15.0,6.0,8.0,64.0,89.0,335.0,False,GC
269,7,8258,9856,Simon,It's always Sonny,491,FWD,160,True,298210,Christian,Petracca,MEL,FWD,R7,298210_R7,7361.0,http://live.fanfooty.com.au/game/matchcentre.html?id=7361,R7,2020.0,298210.0,Christian,Petracca,ME,20.0,96.0,160.0,67.0,80.0,109.0,12.0,17.0,3.0,2.0,0.0,2.0,0.0,1.0,1.0,Full Time,gun,%s from %O and %M plus %T,shovel,Starting in midfield,,,,,Forward,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16.0,4.0,1.0,79.0,91.0,431.0,False,HW
