,round,coach_id,coach_team_id,coach_first_name,coach_team_name,wins,draws,losses,points_for,points_against,league_points,position
0,10,71052,9867,James,Bad Boys For Fyfe,4,0,6,15309,16364,16,8
0,11,86078,9806,Lester,HoweIMetYourMother,7,0,4,18343,17487,28,1
0,11,180650,33301,Jordan,"What's Up, Doch?",7,0,4,17344,17236,28,2
0,11,45168,5524,Luke,The Dragon's Laird,6,0,5,18029,18070,24,3
0,11,300791,182,Paul,Coronaviney,6,0,5,17425,17740,24,4
0,11,8258,9856,Simon,It's always Sonny,5,0,6,17981,17608,20,5
0,11,21562,186,Mark,GetRichOrDieTryin,5,0,6,17844,17863,20,6
0,11,10857,189,Anthony,The Full Bonty,4,0,7,17943,17837,16,7
0,11,71052,9867,James,Bad Boys For Fyfe,4,0,7,16882,17950,16,8
0,12,86078,9806,Lester,HoweIMetYourMother,8,0,4,20119,19239,32,1
0,12,180650,33301,Jordan,"What's Up, Doch?",8,0,4,18922,18810,32,2
0,12,8258,9856,Simon,It's always Sonny,6,0,6,19729,19133,24,3
0,12,21562,186,Mark,GetRichOrDieTryin,6,0,6,19711,19535,24,4
0,12,45168,5524,Luke,The Dragon's Laird,6,0,6,19781,19846,24,5
0,12,300791,182,Paul,Coronaviney,6,0,6,18999,19318,24,6
0,12,10857,189,Anthony,The Full Bonty,4,0,8,19615,19704,16,7
0,12,71052,9867,James,Bad Boys For Fyfe,4,0,8,18407,19698,16,8
0,13,86078,9806,Lester,HoweIMetYourMother,9,0,4,22035,20817,36,1
0,13,180650,33301,Jordan,"What's Up, Doch?",9,0,4,20754,20438,36,2
0,13,8258,9856,Simon,It's always Sonny,7,0,6,21489,20882,28,3
0,13,21562,186,Mark,GetRichOrDieTryin,7,0,6,21572,21130,28,4
0,13,45168,5524,Luke,The Dragon's Laird,6,0,7,21409,21678,24,5
0,13,300791,182,Paul,Coronaviney,6,0,7,20748,21078,24,6
0,13,10857,189,Anthony,The Full Bonty,4,0,9,21193,21620,16,7
0,13,71052,9867,James,Bad Boys For Fyfe,4,0,9,20002,21559,16,8
0,14,86078,9806,Lester,HoweIMetYourMother,10,0,4,23633,22410,40,1
0,14,180650,33301,Jordan,"What's Up, Doch?",10,0,4,22704,22051,40,2
0,14,21562,186,Mark,GetRichOrDieTryin,8,0,6,23368,22746,32,3
0,14,8258,9856,Simon,It's always Sonny,7,0,7,23105,22678,28,4
0,14,300791,182,Paul,Coronaviney,7,0,7,22408,22709,28,5
