,round_number,match_name,home_team_id,home_team_name,home_team_coach,home_team_points,away_team_id,away_team_name,away_team_coach,away_team_points
0,16,Simon vs Lester,23413,The West Wingard,Simon,1362,22859,Ariana Grundy,Lester,1764
0,17,Paul vs Anthony,2016,At Witts End,Paul,1893,20323,La MacRaena,Anthony,1555
0,17,Jordan vs Luke,23345,Pink Lloyd,Jordan,1689,6510,The Big Short,Luke,1630
0,17,Simon vs Mark,23413,The West Wingard,Simon,1702,2018,Surviving J.Kelly,Mark,1620
0,17,Lester vs James,22859,Ariana Grundy,Lester,1708,20240,MakingTheirMarcus,James,1859
0,18,Paul vs Jordan,2016,At Witts End,Paul,1839,23345,Pink Lloyd,Jordan,1571
0,18,Simon vs Anthony,23413,The West Wingard,Simon,1518,20323,La MacRaena,Anthony,1760
0,18,Lester vs Luke,22859,Ariana Grundy,Lester,1704,6510,The Big Short,Luke,1600
0,18,James vs Mark,20240,MakingTheirMarcus,James,1598,2018,Surviving J.Kelly,Mark,1327
0,19,Paul vs Simon,2016,At Witts End,Paul,1747,23413,The West Wingard,Simon,1424
0,19,Lester vs Jordan,22859,Ariana Grundy,Lester,1656,23345,Pink Lloyd,Jordan,1689
0,19,James vs Anthony,20240,MakingTheirMarcus,James,1408,20323,La MacRaena,Anthony,1779
0,19,Mark vs Luke,2018,Surviving J.Kelly,Mark,1491,6510,The Big Short,Luke,1777
0,20,Paul vs Lester,2016,At Witts End,Paul,1879,22859,Ariana Grundy,Lester,1932
0,20,James vs Simon,20240,MakingTheirMarcus,James,1427,23413,The West Wingard,Simon,1629
0,20,Mark vs Jordan,2018,Surviving J.Kelly,Mark,1645,23345,Pink Lloyd,Jordan,1600
0,20,Luke vs Anthony,6510,The Big Short,Luke,1811,20323,La MacRaena,Anthony,1555
0,21,Paul vs James,2016,At Witts End,Paul,1662,20240,MakingTheirMarcus,James,1631
0,21,Mark vs Lester,2018,Surviving J.Kelly,Mark,1736,22859,Ariana Grundy,Lester,1671
0,21,Luke vs Simon,6510,The Big Short,Luke,1706,23413,The West Wingard,Simon,1754
0,21,Anthony vs Jordan,20323,La MacRaena,Anthony,1612,23345,Pink Lloyd,Jordan,1673
0,22,Anthony vs James,20323,La MacRaena,Anthony,1561,20240,MakingTheirMarcus,James,1696
0,22,Paul vs Luke,2016,At Witts End,Paul,1938,6510,The Big Short,Luke,1789
0,23,James vs Paul,20240,MakingTheirMarcus,James,1693,2016,At Witts End,Paul,1897
