,player_id,total_games,total_points,average
0,234,3,103,34.333333333333336
0,235,12,755,62.916666666666664
0,236,17,1208,71.05882352941177
0,237,17,1313,77.23529411764706
0,238,5,351,70.2
0,239,0,0,
0,240,16,1495,93.4375
0,242,0,0,
0,243,17,1824,107.29411764705883
0,244,17,943,55.470588235294116
0,245,14,1135,81.07142857142857
0,246,3,185,61.666666666666664
0,247,0,0,
0,248,16,1200,75.0
0,249,0,0,
0,251,8,518,64.75
0,252,0,0,
0,254,14,1384,98.85714285714286
0,255,3,212,70.66666666666667
0,257,15,1103,73.53333333333333
0,258,5,260,52.0
0,259,16,1210,75.625
0,260,17,1302,76.58823529411765
0,261,4,202,50.5
0,262,16,916,57.25
0,263,17,1428,84.0
0,264,1,36,36.0
0,265,15,716,47.733333333333334
0,266,0,0,
0,267,17,1337,78.6470588235294
0,268,0,0,
0,269,7,356,50.857142857142854
0,271,17,944,55.529411764705884
0,272,16,1342,83.875
0,273,1,49,49.0
0,274,5,312,62.4
0,275,5,179,35.8
0,277,7,371,53.0
0,278,17,1795,105.58823529411765
0,279,13,748,57.53846153846154
0,281,12,734,61.166666666666664
0,282,0,0,
0,284,17,945,55.588235294117645
0,285,6,283,47.166666666666664
0,286,17,1363,80.17647058823529
0,287,12,685,57.083333333333336
0,288,6,390,65.0
0,289,0,0,
0,290,17,1801,105.94117647058823
0,291,0,0,
0,292,0,0,
0,295,15,1002,66.8
0,296,12,830,69.16666666666667
0,297,0,0,
0,298,5,512,102.4
0,299,14,860,61.42857142857143
0,300,2,66,33.0
0,301,0,0,
0,302,15,1224,81.6
0,303,0,0,
0,304,0,0,
0,305,12,532,44.333333333333336
0,306,17,1381,81.23529411764706
0,307,17,1587,93.3529411764706
0,308,11,601,54.63636363636363
0,309,16,1018,63.625
0,310,17,1682,98.94117647058823
0,311,0,0,
0,312,17,1228,72.23529411764706
0,313,3,150,50.0
0,314,8,426,53.25
0,315,2,124,62.0
0,316,12,838,69.83333333333333
0,317,17,1936,113.88235294117646
0,318,0,0,
0,319,16,1658,103.625
0,320,0,0,
0,321,5,404,80.8
0,322,17,1755,103.23529411764706
0,323,3,126,42.0
0,324,17,1799,105.82352941176471
0,325,10,703,70.3
0,326,17,1030,60.588235294117645
0,327,17,1615,95.0
0,329,1,37,37.0
0,330,1,86,86.0
0,331,13,799,61.46153846153846
0,332,0,0,
0,333,17,1832,107.76470588235294
0,334,17,1225,72.05882352941177
0,335,5,321,64.2
0,337,17,1205,70.88235294117646
0,338,0,0,
0,339,14,1186,84.71428571428571
0,340,12,825,68.75
0,341,15,1095,73.0
0,342,11,911,82.81818181818181
0,343,6,435,72.5
0,344,10,740,74.0
0,345,7,719,102.71428571428571
0,346,0,0,
0,348,14,1402,100.14285714285714
0,349,0,0,
0,351,15,1131,75.4
0,353,12,716,59.666666666666664
0,354,0,0,
0,355,0,0,
0,357,2,119,59.5
0,358,0,0,
0,359,16,1575,98.4375
0,360,3,201,67.0
0,361,16,1062,66.375
0,362,10,541,54.1
0,363,13,816,62.76923076923077
0,364,15,968,64.53333333333333
0,366,0,0,
0,367,6,436,72.66666666666667
0,368,13,1085,83.46153846153847
0,369,17,1672,98.3529411764706
0,370,5,297,59.4
0,371,16,1058,66.125
0,372,7,405,57.857142857142854
0,373,17,1546,90.94117647058823
0,374,1,36,36.0
0,375,2,100,50.0
0,376,13,902,69.38461538461539
0,377,14,1604,114.57142857142857
0,378,6,336,56.0
0,379,12,739,61.583333333333336
0,380,10,783,78.3
0,381,2,121,60.5
0,382,16,1504,94.0
0,383,3,188,62.666666666666664
0,384,3,91,30.333333333333332
0,385,5,348,69.6
0,387,0,0,
0,388,0,0,
0,389,0,0,
0,391,11,929,84.45454545454545
0,392,4,268,67.0
0,393,7,534,76.28571428571429
0,395,17,1777,104.52941176470588
0,396,13,1060,81.53846153846153
0,398,1,55,55.0
0,399,13,916,70.46153846153847
0,400,13,939,72.23076923076923
0,401,6,512,85.33333333333333
0,402,11,787,71.54545454545455
0,404,16,908,56.75
0,406,3,272,90.66666666666667
0,407,16,1305,81.5625
0,408,7,309,44.142857142857146
0,409,16,1111,69.4375
0,410,12,702,58.5
0,411,2,169,84.5
0,412,5,290,58.0
0,413,5,198,39.6
0,414,0,0,
0,415,5,248,49.6
0,416,0,0,
0,417,8,297,37.125
0,418,1,52,52.0
0,419,16,1358,84.875
0,421,17,1930,113.52941176470588
0,422,3,211,70.33333333333333
0,423,4,108,27.0
0,424,11,734,66.72727272727273
0,425,2,80,40.0
0,426,16,886,55.375
0,427,12,1090,90.83333333333333
0,428,6,212,35.333333333333336
0,429,0,0,
0,430,15,1124,74.93333333333334
0,431,0,0,
0,433,13,967,74.38461538461539
0,434,14,757,54.07142857142857
0,435,16,1251,78.1875
0,436,11,1132,102.9090909090909
0,437,17,1431,84.17647058823529
0,438,15,1324,88.26666666666667
0,439,3,180,60.0
0,440,2,51,25.5
0,442,0,0,
0,443,14,1134,81.0
0,444,9,436,48.44444444444444
0,445,5,261,52.2
0,446,0,0,
0,447,16,1070,66.875
0,448,14,1958,139.85714285714286
0,449,13,834,64.15384615384616
0,450,14,985,70.35714285714286
0,451,0,0,
0,452,6,294,49.0
0,453,6,349,58.166666666666664
0,454,6,208,34.666666666666664
0,455,8,435,54.375
0,456,0,0,
0,457,17,1542,90.70588235294117
0,459,17,1327,78.05882352941177
0,460,10,539,53.9
0,461,17,1607,94.52941176470588
0,462,9,541,60.111111111111114
0,463,17,939,55.23529411764706
0,464,7,404,57.714285714285715
0,465,0,0,
0,466,17,2078,122.23529411764706
0,467,17,1998,117.52941176470588
0,468,0,0,
0,469,14,668,47.714285714285715
0,470,9,587,65.22222222222223
0,472,16,1397,87.3125
0,473,7,275,39.285714285714285
0,474,8,444,55.5
0,475,5,314,62.8
0,476,13,784,60.30769230769231
0,477,12,673,56.083333333333336
0,478,16,1593,99.5625
0,479,13,735,56.53846153846154
0,480,15,1570,104.66666666666667
0,481,17,1279,75.23529411764706
0,482,6,274,45.666666666666664
0,483,3,98,32.666666666666664
0,484,1,36,36.0
0,485,0,0,
0,486,15,1064,70.93333333333334
0,487,3,307,102.33333333333333
0,488,9,725,80.55555555555556
0,489,17,1721,101.23529411764706
0,491,2,90,45.0
0,492,17,1904,112.0
0,493,15,1095,73.0
0,494,8,419,52.375
0,495,10,491,49.1
0,497,10,506,50.6
