,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
566,5.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,100.0,True,294613,Jaeger,O'Meara,HAW,MID,R5,Draft
567,6.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,66.0,True,294613,Jaeger,O'Meara,HAW,MID,R6,Draft
568,7.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,79.0,True,294613,Jaeger,O'Meara,HAW,MID,R7,Draft
569,8.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,97.0,True,294613,Jaeger,O'Meara,HAW,MID,R8,Draft
570,9.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,102.0,True,294613,Jaeger,O'Meara,HAW,MID,R9,Draft
571,10.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,0.0,False,294613,Jaeger,O'Meara,HAW,MID,R10,Draft
572,11.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,61.0,True,294613,Jaeger,O'Meara,HAW,MID,R11,Draft
573,12.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,116.0,True,294613,Jaeger,O'Meara,HAW,MID,R12,Draft
574,13.0,45168.0,5524.0,Luke,The Dragon's Laird,446.0,MID,0.0,False,294613,Jaeger,O'Meara,HAW,MID,R13,Draft
575,1.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,107.0,True,297523,Reilly,O'Brien,ADE,RUC,R1,Draft
576,2.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,161.0,True,297523,Reilly,O'Brien,ADE,RUC,R2,Draft
577,3.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,91.0,True,297523,Reilly,O'Brien,ADE,RUC,R3,Draft
578,4.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,88.0,True,297523,Reilly,O'Brien,ADE,RUC,R4,Draft
579,5.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,95.0,True,297523,Reilly,O'Brien,ADE,RUC,R5,Draft
580,6.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,103.0,True,297523,Reilly,O'Brien,ADE,RUC,R6,Draft
581,7.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,143.0,True,297523,Reilly,O'Brien,ADE,RUC,R7,Draft
582,8.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,86.0,True,297523,Reilly,O'Brien,ADE,RUC,R8,Draft
583,9.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,94.0,True,297523,Reilly,O'Brien,ADE,RUC,R9,Draft
584,10.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,50.0,True,297523,Reilly,O'Brien,ADE,RUC,R10,Draft
585,11.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,106.0,True,297523,Reilly,O'Brien,ADE,RUC,R11,Draft
586,12.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,124.0,True,297523,Reilly,O'Brien,ADE,RUC,R12,Draft
587,13.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,82.0,True,297523,Reilly,O'Brien,ADE,RUC,R13,Draft
588,14.0,45168.0,5524.0,Luke,The Dragon's Laird,30.0,RUC,0.0,False,297523,Reilly,O'Brien,ADE,RUC,R14,Draft
589,1.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,106.0,True,1006130,Bailey,Smith,WBD,FWD MID,R1,Draft
590,2.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,126.0,True,1006130,Bailey,Smith,WBD,FWD MID,R2,Draft
591,3.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,101.0,True,1006130,Bailey,Smith,WBD,FWD MID,R3,Draft
592,4.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,93.0,True,1006130,Bailey,Smith,WBD,FWD MID,R4,Draft
593,5.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,3.0,True,1006130,Bailey,Smith,WBD,FWD MID,R5,Draft
594,6.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,119.0,True,1006130,Bailey,Smith,WBD,FWD MID,R6,Draft
595,7.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,77.0,True,1006130,Bailey,Smith,WBD,FWD MID,R7,Draft
596,8.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,104.0,True,1006130,Bailey,Smith,WBD,FWD MID,R8,Draft
597,9.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,76.0,True,1006130,Bailey,Smith,WBD,FWD MID,R9,Draft
598,10.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,88.0,True,1006130,Bailey,Smith,WBD,FWD MID,R10,Draft
599,11.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,68.0,True,1006130,Bailey,Smith,WBD,FWD MID,R11,Draft
600,12.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,150.0,True,1006130,Bailey,Smith,WBD,FWD MID,R12,Draft
601,13.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,100.0,True,1006130,Bailey,Smith,WBD,FWD MID,R13,Draft
602,14.0,45168.0,5524.0,Luke,The Dragon's Laird,761.0,FWD,71.0,True,1006130,Bailey,Smith,WBD,FWD MID,R14,Draft
603,1.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,88.0,True,293222,Rory,Laird,ADE,DEF,R1,Draft
604,2.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,72.0,True,293222,Rory,Laird,ADE,DEF,R2,Draft
605,3.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,107.0,True,293222,Rory,Laird,ADE,DEF,R3,Draft
606,4.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,86.0,True,293222,Rory,Laird,ADE,DEF,R4,Draft
607,5.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,107.0,True,293222,Rory,Laird,ADE,DEF,R5,Draft
608,6.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,76.0,True,293222,Rory,Laird,ADE,DEF,R6,Draft
609,7.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,91.0,True,293222,Rory,Laird,ADE,DEF,R7,Draft
610,8.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,97.0,True,293222,Rory,Laird,ADE,DEF,R8,Draft
611,9.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,93.0,True,293222,Rory,Laird,ADE,DEF,R9,Draft
612,10.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,120.0,True,293222,Rory,Laird,ADE,DEF,R10,Draft
613,11.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,185.0,True,293222,Rory,Laird,ADE,DEF,R11,Draft
614,12.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,77.0,True,293222,Rory,Laird,ADE,DEF,R12,Draft
615,13.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,120.0,True,293222,Rory,Laird,ADE,DEF,R13,Draft
616,14.0,45168.0,5524.0,Luke,The Dragon's Laird,21.0,DEF,0.0,False,293222,Rory,Laird,ADE,DEF,R14,Draft
617,1.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,85.0,True,996765,Tom,Papley,SYD,FWD,R1,Draft
618,2.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,84.0,True,996765,Tom,Papley,SYD,FWD,R2,Draft
619,3.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,109.0,True,996765,Tom,Papley,SYD,FWD,R3,Draft
620,4.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,101.0,True,996765,Tom,Papley,SYD,FWD,R4,Draft
621,5.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,79.0,True,996765,Tom,Papley,SYD,FWD,R5,Draft
622,6.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,72.0,True,996765,Tom,Papley,SYD,FWD,R6,Draft
623,7.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,102.0,True,996765,Tom,Papley,SYD,FWD,R7,Draft
624,8.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,101.0,True,996765,Tom,Papley,SYD,FWD,R8,Draft
625,9.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,57.0,True,996765,Tom,Papley,SYD,FWD,R9,Draft
626,10.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,55.0,True,996765,Tom,Papley,SYD,FWD,R10,Draft
627,11.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,0.0,False,996765,Tom,Papley,SYD,FWD,R11,Draft
628,12.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,82.0,True,996765,Tom,Papley,SYD,FWD,R12,Draft
629,13.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,58.0,True,996765,Tom,Papley,SYD,FWD,R13,Draft
630,14.0,45168.0,5524.0,Luke,The Dragon's Laird,713.0,FWD,69.0,True,996765,Tom,Papley,SYD,FWD,R14,Draft
631,1.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,84.0,True,294557,Lachie,Hunter,WBD,MID,R1,Draft
632,2.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R2,Draft
633,3.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R3,Draft
634,4.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R4,Draft
635,5.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R5,Draft
636,6.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,108.0,True,294557,Lachie,Hunter,WBD,MID,R6,Draft
637,7.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,118.0,True,294557,Lachie,Hunter,WBD,MID,R7,Draft
638,8.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R8,Draft
639,9.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R9,Draft
640,10.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R10,Draft
641,11.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,0.0,False,294557,Lachie,Hunter,WBD,MID,R11,Draft
642,12.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,141.0,True,294557,Lachie,Hunter,WBD,MID,R12,Draft
643,13.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,83.0,True,294557,Lachie,Hunter,WBD,MID,R13,Draft
644,14.0,45168.0,5524.0,Luke,The Dragon's Laird,746.0,MID,122.0,True,294557,Lachie,Hunter,WBD,MID,R14,Draft
645,1.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,77.0,True,295342,Jake,Lloyd,SYD,DEF,R1,Draft
646,2.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,145.0,True,295342,Jake,Lloyd,SYD,DEF,R2,Draft
647,3.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,101.0,True,295342,Jake,Lloyd,SYD,DEF,R3,Draft
648,4.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,102.0,True,295342,Jake,Lloyd,SYD,DEF,R4,Draft
649,5.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,132.0,True,295342,Jake,Lloyd,SYD,DEF,R5,Draft
650,6.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,102.0,True,295342,Jake,Lloyd,SYD,DEF,R6,Draft
651,7.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,111.0,True,295342,Jake,Lloyd,SYD,DEF,R7,Draft
652,8.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,157.0,True,295342,Jake,Lloyd,SYD,DEF,R8,Draft
653,9.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,126.0,True,295342,Jake,Lloyd,SYD,DEF,R9,Draft
654,10.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,133.0,True,295342,Jake,Lloyd,SYD,DEF,R10,Draft
655,11.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,0.0,False,295342,Jake,Lloyd,SYD,DEF,R11,Draft
656,12.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,137.0,True,295342,Jake,Lloyd,SYD,DEF,R12,Draft
657,13.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,127.0,True,295342,Jake,Lloyd,SYD,DEF,R13,Draft
658,14.0,45168.0,5524.0,Luke,The Dragon's Laird,703.0,DEF,141.0,True,295342,Jake,Lloyd,SYD,DEF,R14,Draft
659,1.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,63.0,True,270935,Michael,Hurley,ESS,DEF,R1,Draft
660,2.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,78.0,True,270935,Michael,Hurley,ESS,DEF,R2,Draft
661,3.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,0.0,False,270935,Michael,Hurley,ESS,DEF,R3,Draft
662,4.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,72.0,False,270935,Michael,Hurley,ESS,DEF,R4,Draft
663,5.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,89.0,False,270935,Michael,Hurley,ESS,DEF,R5,Draft
664,6.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,112.0,False,270935,Michael,Hurley,ESS,DEF,R6,Draft
665,7.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,99.0,True,270935,Michael,Hurley,ESS,DEF,R7,Draft
666,8.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,77.0,True,270935,Michael,Hurley,ESS,DEF,R8,Draft
667,9.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,87.0,True,270935,Michael,Hurley,ESS,DEF,R9,Draft
668,10.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,93.0,True,270935,Michael,Hurley,ESS,DEF,R10,Draft
669,11.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,0.0,False,270935,Michael,Hurley,ESS,DEF,R11,Draft
670,12.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,110.0,True,270935,Michael,Hurley,ESS,DEF,R12,Draft
671,13.0,45168.0,5524.0,Luke,The Dragon's Laird,200.0,DEF,67.0,True,270935,Michael,Hurley,ESS,DEF,R13,Draft
672,1.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,62.0,True,293871,Jack,Crisp,COL,DEF,R1,Draft
673,2.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,108.0,True,293871,Jack,Crisp,COL,DEF,R2,Draft
674,3.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,114.0,True,293871,Jack,Crisp,COL,DEF,R3,Draft
675,4.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,115.0,True,293871,Jack,Crisp,COL,DEF,R4,Draft
676,5.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,68.0,True,293871,Jack,Crisp,COL,DEF,R5,Draft
677,6.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,91.0,True,293871,Jack,Crisp,COL,DEF,R6,Draft
678,7.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,107.0,True,293871,Jack,Crisp,COL,DEF,R7,Draft
679,8.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,89.0,True,293871,Jack,Crisp,COL,DEF,R8,Draft
680,9.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,99.0,True,293871,Jack,Crisp,COL,DEF,R9,Draft
681,10.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,81.0,True,293871,Jack,Crisp,COL,DEF,R10,Draft
682,11.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,109.0,True,293871,Jack,Crisp,COL,DEF,R11,Draft
683,12.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,58.0,True,293871,Jack,Crisp,COL,DEF,R12,Draft
684,13.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,96.0,True,293871,Jack,Crisp,COL,DEF,R13,Draft
685,14.0,45168.0,5524.0,Luke,The Dragon's Laird,146.0,DEF,125.0,True,293871,Jack,Crisp,COL,DEF,R14,Draft
686,1.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,57.0,True,270146,Ed,Curnow,CAR,MID,R1,Draft
687,2.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,98.0,True,270146,Ed,Curnow,CAR,MID,R2,Draft
688,3.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,74.0,True,270146,Ed,Curnow,CAR,MID,R3,Draft
689,5.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,74.0,True,270146,Ed,Curnow,CAR,MID,R5,Waiver
690,6.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,115.0,False,270146,Ed,Curnow,CAR,MID,R6,Waiver
691,7.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,88.0,True,270146,Ed,Curnow,CAR,MID,R7,Waiver
692,8.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,123.0,True,270146,Ed,Curnow,CAR,MID,R8,Waiver
693,9.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,95.0,True,270146,Ed,Curnow,CAR,MID,R9,Waiver
694,10.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,0.0,False,270146,Ed,Curnow,CAR,MID,R10,Waiver
695,11.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,91.0,True,270146,Ed,Curnow,CAR,MID,R11,Waiver
696,12.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,105.0,True,270146,Ed,Curnow,CAR,MID,R12,Waiver
697,13.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,111.0,True,270146,Ed,Curnow,CAR,MID,R13,Waiver
698,14.0,45168.0,5524.0,Luke,The Dragon's Laird,97.0,MID,119.0,True,270146,Ed,Curnow,CAR,MID,R14,Waiver
699,1.0,45168.0,5524.0,Luke,The Dragon's Laird,235.0,DEF,54.0,True,1002239,Adam,Cerra,FRE,DEF,R1,Draft
700,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,235.0,DEF,134.0,True,1002239,Adam,Cerra,FRE,DEF,R5,Free Agent
701,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,235.0,DEF,54.0,True,1002239,Adam,Cerra,FRE,DEF,R6,Free Agent
702,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,235.0,DEF,79.0,True,1002239,Adam,Cerra,FRE,DEF,R7,Free Agent
703,8.0,21562.0,186.0,Mark,GetRichOrDieTryin,235.0,DEF,113.0,False,1002239,Adam,Cerra,FRE,DEF,R8,Free Agent
704,9.0,21562.0,186.0,Mark,GetRichOrDieTryin,235.0,DEF,72.0,False,1002239,Adam,Cerra,FRE,DEF,R9,Free Agent
705,12.0,180650.0,33301.0,Jordan,"What's Up, Doch?",235.0,DEF,89.0,True,1002239,Adam,Cerra,FRE,DEF,R12,Waiver
706,13.0,180650.0,33301.0,Jordan,"What's Up, Doch?",235.0,DEF,83.0,True,1002239,Adam,Cerra,FRE,DEF,R13,Waiver
707,14.0,180650.0,33301.0,Jordan,"What's Up, Doch?",235.0,DEF,118.0,True,1002239,Adam,Cerra,FRE,DEF,R14,Waiver
708,1.0,45168.0,5524.0,Luke,The Dragon's Laird,719.0,FWD,46.0,True,1006126,James,Rowbottom,SYD,FWD MID,R1,Draft
709,4.0,10857.0,189.0,Anthony,The Full Bonty,719.0,FWD,76.0,True,1006126,James,Rowbottom,SYD,FWD MID,R4,Free Agent
710,5.0,10857.0,189.0,Anthony,The Full Bonty,719.0,FWD,81.0,True,1006126,James,Rowbottom,SYD,FWD MID,R5,Free Agent
711,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,MID,84.0,True,1006126,James,Rowbottom,SYD,FWD MID,R7,Free Agent
712,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,76.0,True,1006126,James,Rowbottom,SYD,FWD MID,R8,Free Agent
713,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,92.0,True,1006126,James,Rowbottom,SYD,FWD MID,R9,Free Agent
714,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,94.0,True,1006126,James,Rowbottom,SYD,FWD MID,R10,Free Agent
715,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,0.0,False,1006126,James,Rowbottom,SYD,FWD MID,R11,Free Agent
716,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,104.0,True,1006126,James,Rowbottom,SYD,FWD MID,R12,Free Agent
717,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,93.0,True,1006126,James,Rowbottom,SYD,FWD MID,R13,Free Agent
718,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,719.0,FWD,67.0,True,1006126,James,Rowbottom,SYD,FWD MID,R14,Free Agent
719,1.0,45168.0,5524.0,Luke,The Dragon's Laird,484.0,DEF,69.0,False,281085,Steven,May,MEL,DEF,R1,Draft
720,7.0,45168.0,5524.0,Luke,The Dragon's Laird,484.0,DEF,90.0,False,281085,Steven,May,MEL,DEF,R7,Free Agent
721,9.0,180650.0,33301.0,Jordan,"What's Up, Doch?",484.0,DEF,91.0,True,281085,Steven,May,MEL,DEF,R9,Waiver
722,10.0,180650.0,33301.0,Jordan,"What's Up, Doch?",484.0,DEF,100.0,True,281085,Steven,May,MEL,DEF,R10,Waiver
723,11.0,180650.0,33301.0,Jordan,"What's Up, Doch?",484.0,DEF,36.0,True,281085,Steven,May,MEL,DEF,R11,Waiver
724,12.0,180650.0,33301.0,Jordan,"What's Up, Doch?",484.0,DEF,115.0,True,281085,Steven,May,MEL,DEF,R12,Waiver
725,13.0,180650.0,33301.0,Jordan,"What's Up, Doch?",484.0,DEF,110.0,True,281085,Steven,May,MEL,DEF,R13,Waiver
726,14.0,180650.0,33301.0,Jordan,"What's Up, Doch?",484.0,DEF,149.0,True,281085,Steven,May,MEL,DEF,R14,Waiver
727,1.0,45168.0,5524.0,Luke,The Dragon's Laird,657.0,MID,58.0,False,295584,Bradley,Hill,STK,MID,R1,Draft
728,1.0,45168.0,5524.0,Luke,The Dragon's Laird,676.0,MID,84.0,False,293846,Sebastian,Ross,STK,MID,R1,Draft
729,2.0,45168.0,5524.0,Luke,The Dragon's Laird,676.0,MID,111.0,True,293846,Sebastian,Ross,STK,MID,R2,Draft
730,3.0,45168.0,5524.0,Luke,The Dragon's Laird,676.0,MID,58.0,True,293846,Sebastian,Ross,STK,MID,R3,Draft
731,4.0,45168.0,5524.0,Luke,The Dragon's Laird,676.0,MID,60.0,True,293846,Sebastian,Ross,STK,MID,R4,Draft
732,5.0,45168.0,5524.0,Luke,The Dragon's Laird,676.0,MID,107.0,True,293846,Sebastian,Ross,STK,MID,R5,Draft
733,6.0,45168.0,5524.0,Luke,The Dragon's Laird,676.0,MID,37.0,True,293846,Sebastian,Ross,STK,MID,R6,Draft
734,7.0,10857.0,189.0,Anthony,The Full Bonty,676.0,MID,70.0,True,293846,Sebastian,Ross,STK,MID,R7,Waiver
735,8.0,10857.0,189.0,Anthony,The Full Bonty,676.0,MID,67.0,False,293846,Sebastian,Ross,STK,MID,R8,Waiver
736,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,676.0,MID,73.0,False,293846,Sebastian,Ross,STK,MID,R13,Waiver
737,1.0,45168.0,5524.0,Luke,The Dragon's Laird,426.0,FWD,73.0,False,291351,Jack,Gunston,HAW,FWD,R1,Draft
738,2.0,45168.0,5524.0,Luke,The Dragon's Laird,426.0,FWD,71.0,True,291351,Jack,Gunston,HAW,FWD,R2,Draft
739,3.0,45168.0,5524.0,Luke,The Dragon's Laird,426.0,FWD,75.0,False,291351,Jack,Gunston,HAW,FWD,R3,Draft
740,4.0,45168.0,5524.0,Luke,The Dragon's Laird,426.0,FWD,53.0,False,291351,Jack,Gunston,HAW,FWD,R4,Draft
741,6.0,10857.0,189.0,Anthony,The Full Bonty,426.0,FWD,58.0,True,291351,Jack,Gunston,HAW,FWD,R6,Free Agent
742,8.0,10857.0,189.0,Anthony,The Full Bonty,426.0,FWD,52.0,True,291351,Jack,Gunston,HAW,FWD,R8,Free Agent
743,11.0,21562.0,186.0,Mark,GetRichOrDieTryin,426.0,FWD,86.0,False,291351,Jack,Gunston,HAW,FWD,R11,Free Agent
744,12.0,21562.0,186.0,Mark,GetRichOrDieTryin,426.0,FWD,66.0,False,291351,Jack,Gunston,HAW,FWD,R12,Free Agent
745,14.0,45168.0,5524.0,Luke,The Dragon's Laird,426.0,FWD,97.0,True,291351,Jack,Gunston,HAW,FWD,R14,Free Agent
746,1.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,186.0,True,291902,Jack,Viney,MEL,MID,R1,Draft
747,2.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,86.0,True,291902,Jack,Viney,MEL,MID,R2,Draft
748,3.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,0.0,False,291902,Jack,Viney,MEL,MID,R3,Draft
749,4.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,91.0,True,291902,Jack,Viney,MEL,MID,R4,Draft
750,5.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,60.0,True,291902,Jack,Viney,MEL,MID,R5,Draft
751,6.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,123.0,True,291902,Jack,Viney,MEL,MID,R6,Draft
752,7.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,120.0,True,291902,Jack,Viney,MEL,MID,R7,Draft
753,8.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,118.0,True,291902,Jack,Viney,MEL,MID,R8,Draft
754,9.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,82.0,True,291902,Jack,Viney,MEL,MID,R9,Draft
755,10.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,109.0,True,291902,Jack,Viney,MEL,MID,R10,Draft
756,11.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,0.0,False,291902,Jack,Viney,MEL,MID,R11,Draft
757,12.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,69.0,True,291902,Jack,Viney,MEL,MID,R12,Draft
758,13.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,96.0,True,291902,Jack,Viney,MEL,MID,R13,Draft
759,14.0,300791.0,182.0,Paul,Coronaviney,501.0,MID,73.0,False,291902,Jack,Viney,MEL,MID,R14,Draft
760,1.0,300791.0,182.0,Paul,Coronaviney,513.0,MID,185.0,True,280921,Ben,Cunnington,NTH,MID,R1,Draft
761,2.0,300791.0,182.0,Paul,Coronaviney,513.0,MID,72.0,True,280921,Ben,Cunnington,NTH,MID,R2,Draft
