Brisbane,Lions,Carlton,Blues,R2,0.0.0,0.0.0,
Jan 15,2022,5.10,Maroochydore,Fox Footy,,20222640203,,,,,,


296190,Jack,Martin,CA,,,,,,,,,,,,,,,,,,,,,523900,,,,Back,21,0,0,0,0.00,0.00,0.00,608000,,,,,,,,,
993832,Jacob,Weitering,CA,,,,,,,,,,,,,,,,,,,,,341900,,,,Back,23,0,0,0,0.00,0.00,0.00,403000,,,,,,,,,
999827,Zac,Fisher,CA,,,,,,,,,,,,,,,,,,,,,500500,,,,Midfielder,25,0,0,0,0.00,0.00,0.00,504000,,,,,,,,,
298290,Marc,Pittonet,CA,,,,,,,,,,,,,,,,,,,,,235400,,,,Ruck,27,0,0,0,0.00,0.00,0.00,290000,,,,,,,,,
998167,Tom,Williamson,CA,,,,,,,,,,,,,,,,,,,,,152800,,,,Back,31,0,0,0,0.00,0.00,0.00,260000,,,,,,,,,
291773,Jack,Newnes,CA,,,,,,,,,,,,,,,,,,,,,412700,,,,Midfielder,32,0,0,0,0.00,0.00,0.00,481000,,,,,,,,,
270146,Ed,Curnow,CA,,,,,,,,,,,,,,,,,,,,,624000,,,,Midfielder,35,0,0,0,0.00,0.00,0.00,728000,,,,,,,,,
992472,Oscar,McDonald,CA,,,,,,,,,,,,,,,,,,,,,257400,,,,Back,39,0,0,0,0.00,0.00,0.00,318000,,,,,,,,,
296200,Michael,Gibbons,CA,,,,,,,,,,,,,,,,,,,,,152800,,,,Midfielder,40,0,0,0,0.00,0.00,0.00,170000,,,,,,,,,
281124,Levi,Casboult,CA,,,,,,,,,,,,,,,,,,,,,322400,,,,Forward,41,0,0,0,0.00,0.00,0.00,383000,,,,,,,,,
295461,Adam,Saad,CA,,,,,,,,,,,,,,,,,,,,,359900,,,,Back,42,0,0,0,0.00,0.00,0.00,429000,,,,,,,,,
998215,Will,Setterfield,CA,,,,,,,,,,,,,,,,,,,,,261300,,,,Midfielder,43,0,0,0,0.00,0.00,0.00,251000,,,,,,,,,
