,round,pick,coach_first_name,player_id,name,team_abbrev,scr_pos,avg,round_rank_by_pos_all_players,round_rank_by_pos_drafted_players,scr,pos_scr,scr_wgt,nearest_7_rank
99,13.0,100.0,Lester,325,M.Holmes,GEE,DEF,99.08695652173913,32.82608695652174,19.695652173913043,-3.538,-1.924,-3.7561680000000006,3
100,13.0,101.0,Paul,686,J.Rowbottom,SYD,MID,94.52380952380952,33.404761904761905,24.261904761904763,-4.04,-1.799,-3.545848,2
101,13.0,102.0,James,648,M.Wood,STK,FWD,80.11111111111111,45.19444444444444,18.444444444444443,-5.627,-4.728,-4.592752,4
102,13.0,103.0,Anthony,86,D.Zorko,BRL,FWD,110.43478260869566,16.934782608695652,8.891304347826088,-2.288,-1.518,-3.7748720000000002,3
103,13.0,104.0,Jordan,581,J.Hopper,RIC,MID,80.83333333333333,44.125,32.25,-5.547,-4.081,-4.613144,4
104,14.0,105.0,Mark,488,Z.Fisher,NTH,DEF,85.0,53.27777777777778,25.805555555555557,-5.089,-4.452,-4.661824,4
105,14.0,106.0,Luke,367,H.Himmelberg,GWS,DEF,91.26086956521739,40.891304347826086,23.108695652173914,-4.399,-3.09,-3.97796,3
106,14.0,107.0,Simon,202,J.Ridley,ESS,DEF,102.55555555555556,37.833333333333336,17.22222222222222,-3.156,3.376,-1.6844240000000004,1
107,14.0,108.0,Lester,47,Z.Bailey,BRL,FWD,70.5,54.52777777777778,22.444444444444443,-6.685,-5.662,-4.90676,2
108,14.0,109.0,Paul,180,T.Goldstein,ESS,RUC,70.0,13.535714285714286,11.392857142857142,-6.74,-13.524,-7.695696,8
109,14.0,110.0,James,315,M.Duncan,GEE,DEF,78.55,64.55,30.375,-5.799,-4.308,-2.367479,1
110,14.0,111.0,Anthony,200,M.Redman,ESS,DEF,88.28571428571429,50.19047619047619,26.714285714285715,-4.727,-3.986,-6.218373,6
111,14.0,112.0,Jordan,16,M.Hinge,ADE,DEF,93.45454545454545,43.15909090909091,23.613636363636363,-4.158,-2.984,-6.103721,4
112,15.0,113.0,Mark,603,N.Vlastuin,RIC,DEF,91.31818181818181,48.20454545454545,24.90909090909091,-4.393,-0.44,-5.5901559999999995,2
113,15.0,114.0,Luke,218,J.Clark,FRE,DEF,104.6086956521739,27.782608695652176,16.195652173913043,-2.93,-1.57,-5.54243,1
114,15.0,115.0,Simon,633,M.Owens,STK,FWD,63.82608695652174,68.76086956521739,26.58695652173913,-7.42,-5.292,-6.494784,7
115,15.0,116.0,Lester,749,L.Duggan,WCE,DEF,86.0952380952381,52.45238095238095,25.88095238095238,-4.968,-3.275,-6.199416,5
116,15.0,117.0,Paul,151,P.Lipinski,COL,FWD,75.65217391304348,51.28260869565217,19.91304347826087,-6.118,-4.922,-6.7387049999999995,8
117,15.0,118.0,James,432,J.Worpel,HAW,MID,87.30434782608695,38.41304347826087,27.5,-4.835,-1.727,-5.9625390000000005,4
118,15.0,119.0,Anthony,136,J.Crisp,COL,DEF,87.17391304347827,50.869565217391305,26.58695652173913,-4.849,-3.96,-6.317663,7
119,15.0,120.0,Jordan,302,T.Atkins,GEE,DEF,80.1,62.325,30.175,-5.628,-4.255,-6.034854999999999,5
120,16.0,121.0,Mark,778,A.Witherden,WCE,DEF,69.11111111111111,82.41666666666667,35.888888888888886,-6.838,-6.004,-6.404191,8
121,16.0,122.0,Luke,462,T.Rivers,MEL,DEF,85.91304347826087,51.108695652173914,26.652173913043477,-4.988,-4.494,-5.874401,4
122,16.0,123.0,Simon,536,J.Horne-Francis,PTA,MID,99.66666666666667,27.38095238095238,21.404761904761905,-3.474,-1.364,-5.123437,2
123,16.0,124.0,Lester,41,T.Walker,ADE,FWD,64.44444444444444,66.38888888888889,25.38888888888889,-7.352,-6.085,-6.243454999999999,5
124,16.0,125.0,Paul,44,H.Andrews,BRL,DEF,83.4090909090909,53.45454545454545,27.477272727272727,-5.264,-1.182,-4.984183,1
125,16.0,126.0,James,163,S.Pendlebury,COL,MID,86.45,40.275,27.8,-4.929,-4.897,-5.940592,3
126,16.0,127.0,Anthony,409,C.Macdonald,HAW,FWD,74.34782608695652,53.34782608695652,21.847826086956523,-6.261,-6.482,-6.325019,4
127,16.0,128.0,Jordan,725,E.Richards,WBD,DEF,98.55,38.025,22.025,-3.597,-3.235,-5.523385,2
128,17.0,129.0,Mark,220,B.Cox,FRE,DEF,65.11111111111111,89.77777777777777,40.77777777777778,-7.278,-6.754,-6.358231,3
129,17.0,130.0,Luke,711,J.Harmes,WBD,FWD,70.625,58.0,22.8125,-6.671,-5.767,-6.066959000000001,2
130,17.0,131.0,Simon,384,S.Taylor,GWS,DEF,71.3125,69.96875,31.34375,-6.596,-3.372,-7.518552000000001,6
131,17.0,132.0,Lester,410,C.Mackenzie,HAW,FWD,60.85,70.25,26.775,-7.748,-6.484,-7.933176,7
132,17.0,133.0,Paul,312,P.Dangerfield,GEE,MID,84.28571428571429,41.785714285714285,30.071428571428573,-5.167,-0.06,-5.09388,1
133,17.0,134.0,James,331,G.Miers,GEE,FWD,81.91304347826087,40.65217391304348,17.152173913043477,-5.428,-4.083,-6.980088,2
134,17.0,135.0,Anthony,770,H.Reid,WCE,FWD,80.55,46.3,19.425,-5.579,-4.531,-7.318752,4
135,17.0,136.0,Jordan,594,D.Rioli,RIC,DEF,92.8695652173913,40.56521739130435,22.652173913043477,-4.222,-3.951,-7.0010319999999995,3
136,18.0,137.0,Mark,635,M.Phillipou,STK,FWD,58.23076923076923,75.92307692307692,28.115384615384617,-8.036,-8.344,-8.910903999999999,8
137,18.0,138.0,Luke,555,I.Soldo,PTA,RUC,83.125,10.625,8.875,-5.295,-1.783,-6.281576,1
138,18.0,139.0,Simon,190,K.Langford,ESS,FWD,78.34782608695652,46.08695652173913,18.456521739130434,-5.821,-5.045,-7.546456,4
139,18.0,140.0,Lester,677,H.McLean,SYD,FWD,68.43478260869566,56.28260869565217,22.717391304347824,-6.912,-6.722,-7.937336,7
140,18.0,141.0,Paul,164,I.Quaynor,COL,DEF,58.52173913043478,96.47826086956522,40.26086956521739,-8.004,-5.103,-7.225888,5
