feed_id,Year,name,pos,early_avg,late_avg,improvement,n_early,n_late,is_jumper,career_avg_prior,career_avg_delta,SC_trend_slope_8,SC_form_delta_3v6,SC_ema_trend,SC_skewness,SC_ceiling_rate,tog_avg_r8,tog_trend,clearances_avg_r8,clearances_trend,cba_avg_r8,cba_trend,price_change_sum3,price_is_floor,tag_is_hot_r78,tag_is_hot_any,tag_is_injured_returning,pos_is_mid,pos_is_def,pos_is_fwd,pos_is_ruc
993107,2023,Harry Himmelberg,DEF,68.4,87.6,19.2,8,14,1,81.2,12.8,6.893,11.5,4.2,0.163,0.125,78.1,0.4,2.12,2.38,19.5,13.0,52100,0,0,0,0,0,1,0,0
993946,2023,Ben Keays,FWD,68.2,87.2,19.0,8,15,1,101.3,33.0,-5.643,-14.7,-9.4,0.474,0.125,84.5,3.5,1.0,-0.5,19.8,-18.2,-79600,0,0,0,0,0,0,1,0
1006314,2025,Dylan Moore,FWD,74.1,92.5,18.4,7,15,1,90.4,16.2,-3.964,-9.8,-8.4,-0.25,0.286,79.7,-9.2,1.57,-0.57,21.9,3.1,-57000,0,0,0,0,0,0,1,0
1012857,2025,Jack Ginnivan,FWD,66.8,85.1,18.2,6,15,1,60.4,-6.4,10.029,17.2,11.1,0.496,0.167,78.7,5.3,0.83,-0.33,0.8,1.2,5300,0,1,1,0,0,0,1,0
1008280,2022,Ed Richards,MID,72.5,90.5,18.0,8,13,1,60.0,-12.5,4.81,9.3,5.9,-0.628,0.0,81.2,-2.8,0.5,0.0,,,74700,0,0,0,0,1,0,0,0
294685,2021,Zac Williams,FWD,73.6,90.9,17.3,5,9,1,,,-9.9,-5.6,-11.0,-1.405,0.0,76.8,0.7,4.0,-3.0,23.3,-8.8,-36300,0,0,0,1,0,0,1,0
996708,2023,Bailey Dale,DEF,79.6,96.8,17.2,8,15,1,98.6,18.9,-2.226,-15.3,-4.5,1.082,0.25,80.9,-1.9,0.57,-0.07,,,-88700,0,0,1,0,0,1,0,0
298268,2023,Liam Duggan,DEF,79.5,96.1,16.6,8,14,1,77.6,-1.9,4.0,0.2,1.7,0.392,0.125,84.5,0.5,0.75,1.25,9.9,16.6,36100,0,1,1,0,0,1,0,0
1023517,2023,Will Ashcroft,MID,75.4,91.8,16.4,8,10,1,,,-1.798,-1.8,-6.1,-0.237,0.25,77.2,0.8,3.62,-1.12,40.9,2.6,42100,0,0,0,0,1,0,0,0
298630,2021,Kyle Langford,FWD,78.2,94.3,16.1,8,9,1,,,2.048,1.7,3.7,0.661,0.0,83.6,4.4,1.38,-0.38,17.2,22.8,3000,0,1,1,0,0,0,1,0
1005144,2024,Massimo D'Ambrosio,MID,76.9,92.7,15.9,7,15,1,47.6,-29.3,-9.357,-3.3,-12.9,0.555,0.143,71.6,-16.1,0.57,-0.57,,,32200,0,0,0,0,1,0,0,0
998114,2021,Jack Scrimshaw,DEF,73.6,89.3,15.7,7,13,1,,,9.036,1.3,10.6,-1.049,0.143,73.7,6.8,0.71,0.29,4.6,11.4,21900,0,1,1,0,0,1,0,0
293871,2024,Jack Crisp,MID,77.1,92.5,15.4,7,15,1,96.1,19.0,6.143,0.7,8.7,0.362,0.286,70.4,3.6,4.29,2.21,37.7,35.8,2800,0,0,0,0,1,0,0,0
294318,2023,Ollie Wines,MID,73.0,88.3,15.3,8,15,1,109.1,36.1,0.952,11.3,4.3,-1.161,0.0,71.6,-3.6,4.0,-2.0,55.4,5.6,-25600,0,0,0,0,1,0,0,0
1002267,2021,Luke Davies-Uniacke,MID,74.7,89.3,14.6,6,14,1,,,-8.743,-11.3,-8.6,1.379,0.167,84.7,0.3,2.17,-1.17,55.5,-7.5,-61500,0,0,0,0,1,0,0,0
998134,2024,Josh Battle,DEF,74.9,89.3,14.5,8,15,1,66.7,-8.2,-4.155,-9.8,-0.4,-0.463,0.125,90.1,-2.6,0.38,0.62,3.2,-3.2,-59900,0,0,1,0,0,1,0,0
291902,2025,Jack Viney,MID,79.1,93.5,14.4,8,10,1,92.5,13.3,6.44,19.7,10.0,0.72,0.25,79.8,4.8,3.38,0.62,71.4,14.6,50400,0,1,1,0,1,0,0,0
296324,2022,Jesse Hogan,FWD,74.7,88.9,14.2,6,12,1,75.4,0.7,2.286,3.7,3.4,0.543,0.333,82.0,0.5,0.0,0.0,,,-9000,0,1,1,0,0,0,1,0
1006126,2023,James Rowbottom,MID,74.9,88.3,13.5,8,15,1,80.7,5.8,2.012,6.3,4.3,0.403,0.0,75.4,-2.9,4.12,1.38,63.1,-8.1,-800,0,0,0,0,1,0,0,0
1023270,2025,Marcus Windhager,MID,73.4,86.7,13.4,8,15,1,58.7,-14.7,-2.155,-1.2,-1.3,0.426,0.25,81.9,3.1,3.0,-2.5,48.2,-48.2,-5600,0,0,1,0,1,0,0,0
1009253,2024,Lachie Ash,DEF,74.4,87.7,13.2,7,9,1,73.8,-0.6,7.214,3.3,2.4,-0.222,0.286,77.0,2.5,0.43,-0.43,,,53400,0,0,0,0,0,1,0,0
1012013,2023,Nic Martin,MID,79.6,92.7,13.1,8,15,1,79.2,-0.4,2.012,-1.0,-0.6,0.733,0.125,90.9,2.1,1.12,-1.12,0.0,0.0,6700,0,0,1,0,1,0,0,0
