,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,points,on_field,feed_id,first_name,last_name,team
69,21562,186,Mark,GetRichOrDieTryin,680,114,True,296205,Jack,Steele,STK
70,21562,186,Mark,GetRichOrDieTryin,6,111,True,297401,Matt,Crouch,ADE
71,21562,186,Mark,GetRichOrDieTryin,356,99,True,298419,Brandan,Parfitt,GEE
72,21562,186,Mark,GetRichOrDieTryin,617,90,True,290032,Kane,Lambert,RIC
73,21562,186,Mark,GetRichOrDieTryin,79,89,True,1002235,Cameron,Rayner,BRL
74,21562,186,Mark,GetRichOrDieTryin,562,88,True,280711,Charlie,Dixon,PTA
75,21562,186,Mark,GetRichOrDieTryin,343,87,True,261510,Tom,Hawkins,GEE
76,21562,186,Mark,GetRichOrDieTryin,808,80,True,281080,Brad,Sheppard,WCE
77,21562,186,Mark,GetRichOrDieTryin,460,77,True,1002222,James,Worpel,HAW
78,21562,186,Mark,GetRichOrDieTryin,574,67,True,994295,Dan,Houston,PTA
79,21562,186,Mark,GetRichOrDieTryin,151,61,True,293957,Brodie,Grundy,COL
80,21562,186,Mark,GetRichOrDieTryin,572,57,True,261892,Hamish,Hartlett,PTA
81,21562,186,Mark,GetRichOrDieTryin,613,27,True,990827,Jack,Graham,RIC
82,21562,186,Mark,GetRichOrDieTryin,80,22,True,271072,Daniel,Rich,BRL
83,21562,186,Mark,GetRichOrDieTryin,235,113,False,1002239,Adam,Cerra,FRE
84,21562,186,Mark,GetRichOrDieTryin,649,103,False,1002264,Hunter,Clark,STK
85,21562,186,Mark,GetRichOrDieTryin,165,0,False,260257,Scott,Pendlebury,COL
86,21562,186,Mark,GetRichOrDieTryin,361,0,False,250321,Joel,Selwood,GEE
87,21562,186,Mark,GetRichOrDieTryin,74,74,False,1005521,Oscar,McInerney,BRL
88,71052,9867,James,Bad Boys For Fyfe,72,131,True,1000978,Hugh,McCluggage,BRL
89,71052,9867,James,Bad Boys For Fyfe,736,128,True,295136,Caleb,Daniel,WBD
90,71052,9867,James,Bad Boys For Fyfe,370,113,True,292511,Zach,Tuohy,GEE
91,71052,9867,James,Bad Boys For Fyfe,714,113,True,290778,Luke,Parker,SYD
92,71052,9867,James,Bad Boys For Fyfe,378,109,True,291969,Stephen,Coniglio,GWS
93,71052,9867,James,Bad Boys For Fyfe,218,107,True,295461,Adam,Saad,ESS
