,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change
306,489,free_agent,,1012833,Eddie,Ford,NTH,342,24,0,309700,945,0,18,0,-43200,328,415,0,1478,2024-08-25T11:36:30+10:00,0,117,0,89,0,74,0,35,0,7,0,-11,0,0,0,15,0,11,56.4,102,52.5,49.3333,HAW,48.0,1,,0,,0,,0,University of Tasmania Stadium,0.0,,,,0,0,2.52788,,0.6393775372124493,5899.047619047619,-14
307,612,free_agent,,1002264,Hunter,Clark,STK,370,24,85,404600,841,1,11,20800,52200,377,141,68,819,2024-08-25T11:36:29+10:00,12,132,11,80,6,30,4,46,0,6,-2,-12,0,0,0,1,0,2,83.4,646,76.4545,90.0,CAR,62.625,1,,0,,0,,0,Docklands Stadium,67.8654,,,,0,0,16.0099,1.25,1.0268620268620268,5292.036439974103,7
308,757,free_agent,,1023167,Brady,Hough,WCE,209,24,18,337200,1439,1,23,-36100,-13400,188,403,63,2442,2024-08-25T11:36:30+10:00,3,191,1,134,2,114,1,43,0,10,0,-7,0,0,0,0,0,1,54.2,192,62.5652,46.3333,GEE,50.6667,1,,0,,0,,0,Kardinia Park,18.0,,,,0,0,4.75836,0.2857142857142857,0.5892710892710893,5389.577592655342,-21
309,58,free_agent,,993953,Eric,Hipwood,BRL,250,24,33,328400,1288,1,20,-17300,-20500,246,368,77,2054,2024-08-25T11:36:30+10:00,4,167,5,51,3,114,1,26,1,20,0,-15,0,4,1,30,1,20,54.6,492,64.4,54.6667,ESS,54.6,0,,0,,0,,0,Brisbane Cricket Ground,57.1728,,,,0,0,12.1933,0.42857142857142855,0.6270691333982473,5099.378881987577,-4
310,105,free_agent,,1002228,Lachie,Fogarty,CAR,352,24,0,315600,919,0,15,0,-32800,339,415,0,1384,2024-08-25T11:36:30+10:00,0,94,0,81,0,27,0,45,0,10,0,-4,0,0,0,9,0,4,57.4,170,61.2667,43.0,STK,51.0,0,,0,,0,,0,Docklands Stadium,63.8824,,,,0,0,4.21314,,0.6640173410404624,5151.24855753615,-13
311,414,free_agent,,1018016,Seamus,Mitchell,HAW,499,24,0,188700,375,0,10,0,-159400,495,415,0,930,2024-08-25T11:36:31+10:00,0,48,0,38,0,26,0,18,0,2,0,-8,0,0,0,0,0,0,30.6,66,37.5,31.0,NTH,61.0,0,,0,,0,,0,University of Tasmania Stadium,58.75,,,,0,0,1.63569,,0.4032258064516129,5032,-4
312,406,free_agent,,998390,Changkuoth,Jiath,HAW,428,24,0,328600,634,0,11,0,-19300,420,415,0,1003,2024-08-25T11:36:30+10:00,0,76,0,55,0,33,0,22,0,10,0,-10,0,0,0,3,0,4,61.0,193,57.6364,58.6667,NTH,83.6667,0,,0,,0,,0,University of Tasmania Stadium,72.1111,,,,0,0,4.78315,,0.6321036889332003,5701.258232644648,-8
313,98,free_agent,,993795,David,Cuningham,CAR,559,24,0,257100,198,0,5,0,-90500,555,415,0,307,2024-08-25T11:36:31+10:00,0,18,0,21,0,7,0,10,0,2,0,-4,0,0,0,1,0,2,31.0,78,39.6,21.0,STK,67.6667,0,,0,,0,,0,Docklands Stadium,62.7778,,,,0,0,1.93309,,0.6449511400651465,6492.424242424242,-4
314,609,free_agent,,1011994,Ryan,Byrnes,STK,355,24,68,323700,906,1,15,5500,-23600,364,209,87,1428,2024-08-25T11:36:29+10:00,14,160,3,84,6,69,0,35,1,10,0,-4,0,0,1,1,0,0,59.2,141,60.4,66.0,CAR,59.75,1,,0,,0,,0,Docklands Stadium,57.5667,,,,0,0,3.49442,0.7816091954022989,0.634453781512605,5359.271523178808,9
315,516,free_agent,,993816,Darcy,Tucker,NTH,180,24,31,317500,1517,1,23,-24600,-29000,166,374,123,2352,2024-08-25T11:36:30+10:00,6,253,2,148,2,102,5,58,1,12,-2,-16,0,0,0,3,0,1,55.0,574,65.9565,48.6667,HAW,48.3333,1,,0,,0,,0,University of Tasmania Stadium,41.5,,,,0,0,14.2255,0.25203252032520324,0.6449829931972789,4813.778778437303,-14
316,313,free_agent,,1009229,Sam,De Koning,GEE,251,24,0,382800,1276,0,19,0,39200,239,415,0,2032,2024-08-25T11:36:30+10:00,0,123,0,154,0,64,0,26,0,14,0,-21,0,103,0,3,0,0,72.4,968,67.1579,59.6667,WCE,46.6667,0,,0,,0,,0,Kardinia Park,64.68,,,,0,0,23.9901,,0.6279527559055118,5699.999553291571,-12
317,338,free_agent,,291357,Gary,Rohan,GEE,484,24,0,192200,424,0,12,0,-150900,479,415,0,951,2024-08-25T11:36:30+10:00,0,65,0,23,0,34,0,14,0,2,0,-7,0,3,0,9,0,1,37.4,67,35.3333,19.3333,WCE,65.7143,0,,0,,0,,0,Kardinia Park,61.3846,,,,0,0,1.66047,,0.4458464773922187,5439.6277732337485,-5
318,747,free_agent,,290838,Jack,Darling,WCE,280,24,46,274900,1167,1,21,-22700,-67700,281,314,122,2394,2024-08-25T11:36:29+10:00,8,124,2,86,5,68,3,61,0,20,-2,-18,0,23,2,22,0,12,50.6,120,55.5714,41.3333,GEE,62.1429,1,,0,,0,,0,Kardinia Park,66.7143,,,,0,0,2.97398,0.3770491803278688,0.487468671679198,4946.789175727083,1
319,189,free_agent,,297473,Jake,Kelly,ESS,255,24,67,267800,1259,1,20,-14700,-74400,262,215,109,2218,2024-08-25T11:36:29+10:00,10,194,11,111,4,115,2,26,0,7,-2,-10,0,0,0,1,0,0,51.0,226,62.95,44.3333,BRL,63.7778,1,,0,,0,,0,Brisbane Cricket Ground,59.75,,,,0,0,5.60099,0.6146788990825688,0.5676284941388638,4254.1699761715645,7
320,305,free_agent,,998260,Jack,Bowes,GEE,137,24,130,422900,1667,1,20,40200,81000,146,14,110,1693,2024-08-25T11:36:28+10:00,9,231,15,142,2,60,5,98,3,15,0,-21,0,0,1,10,0,8,84.8,1619,83.35,104.0,WCE,95.3333,0,,0,,0,,0,Kardinia Park,76.7647,,,,0,0,40.1239,1.1818181818181819,0.9846426461901949,5073.7852429514105,9
322,393,free_agent,,280744,Luke,Breust,HAW,407,24,49,228400,695,1,17,-12700,-111700,413,301,50,1027,2024-08-25T11:36:29+10:00,3,83,2,50,0,36,2,22,2,12,0,-11,0,0,2,20,0,7,42.6,73,40.8824,37.6667,NTH,74.8889,0,,0,,0,,0,University of Tasmania Stadium,77.0769,,,,0,0,1.80917,0.98,0.676728334956183,5586.756159129602,6
323,460,free_agent,,1008893,Harrison,Petty,MEL,312,24,42,332900,1036,1,20,-1000,-6000,313,330,129,1978,2024-08-25T11:36:30+10:00,2,105,7,72,4,95,2,57,2,15,0,-27,1,41,0,9,0,15,61.6,115,51.8,64.3333,COL,52.0,0,,0,,0,,0,Melbourne Cricket Ground,50.8293,,,,0,0,2.85006,0.32558139534883723,0.5237613751263903,6426.640926640927,1
325,227,free_agent,,999321,Michael,Frederick,FRE,322,24,36,279600,1008,1,20,2800,-58100,322,359,86,1635,2024-08-25T11:36:30+10:00,6,126,2,66,3,70,2,30,2,6,-1,-6,0,0,1,23,0,17,56.8,79,50.4,56.0,PTA,56.0,0,,0,,0,,0,Perth Stadium,53.619,,,,0,0,1.95787,0.4186046511627907,0.6165137614678899,5547.619047619048,0
326,452,free_agent,,298470,Shane,McAdam,MEL,594,24,0,306200,126,0,3,0,-31500,586,415,0,264,2024-08-25T11:36:31+10:00,0,12,0,14,0,10,0,9,0,1,0,-2,0,0,0,1,0,2,42.0,58,42.0,42.0,COL,60.3333,0,,0,,0,,0,Melbourne Cricket Ground,56.3333,,,,0,0,1.43742,,0.4772727272727273,7290.476190476191,-8
327,494,free_agent,,281091,Hugh,Greenwood,NTH,569,24,0,329100,174,0,3,0,-8200,563,415,0,291,2024-08-25T11:36:31+10:00,0,9,0,19,0,3,0,19,0,1,0,-1,0,11,0,1,0,1,58.0,70,58.0,58.0,HAW,77.1429,1,,0,,0,,0,University of Tasmania Stadium,38.0,,,,0,0,1.73482,,0.5979381443298969,5674.137931034483,-6
328,25,free_agent,,1008230,Nick,Murray,ADE,473,24,28,269600,488,1,9,-23400,-66400,468,387,102,883,2024-08-25T11:36:30+10:00,4,68,3,29,0,38,3,14,1,5,-1,-10,0,0,0,0,0,1,40.4,79,54.2222,40.0,SYD,45.75,1,,0,,0,,0,Sydney Cricket Ground,41.0,,,,0,0,1.95787,0.27450980392156865,0.5526613816534541,4972.133185300486,-5
329,377,free_agent,,1006135,Xavier,O'Halloran,GWS,359,24,32,233000,888,1,17,-23700,-102800,361,371,92,1537,2024-08-25T11:36:30+10:00,3,116,5,80,0,36,3,48,1,7,-1,-18,0,0,0,7,0,6,35.8,183,52.2353,32.6667,WBD,33.0,1,,0,,0,,0,Eureka Stadium,32.0,,,,0,0,4.53532,0.34782608695652173,0.5777488614183475,4460.585083267445,2
330,95,free_agent,,1008154,Matthew,Cottrell,CAR,389,24,0,265400,764,0,14,0,-69900,375,415,0,1492,2024-08-25T11:36:30+10:00,0,100,0,52,0,45,0,27,0,7,0,-5,0,0,0,9,0,5,43.4,216,54.5714,53.0,STK,71.5,0,,0,,0,,0,Docklands Stadium,57.5238,,,,0,0,5.35316,,0.5120643431635389,4863.353331598603,-14
331,349,free_agent,,1008139,Toby,Bedford,GWS,236,24,0,333700,1348,0,22,0,-1300,223,415,0,2312,2024-08-25T11:36:30+10:00,0,97,0,158,0,39,0,131,0,16,0,-21,0,0,0,10,0,6,65.4,555,61.2727,54.0,WBD,61.0,1,,0,,0,,0,Eureka Stadium,71.0,,,,0,0,13.7546,,0.583044982698962,5446.144857334506,-13
332,656,free_agent,,291978,Harry,Cunningham,SYD,303,24,86,294000,1086,1,20,23000,-40800,309,133,107,1923,2024-08-25T11:36:29+10:00,15,160,7,75,8,94,0,42,0,4,0,-13,0,0,0,1,0,0,67.6,96,54.3,69.6667,ADE,69.4,0,,0,,0,,0,Sydney Cricket Ground,63.1728,,,,0,0,2.37918,0.8037383177570093,0.5647425897035881,5414.364640883979,6
333,113,free_agent,,296190,Jack,Martin,CAR,595,24,0,299300,120,0,3,0,-33500,587,415,0,199,2024-08-25T11:36:31+10:00,0,12,0,8,0,7,0,2,0,3,0,-3,0,0,0,3,0,0,40.0,94,40.0,40.0,STK,92.5,0,,0,,0,,0,Docklands Stadium,79.0909,,,,0,0,2.32962,,0.6030150753768844,7482.5,-8
334,324,free_agent,,1012860,Oliver,Henry,GEE,301,24,101,263500,1092,1,21,20400,-69300,315,78,130,2096,2024-08-25T11:36:28+10:00,12,113,1,64,8,63,1,27,0,15,0,-12,0,0,4,32,4,15,64.2,140,52.0,62.3333,WCE,63.5,0,,0,,0,,0,Kardinia Park,57.0,,,,0,0,3.46964,0.7769230769230769,0.5209923664122137,5067.307692307692,14
335,40,free_agent,,1008384,Riley,Thilthorpe,ADE,453,24,110,410500,535,1,7,22900,78400,477,51,104,684,2024-08-25T11:36:28+10:00,12,53,4,25,8,32,3,12,0,6,0,-1,6,26,3,15,3,6,88.2,456,76.4286,92.3333,SYD,45.3333,1,,0,,0,,0,Sydney Cricket Ground,67.5,,,,0,0,11.3011,1.0576923076923077,0.7821637426900585,5371.026029522979,24
336,277,free_agent,,1023500,Bailey,Humphrey,GCS,309,24,37,237500,1054,1,21,-6700,-93700,303,355,103,1787,2024-08-25T11:36:30+10:00,6,123,4,95,3,39,0,49,0,15,0,-13,0,0,0,14,0,19,45.8,322,50.1905,42.6667,RIC,24.0,1,,0,,0,,0,Melbourne Cricket Ground,55.5,,,,0,0,7.98017,0.3592233009708738,0.5898153329602686,4731.971189766988,-6
337,143,free_agent,,991773,Billy,Frampton,COL,350,24,0,236800,922,0,18,0,-92900,338,415,0,2100,2024-08-25T11:36:30+10:00,0,107,0,53,0,60,0,21,0,11,0,-19,0,15,0,1,0,4,45.2,83,51.2222,42.6667,MEL,49.0,1,,0,,0,,0,Melbourne Cricket Ground,55.5,,,,0,0,2.057,,0.439047619047619,4622.995498045769,-12
338,675,free_agent,,1013230,Logan,McDonald,SYD,204,24,71,304800,1443,1,23,7300,-24900,213,201,115,2440,2024-08-25T11:36:29+10:00,10,176,7,72,6,116,2,30,0,11,0,-9,0,3,3,34,0,22,57.8,408,62.7391,63.3333,ADE,65.0,0,,0,,0,,0,Sydney Cricket Ground,53.5806,,,,0,0,10.1115,0.6173913043478261,0.5913934426229508,4858.2144149342275,9
340,239,free_agent,,298409,Alex,Pearce,FRE,316,24,0,326300,1025,0,15,0,-2500,301,415,0,1681,2024-08-25T11:36:30+10:00,0,95,0,81,0,68,0,25,0,19,0,-11,0,0,0,1,0,0,63.8,317,68.3333,48.3333,PTA,52.8333,0,,0,,0,,0,Perth Stadium,59.717,,,,0,0,7.85626,,0.6097560975609756,4775.12428054843,-15
341,692,free_agent,,1006232,Sam,Wicks,SYD,401,24,0,217900,717,0,16,0,-110200,391,415,0,1375,2024-08-25T11:36:30+10:00,0,72,0,81,0,29,0,32,0,5,0,-17,0,0,0,10,0,6,32.4,63,44.8125,36.0,ADE,56.6667,0,,0,,0,,0,Sydney Cricket Ground,55.7083,,,,0,0,1.56134,,0.5214545454545455,4862.482566248256,-10
342,66,free_agent,,293581,Lincoln,McCarthy,BRL,464,24,0,348600,504,0,8,0,21000,457,415,0,716,2024-08-25T11:36:30+10:00,0,74,0,24,0,30,0,21,0,6,0,-5,0,0,0,8,0,9,61.6,117,63.0,47.3333,ESS,78.1667,0,,0,,0,,0,Brisbane Cricket Ground,67.5455,,,,0,0,2.89963,,0.7039106145251397,5533.333333333333,-7
343,157,free_agent,,297504,Daniel,McStay,COL,527,24,0,316900,301,0,5,0,-10500,520,415,0,533,2024-08-25T11:36:31+10:00,0,33,0,16,0,26,0,5,0,5,0,-2,0,1,0,8,0,4,60.2,127,60.2,62.0,MEL,58.1,1,,0,,0,,0,Melbourne Cricket Ground,60.9583,,,,0,0,3.14746,,0.5647279549718575,5264.119601328904,-7
344,714,free_agent,,281078,Liam,Jones,WBD,221,24,40,337600,1406,1,20,-27500,10300,215,339,115,2423,2024-08-25T11:36:30+10:00,3,180,2,58,2,118,0,10,0,15,-1,-13,0,0,0,0,0,1,62.0,359,70.3,51.0,GWS,61.7778,0,,0,,0,,0,Eureka Stadium,56.0,,,,0,0,8.89715,0.34782608695652173,0.5802723895996699,4802.2759601706975,-6
345,229,free_agent,,996580,Ethan,Hughes,FRE,522,24,0,288500,316,0,6,0,-38400,518,415,0,584,2024-08-25T11:36:31+10:00,0,47,0,31,0,31,0,9,0,4,0,-7,0,0,0,0,0,0,52.8,42,52.6667,43.6667,PTA,58.1429,0,,0,,0,,0,Perth Stadium,65.0714,,,,0,0,1.04089,,0.541095890410959,5477.844634275548,-4
346,329,free_agent,,296291,Jake,Kolodjashnij,GEE,177,24,86,368000,1528,1,22,19100,41500,181,133,118,2501,2024-08-25T11:36:29+10:00,6,190,9,115,7,115,1,45,0,11,0,-14,0,0,0,1,0,1,73.8,192,69.4545,82.0,WCE,53.1111,0,,0,,0,,0,Kardinia Park,59.8841,,,,0,0,4.75836,0.7288135593220338,0.6109556177528989,5298.4327869324525,4
347,43,free_agent,,298437,Callum,Ah Chee,BRL,214,24,38,342300,1418,1,22,-28000,16300,208,349,98,2109,2024-08-25T11:36:30+10:00,9,194,4,104,3,105,0,32,0,9,-1,-16,0,0,0,17,0,9,62.6,370,64.4545,51.6667,ESS,52.5,0,,0,,0,,0,Brisbane Cricket Ground,59.2391,,,,0,0,9.16976,0.3877551020408163,0.6723565670934092,5310.723068210908,-6
348,351,free_agent,,1014038,Callum M.,Brown,GWS,426,24,11,219200,639,1,13,-31800,-106300,422,411,45,1252,2024-08-25T11:36:30+10:00,2,58,1,42,0,35,2,22,0,4,0,-8,0,2,0,17,0,5,31.4,157,49.1538,25.6667,WBD,42.25,1,,0,,0,,0,Eureka Stadium,40.0,,,,0,0,3.89095,0.24444444444444444,0.5103833865814696,4459.4721059206,-4
349,514,free_agent,,1006137,Curtis,Taylor,NTH,487,24,0,267600,414,0,8,0,-57600,483,415,0,628,2024-08-25T11:36:31+10:00,0,57,0,29,0,30,0,18,0,4,0,-3,0,0,0,3,0,0,47.6,103,51.75,25.0,HAW,64.0,1,,0,,0,,0,University of Tasmania Stadium,50.0,,,,0,0,2.55266,,0.6592356687898089,5171.014492753623,-4
350,582,free_agent,,1006030,Jacob,Koschitzke,RIC,404,24,31,257200,708,1,14,-26300,-67900,400,374,99,1421,2024-08-25T11:36:30+10:00,3,65,6,63,1,45,0,17,0,14,0,-5,4,59,0,12,0,6,52.0,51,50.5714,36.0,GCS,42.3333,0,,0,,0,,0,Melbourne Cricket Ground,51.8846,,,,0,0,1.26394,0.31313131313131315,0.49824067558057705,5085.878579592418,-4
351,267,free_agent,,1013268,Alex,Davies,GCS,475,24,58,341400,481,1,7,-11500,16600,480,263,63,511,2024-08-25T11:36:29+10:00,5,37,11,72,1,8,4,49,0,7,-2,-9,0,1,0,1,0,1,69.8,268,68.7143,60.3333,RIC,52.5,1,,0,,0,,0,Melbourne Cricket Ground,47.0,,,,0,0,6.64188,0.9206349206349206,0.9412915851272016,4968.398135468164,5
352,512,free_agent,,1004848,Dylan,Stephens,NTH,386,24,61,249200,768,1,16,-7900,-74900,395,240,98,1428,2024-08-25T11:36:29+10:00,7,134,7,70,4,43,0,23,1,14,-1,-5,0,0,0,0,0,1,53.0,111,48.0,44.3333,HAW,58.0,1,,0,,0,,0,University of Tasmania Stadium,61.0,,,,0,0,2.75093,0.6224489795918368,0.5378151260504201,5191.666666666667,9
353,608,free_agent,,992374,Dan,Butler,STK,424,24,31,217600,643,1,16,-19500,-105800,425,374,81,1296,2024-08-25T11:36:30+10:00,3,80,6,51,4,36,4,56,1,15,-2,-18,0,0,0,13,0,4,38.6,42,40.1875,32.0,CAR,71.4,1,,0,,0,,0,Docklands Stadium,55.3333,,,,0,0,1.04089,0.38271604938271603,0.49614197530864196,5414.618973561431,1
354,647,free_agent,,1023270,Marcus,Windhager,STK,305,24,0,327800,1072,0,15,0,4600,290,415,0,1433,2024-08-25T11:36:30+10:00,0,134,0,136,0,35,0,77,0,18,0,-19,0,0,0,0,0,2,61.6,631,71.4667,47.0,CAR,38.3333,1,,0,,0,,0,Docklands Stadium,57.3846,,,,0,0,15.6382,,0.7480809490579204,4586.75159200019,-15
355,108,free_agent,,1023495,Oliver,Hollands,CAR,232,24,96,397000,1361,1,22,32100,74200,241,97,109,2310,2024-08-25T11:36:28+10:00,16,197,5,115,6,83,5,74,1,18,-1,-15,0,0,0,5,0,4,83.0,249,61.8636,94.6667,STK,83.6667,0,,0,,0,,0,Docklands Stadium,63.2,,,,0,0,6.171,0.8807339449541285,0.5891774891774891,6417.343963170589,9
357,591,free_agent,,993771,Marlion,Pickett,RIC,402,24,43,277600,715,1,13,-7000,-44200,404,323,39,1247,2024-08-25T11:36:29+10:00,7,94,3,94,4,48,1,34,0,6,-2,-26,0,1,1,4,0,9,49.6,138,55.0,50.3333,GCS,69.0,0,,0,,0,,0,Melbourne Cricket Ground,66.0667,,,,0,0,3.42007,1.1025641025641026,0.5733761026463512,5047.272727272727,2
358,767,free_agent,,1006550,Jack,Petruccelle,WCE,373,24,56,236800,810,1,16,-4000,-84600,379,272,104,1426,2024-08-25T11:36:29+10:00,10,107,7,64,2,49,3,34,1,12,-2,-16,0,0,0,11,1,10,45.6,53,50.625,44.0,GEE,52.5,1,,0,,0,,0,Kardinia Park,38.3333,,,,0,0,1.31351,0.5384615384615384,0.5680224403927069,4677.530864197531,6
359,454,free_agent,,1017703,Judd,McVee,MEL,144,24,29,337300,1628,1,23,-34900,16300,135,382,122,2292,2024-08-25T11:36:30+10:00,5,259,3,123,1,80,3,23,0,15,-4,-7,0,0,0,1,0,2,56.2,806,70.7826,47.0,COL,44.6667,0,,0,,0,,0,Melbourne Cricket Ground,63.6667,,,,0,0,19.9752,0.23770491803278687,0.7102966841186736,4765.295425711968,-9
360,724,free_agent,,1011589,Caleb,Poulter,WBD,491,24,0,347100,406,0,7,0,26700,487,415,0,632,2024-08-25T11:36:31+10:00,0,69,0,32,0,27,0,17,0,4,0,-2,0,0,0,3,0,3,75.2,108,58.0,74.6667,GWS,41.0,0,,0,,0,,0,Eureka Stadium,31.5,,,,0,0,2.67658,,0.6424050632911392,5984.482758620689,-4
361,734,free_agent,,1006127,Rhylee,West,WBD,231,24,0,314100,1368,0,21,0,-5900,214,415,0,2040,2024-08-25T11:36:30+10:00,0,149,0,105,0,61,0,67,0,20,0,-14,0,0,0,25,0,16,53.2,312,65.1429,42.6667,GWS,62.25,0,,0,,0,,0,Eureka Stadium,63.75,,,,0,0,7.73234,,0.6705882352941176,4821.707354139899,-17
362,145,free_agent,,1006148,Bobby,Hill,COL,205,24,92,359500,1442,1,23,-3200,40100,222,114,120,2304,2024-08-25T11:36:29+10:00,9,187,8,69,7,81,0,48,0,9,0,-20,0,0,2,30,1,28,83.0,343,62.6957,68.3333,MEL,55.1667,1,,0,,0,,0,Melbourne Cricket Ground,55.4848,,,,0,0,8.50062,0.7666666666666667,0.6258680555555556,5734.04555655332,17
363,73,free_agent,,1002347,Jack,Payne,BRL,361,24,0,365500,878,0,14,0,46900,352,415,0,1630,2024-08-25T11:36:30+10:00,0,117,0,31,0,86,0,20,0,4,0,-10,0,2,0,0,0,0,70.2,95,62.7143,63.3333,ESS,71.0,0,,0,,0,,0,Brisbane Cricket Ground,56.4444,,,,0,0,2.3544,,0.5386503067484663,5828.016895668133,-9
364,539,free_agent,,1011583,Lachie,Jones,PTA,336,24,43,264100,961,1,18,-11400,-54500,340,323,93,1473,2024-08-25T11:36:29+10:00,5,106,2,90,6,62,3,32,0,13,-1,-6,0,0,0,0,0,0,50.8,54,53.3889,45.3333,FRE,48.2,1,,0,,0,,0,Perth Stadium,36.0,,,,0,0,1.33829,0.46236559139784944,0.6524100475220638,4946.721134917558,4
366,146,free_agent,,291720,Will,Hoskin-Elliott,COL,243,24,62,332500,1312,1,20,-27500,14800,249,236,146,2039,2024-08-25T11:36:29+10:00,7,194,1,56,6,90,0,26,1,8,0,-6,0,0,1,17,3,13,66.4,340,65.6,50.0,MEL,66.3333,1,,0,,0,,0,Melbourne Cricket Ground,69.0,,,,0,0,8.42627,0.4246575342465753,0.6434526728788622,5068.597560975611,6
367,399,free_agent,,293738,Sam,Frost,HAW,292,24,51,221700,1121,1,23,3900,-95300,291,292,125,2750,2024-08-25T11:36:29+10:00,5,116,4,94,1,75,0,37,0,10,0,-20,0,2,0,0,0,0,46.8,56,48.7391,45.3333,NTH,63.5833,0,,0,,0,,0,University of Tasmania Stadium,68.9333,,,,0,0,1.38786,0.408,0.40763636363636363,4548.709352450086,-1
368,280,free_agent,,1006144,Ben,King,GCS,246,24,34,287500,1300,1,22,-18000,-28800,240,365,90,2301,2024-08-25T11:36:30+10:00,3,141,2,35,2,98,0,13,0,24,0,-16,0,0,1,55,0,26,52.6,358,59.0909,46.3333,RIC,71.1667,1,,0,,0,,0,Melbourne Cricket Ground,54.25,,,,0,0,8.87237,0.37777777777777777,0.5649717514124294,4865.3853639054405,-6
370,650,free_agent,,1008091,Joel,Amartey,SYD,263,24,60,307100,1222,1,22,-4800,-7900,270,249,100,1871,2024-08-25T11:36:29+10:00,6,123,4,43,4,71,0,42,1,24,-1,-19,0,9,2,39,1,24,59.0,184,55.5455,57.3333,ADE,100.0,0,,0,,0,,0,Sydney Cricket Ground,55.7083,,,,0,0,4.5601,0.6,0.6531266702298236,5528.800712929041,7
371,214,free_agent,,998180,Bailey,Banfield,FRE,230,24,0,288800,1375,0,22,0,-25800,211,415,0,2155,2024-08-25T11:36:30+10:00,0,174,0,140,0,74,0,56,0,18,0,-10,0,0,0,20,0,13,53.2,381,62.5,46.0,PTA,51.5,0,,0,,0,,0,Perth Stadium,56.0851,,,,0,0,9.44238,,0.6380510440835266,4620.8,-19
372,493,free_agent,,1017118,Josh,Goater,NTH,633,24,0,314100,42,0,1,0,0,630,415,0,92,2024-08-25T11:36:31+10:00,0,7,0,3,0,2,0,1,0,1,0,-2,0,0,0,0,0,0,42.0,51,42.0,42.0,HAW,56.5,1,,0,,0,,0,University of Tasmania Stadium,46.0,,,,0,0,1.26394,,0.45652173913043476,7478.571428571428,-3
373,22,free_agent,,1015370,Max,Michalanney,ADE,180,24,37,364000,1517,1,23,100,50300,167,355,100,2469,2024-08-25T11:36:30+10:00,4,212,7,130,4,122,3,67,0,16,0,-16,0,0,0,0,0,1,67.4,254,65.9565,71.0,SYD,49.3333,1,,0,,0,,0,Sydney Cricket Ground,37.0,,,,0,0,6.29492,0.37,0.6144187930336168,5518.788898743868,-13
375,29,free_agent,,1012218,Luke,Pedlar,ADE,600,24,0,224900,111,0,4,0,-87000,591,415,0,227,2024-08-25T11:36:31+10:00,0,20,0,3,0,7,0,4,0,0,0,-4,0,0,0,1,0,2,27.75,69,27.75,18.0,SYD,66.0,1,,0,,0,,0,Sydney Cricket Ground,0.0,,,,0,0,1.71004,,0.4889867841409692,8104.504504504504,-9
376,550,free_agent,,1002220,Esava,Ratugolea,PTA,278,24,43,272300,1171,1,20,-12000,-39600,278,323,109,2222,2024-08-25T11:36:29+10:00,3,128,3,69,4,103,3,42,0,17,-2,-20,0,1,0,4,0,6,54.4,95,58.55,46.6667,FRE,58.8333,1,,0,,0,,0,Perth Stadium,59.375,,,,0,0,2.3544,0.3944954128440367,0.527002700270027,4650.7258753202395,0
377,252,free_agent,,281007,Michael,Walters,FRE,396,24,17,211800,747,1,17,6900,-97000,389,406,30,1374,2024-08-25T11:36:30+10:00,2,90,2,59,0,43,1,31,1,11,0,-5,0,0,0,17,1,13,37.0,46,43.9412,45.0,PTA,71.5,0,,0,,0,,0,Perth Stadium,77.2879,,,,0,0,1.14002,0.5666666666666667,0.5436681222707423,4820.077740252883,-7
378,94,free_agent,,1016268,Alex,Cincotta,CAR,384,24,47,249400,783,1,16,6300,-59000,387,308,96,1715,2024-08-25T11:36:29+10:00,5,70,10,88,6,26,2,44,0,6,-1,-8,0,0,0,8,0,1,48.2,52,48.9375,52.0,STK,54.6667,0,,0,,0,,0,Docklands Stadium,52.0,,,,0,0,1.28872,0.4895833333333333,0.4565597667638484,5096.2962962962965,3
379,380,free_agent,,992644,Braydon,Preuss,GWS,658,24,0,308200,0,0,0,0,0,656,415,0,0,2024-08-25T11:36:31+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,124,0.0,0.0,WBD,54.0,1,,0,,0,,0,Eureka Stadium,0.0,,,,0,0,3.07311,,,,-2
380,587,free_agent,,294592,Kamdyn,McIntosh,RIC,320,24,55,214300,1011,1,22,-7700,-93600,324,278,103,1969,2024-08-25T11:36:29+10:00,8,173,5,81,2,77,3,36,0,7,-3,-21,0,0,0,6,0,7,42.8,87,45.9545,37.6667,GCS,61.5,0,,0,,0,,0,Melbourne Cricket Ground,62.7604,,,,0,0,2.15613,0.5339805825242718,0.5134586084306755,4663.308272312831,4
381,437,free_agent,,291867,Ben,Brown,MEL,547,24,0,216600,228,0,6,0,-90900,540,415,0,588,2024-08-25T11:36:31+10:00,0,26,0,11,0,18,0,2,0,3,0,0,0,1,0,7,0,4,33.8,36,38.0,21.3333,COL,56.2857,0,,0,,0,,0,Melbourne Cricket Ground,59.7586,,,,0,0,0.892193,,0.3877551020408163,5700,-7
