,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change
250,636,free_agent,,293846,Sebastian,Ross,STK,356,24,0,291300,903,0,13,0,-90500,345,415,0,1136,2024-08-25T11:36:30+10:00,0,123,0,92,0,38,0,52,0,3,0,-7,0,0,0,3,0,3,44.4,387,69.4615,42.0,CAR,93.0,1,,0,,0,,0,Docklands Stadium,88.9286,,,,0,0,9.59108,,0.7948943661971831,4193.690029728698,-11
252,24,free_agent,,1000998,Lachlan,Murphy,ADE,340,24,44,304100,952,1,17,-3000,-77000,344,318,103,1521,2024-08-25T11:36:29+10:00,5,98,8,98,3,47,2,57,1,21,0,-10,0,0,0,7,0,6,57.8,185,56.0,57.6667,SYD,66.1429,1,,0,,0,,0,Sydney Cricket Ground,60.25,,,,0,0,4.58488,0.42718446601941745,0.6259040105193951,5430.357142857143,4
253,12,free_agent,,999331,Darcy,Fogarty,ADE,166,24,46,348400,1553,1,23,-2300,-32200,156,314,113,2459,2024-08-25T11:36:29+10:00,9,165,2,85,5,111,0,35,2,17,-1,-23,0,0,0,41,0,16,56.8,724,67.5217,66.6667,SYD,49.2,1,,0,,0,,0,Sydney Cricket Ground,44.5,,,,0,0,17.943,0.40707964601769914,0.6315575437169582,5159.822694037621,-10
254,53,free_agent,,1000932,Tom,Doedee,BRL,658,24,0,380500,0,0,0,0,0,656,415,0,0,2024-08-25T11:36:31+10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,221,0.0,0.0,ESS,63.25,0,,0,,0,,0,Brisbane Cricket Ground,59.0,,,,0,0,5.47708,,,,-2
255,623,free_agent,,295584,Bradley,Hill,STK,154,24,57,328600,1586,1,22,3000,-51700,149,268,96,2207,2024-08-25T11:36:29+10:00,12,272,2,155,9,118,0,35,0,5,-1,-13,0,0,0,7,0,5,57.8,1517,72.0909,65.6667,CAR,74.2143,1,,0,,0,,0,Docklands Stadium,70.6,,,,0,0,37.596,0.59375,0.7186225645672859,4558.134244405327,-5
258,641,free_agent,,1008312,Liam,Stocker,STK,369,24,36,280300,842,1,16,-3700,-97700,370,359,71,1478,2024-08-25T11:36:30+10:00,4,108,5,85,3,67,3,36,0,9,-1,-13,0,0,0,0,0,2,53.4,101,52.625,52.6667,CAR,42.6667,1,,0,,0,,0,Docklands Stadium,58.303,,,,0,0,2.5031,0.5070422535211268,0.5696887686062246,5326.365795724466,1
260,625,free_agent,,993480,Dougal,Howard,STK,358,24,39,328100,890,1,15,-1700,-48500,363,347,112,1526,2024-08-25T11:36:30+10:00,7,117,0,55,7,97,0,10,0,8,-2,-16,0,0,0,0,0,0,62.0,94,59.3333,63.0,CAR,40.8333,1,,0,,0,,0,Docklands Stadium,63.1522,,,,0,0,2.32962,0.3482142857142857,0.583224115334207,5529.7783875159475,5
261,421,free_agent,,1001024,Ned,Reeves,HAW,549,24,0,345600,227,0,4,0,-29900,543,415,0,328,2024-08-25T11:36:31+10:00,0,13,0,20,0,7,0,9,0,3,0,-9,0,91,0,1,0,0,56.75,231,56.75,57.6667,NTH,65.0,0,,0,,0,,0,University of Tasmania Stadium,71.0,,,,0,0,5.72491,,0.6920731707317073,6089.867841409691,-6
262,659,free_agent,,291848,Robbie,Fox,SYD,380,24,5,236600,791,1,16,-46200,-138700,373,414,28,1461,2024-08-25T11:36:30+10:00,1,102,1,77,1,58,0,37,0,11,0,-8,0,0,0,4,0,2,45.0,169,49.4375,21.3333,ADE,47.3333,0,,0,,0,,0,Sydney Cricket Ground,58.9474,,,,0,0,4.18835,0.17857142857142858,0.5414099931553731,4785.840707964602,-7
263,468,free_agent,,999391,Tom,Sparrow,MEL,235,24,0,325600,1357,0,21,0,-49600,219,415,0,1846,2024-08-25T11:36:30+10:00,0,193,0,120,0,74,0,76,0,10,0,-12,0,0,0,6,0,7,57.2,592,64.619,62.0,COL,56.1667,0,,0,,0,,0,Melbourne Cricket Ground,64.7805,,,,0,0,14.6716,,0.7351029252437703,5038.7656881103085,-16
264,561,free_agent,,1004034,Brandon,Zerk-Thatcher,PTA,192,24,61,387700,1474,1,23,-6100,12500,197,240,120,2616,2024-08-25T11:36:29+10:00,7,170,2,82,6,119,0,36,1,16,-1,-11,0,0,0,0,0,0,78.2,212,64.087,72.3333,FRE,56.1667,1,,0,,0,,0,Perth Stadium,46.8,,,,0,0,5.25403,0.5083333333333333,0.5634556574923547,6049.588840170393,5
266,549,free_agent,,993979,Sam,Powell-Pepper,PTA,577,24,0,348600,158,0,3,0,-25800,573,415,0,257,2024-08-25T11:36:31+10:00,0,19,0,9,0,9,0,14,0,2,0,-4,0,0,0,3,0,4,52.6667,188,52.6667,52.6667,FRE,71.5556,1,,0,,0,,0,Perth Stadium,75.2,,,,0,0,4.65923,,0.6147859922178989,6618.983152542309,-4
267,430,free_agent,,1027935,Josh,Weddle,HAW,134,24,106,406400,1683,1,23,17000,32600,139,63,121,2474,2024-08-25T11:36:28+10:00,12,186,4,140,3,95,2,40,2,17,-1,-10,6,21,1,10,1,8,85.2,997,73.1739,88.3333,NTH,77.3333,0,,0,,0,,0,University of Tasmania Stadium,94.6667,,,,0,0,24.7088,0.8760330578512396,0.6802748585286985,5553.892849772938,5
268,665,free_agent,,997100,Will,Hayward,SYD,167,24,32,318700,1549,1,23,8500,-55000,154,371,96,2296,2024-08-25T11:36:30+10:00,9,183,2,101,5,103,0,58,1,21,0,-11,0,0,0,38,2,15,54.8,999,67.3478,66.6667,ADE,51.125,0,,0,,0,,0,Sydney Cricket Ground,63.8182,,,,0,0,24.7584,0.3333333333333333,0.6746515679442509,4732.151607030964,-13
270,181,free_agent,,298421,Jade,Gresham,ESS,246,24,48,265500,1300,1,22,-13200,-107700,248,304,100,2203,2024-08-25T11:36:29+10:00,6,158,7,149,3,56,0,47,0,10,-2,-19,0,0,1,19,1,12,51.0,503,59.0909,44.6667,BRL,73.8571,1,,0,,0,,0,Brisbane Cricket Ground,73.6,,,,0,0,12.4659,0.48,0.5901044030867,4493.0776143196335,2
271,335,free_agent,,1007102,Mark,O'Connor,GEE,400,24,0,275300,735,0,13,0,-97600,388,415,0,1128,2024-08-25T11:36:30+10:00,0,87,0,68,0,50,0,40,0,9,0,-6,0,0,0,2,0,3,45.4,175,56.5385,42.3333,WCE,72.5,0,,0,,0,,0,Kardinia Park,60.7805,,,,0,0,4.33705,,0.651595744680851,4869.248388266403,-12
272,622,free_agent,,1002227,Jack,Higgins,STK,216,24,76,312800,1416,1,20,24300,-60100,228,183,103,2014,2024-08-25T11:36:29+10:00,9,132,4,111,4,59,1,50,2,16,-2,-10,0,0,2,36,2,20,61.0,868,70.8,74.0,CAR,70.1667,1,,0,,0,,0,Docklands Stadium,65.25,,,,0,0,21.5118,0.7378640776699029,0.7030784508440914,4418.079096045198,12
273,310,free_agent,,999326,Brad,Close,GEE,224,24,44,236100,1402,1,23,-22400,-136500,218,318,123,2461,2024-08-25T11:36:29+10:00,3,144,8,140,3,65,1,56,2,17,0,-7,0,0,0,25,0,9,38.0,390,60.9565,34.0,WCE,71.8333,0,,0,,0,,0,Kardinia Park,72.2941,,,,0,0,9.66543,0.35772357723577236,0.5696871190572937,3873.2538777652917,-6
274,559,free_agent,,1009195,Dylan,Williams,PTA,553,24,0,290700,213,0,5,0,-81800,549,415,0,391,2024-08-25T11:36:31+10:00,0,41,0,9,0,19,0,2,0,0,0,-2,0,0,0,0,0,0,42.6,72,42.6,47.0,FRE,84.0,1,,0,,0,,0,Perth Stadium,84.0,,,,0,0,1.78439,,0.5447570332480819,6823.943661971831,-4
275,500,free_agent,,997933,Griffin,Logue,NTH,592,24,0,371800,130,0,2,0,0,584,415,0,246,2024-08-25T11:36:31+10:00,0,15,0,9,0,9,0,3,0,0,0,-1,0,0,0,0,0,0,65.0,120,65.0,65.0,HAW,74.5,1,,0,,0,,0,University of Tasmania Stadium,81.0,,,,0,0,2.97398,,0.5284552845528455,5720,-8
277,416,free_agent,,1000963,Harry,Morrison,HAW,452,24,62,293300,541,1,10,23400,-77700,463,236,111,818,2024-08-25T11:36:29+10:00,11,95,5,43,2,42,2,16,1,3,0,-4,0,0,0,2,0,1,52.0,115,54.1,69.6667,NTH,76.0,0,,0,,0,,0,University of Tasmania Stadium,60.0,,,,0,0,2.85006,0.5585585585585585,0.6613691931540342,5421.441774491682,11
278,577,free_agent,,990827,Jack,Graham,RIC,332,24,86,364900,977,1,14,-8200,-5900,347,133,93,1222,2024-08-25T11:36:29+10:00,9,102,13,141,3,30,3,61,1,6,-1,-13,0,0,1,2,0,2,75.8,519,69.7857,66.6667,GCS,78.8333,0,,0,,0,,0,Melbourne Cricket Ground,71.8939,,,,0,0,12.8625,0.9247311827956989,0.7995090016366612,5228.864939378697,15
279,323,free_agent,,1000937,Jack,Henry,GEE,173,24,98,415600,1538,1,23,11800,45200,184,89,127,2790,2024-08-25T11:36:28+10:00,12,198,2,69,8,136,1,32,1,13,0,-9,0,0,0,0,0,0,86.2,204,66.8696,87.3333,WCE,88.6667,0,,0,,0,,0,Kardinia Park,66.7843,,,,0,0,5.05576,0.7716535433070866,0.5512544802867384,6215.081292545491,11
