,round,coach_id,coach_team_id,coach_first_name,coach_team_name,wins,draws,losses,points_for,points_against,league_points,position
0,11,45168,719,Luke,He is HIMmelberg,7,0,4,19354,18860,28,2
0,11,8258,718,Simon,Wilkie Wonka,7,0,4,18815,18149,28,3
0,11,180650,720,Jordan,StupidSexyFlanders,6,0,5,19385,18777,24,4
0,11,10857,715,Anthony,Colonel Sanders,4,0,7,19078,19518,16,5
0,11,71052,716,James,The Gulden Girls,4,0,7,18401,19001,16,6
0,11,86078,717,Lester,Baby Got Trac,4,0,7,17510,18982,16,7
0,11,21562,714,Mark,Need for Sheed,3,0,8,18723,19227,12,8
0,12,300791,713,Paul,Toby or Not To Be,9,0,3,21257,20234,36,1
0,12,8258,718,Simon,Wilkie Wonka,8,0,4,20433,19610,32,2
0,12,180650,720,Jordan,StupidSexyFlanders,7,0,5,20928,20095,28,3
0,12,45168,719,Luke,He is HIMmelberg,7,0,5,20815,20478,28,4
0,12,10857,715,Anthony,Colonel Sanders,5,0,7,20674,21050,20,5
0,12,71052,716,James,The Gulden Girls,5,0,7,19820,20231,20,6
0,12,86078,717,Lester,Baby Got Trac,4,0,8,18740,20401,16,7
0,12,21562,714,Mark,Need for Sheed,3,0,9,20255,20823,12,8
0,13,300791,713,Paul,Toby or Not To Be,10,0,3,22688,21661,40,1
0,13,180650,720,Jordan,StupidSexyFlanders,8,0,5,22599,21727,32,2
0,13,45168,719,Luke,He is HIMmelberg,8,0,5,22253,21894,32,3
0,13,8258,718,Simon,Wilkie Wonka,8,0,5,21860,21041,32,4
0,13,10857,715,Anthony,Colonel Sanders,5,0,8,22221,22663,20,5
0,13,71052,716,James,The Gulden Girls,5,0,8,21452,21902,20,6
0,13,86078,717,Lester,Baby Got Trac,5,0,8,20353,21948,20,7
0,13,21562,714,Mark,Need for Sheed,3,0,10,21671,22261,12,8
0,14,300791,713,Paul,Toby or Not To Be,10,0,4,23796,22823,40,1
0,14,8258,718,Simon,Wilkie Wonka,9,0,5,23436,22523,36,2
0,14,45168,719,Luke,He is HIMmelberg,8,0,6,23645,23405,32,3
0,14,180650,720,Jordan,StupidSexyFlanders,8,0,6,23640,23187,32,4
0,14,10857,715,Anthony,Colonel Sanders,6,0,8,23681,23704,24,5
0,14,71052,716,James,The Gulden Girls,6,0,8,22614,23010,24,6
0,14,86078,717,Lester,Baby Got Trac,6,0,8,21864,23340,24,7
0,14,21562,714,Mark,Need for Sheed,3,0,11,23153,23837,12,8
0,15,8258,718,Simon,Wilkie Wonka,10,0,5,24937,23941,40,1
0,15,300791,713,Paul,Toby or Not To Be,10,0,5,24817,24232,40,2
0,15,180650,720,Jordan,StupidSexyFlanders,9,0,6,25205,24557,36,3
0,15,45168,719,Luke,He is HIMmelberg,8,0,7,25015,24970,32,4
0,15,71052,716,James,The Gulden Girls,7,0,8,24243,24491,28,5
0,15,10857,715,Anthony,Colonel Sanders,6,0,9,25162,25333,24,6
0,15,86078,717,Lester,Baby Got Trac,6,0,9,23282,24841,24,7
0,15,21562,714,Mark,Need for Sheed,4,0,11,24562,24858,16,8
0,16,300791,713,Paul,Toby or Not To Be,11,0,5,26695,26018,44,1
0,16,180650,720,Jordan,StupidSexyFlanders,10,0,6,27054,26181,40,2
0,16,8258,718,Simon,Wilkie Wonka,10,0,6,26561,25790,40,3
0,16,45168,719,Luke,He is HIMmelberg,9,0,7,26816,26447,36,4
0,16,71052,716,James,The Gulden Girls,7,0,9,25720,26292,28,5
0,16,86078,717,Lester,Baby Got Trac,7,0,9,24885,26441,28,6
0,16,10857,715,Anthony,Colonel Sanders,6,0,10,26948,27211,24,7
0,16,21562,714,Mark,Need for Sheed,4,0,12,26162,26461,16,8
