,round_number,match_name,team_id,team_name,team_coach,team_points,opposition_team_id,opposition_team_name,opposition_team_coach,opposition_team_points,Rank,Opponent Rank
0,1,Anthony vs James,716,The Gulden Girls,James,1946,715,Colonel Sanders,Anthony,1559,1.0,7.0
0,1,Paul vs Mark,713,Toby or Not To Be,Paul,1884,714,Need for Sheed,Mark,1640,2.0,6.0
0,1,Luke vs Jordan,719,He is HIMmelberg,Luke,1872,720,StupidSexyFlanders,Jordan,1682,3.0,5.0
0,1,Lester vs Simon,718,Wilkie Wonka,Simon,1819,717,Baby Got Trac,Lester,1529,4.0,8.0
0,1,Luke vs Jordan,720,StupidSexyFlanders,Jordan,1682,719,He is HIMmelberg,Luke,1872,5.0,3.0
0,1,Paul vs Mark,714,Need for Sheed,Mark,1640,713,Toby or Not To Be,Paul,1884,6.0,2.0
0,1,Anthony vs James,715,Colonel Sanders,Anthony,1559,716,The Gulden Girls,James,1946,7.0,1.0
0,1,Lester vs Simon,717,Baby Got Trac,Lester,1529,718,Wilkie Wonka,Simon,1819,8.0,4.0
0,2,Paul vs Anthony,713,Toby or Not To Be,Paul,1851,715,Colonel Sanders,Anthony,1596,1.0,5.0
0,2,Jordan vs Simon,718,Wilkie Wonka,Simon,1683,720,StupidSexyFlanders,Jordan,1521,2.0,7.0
0,2,Luke vs James,716,The Gulden Girls,James,1660,719,He is HIMmelberg,Luke,1503,3.0,8.0
0,2,Lester vs Mark,717,Baby Got Trac,Lester,1637,714,Need for Sheed,Mark,1583,4.0,6.0
0,2,Paul vs Anthony,715,Colonel Sanders,Anthony,1596,713,Toby or Not To Be,Paul,1851,5.0,1.0
0,2,Lester vs Mark,714,Need for Sheed,Mark,1583,717,Baby Got Trac,Lester,1637,6.0,4.0
0,2,Jordan vs Simon,720,StupidSexyFlanders,Jordan,1521,718,Wilkie Wonka,Simon,1683,7.0,2.0
0,2,Luke vs James,719,He is HIMmelberg,Luke,1503,716,The Gulden Girls,James,1660,8.0,3.0
0,3,Luke vs Anthony,719,He is HIMmelberg,Luke,1806,715,Colonel Sanders,Anthony,1708,1.0,4.0
0,3,Simon vs James,716,The Gulden Girls,James,1799,718,Wilkie Wonka,Simon,1714,2.0,3.0
0,3,Simon vs James,718,Wilkie Wonka,Simon,1714,716,The Gulden Girls,James,1799,3.0,2.0
0,3,Luke vs Anthony,715,Colonel Sanders,Anthony,1708,719,He is HIMmelberg,Luke,1806,4.0,1.0
